country_iso3,line_item,year,value_millions_usd,source,notes
IRN,Merchandise exports,2005,56252,"UNCTADstat Maritime Country Profile: Iran, International Merchandise Trade table",
IRN,Merchandise exports,2010,101316,"UNCTADstat Maritime Country Profile: Iran, International Merchandise Trade table",
IRN,Merchandise exports,2015,70275,"UNCTADstat Maritime Country Profile: Iran, International Merchandise Trade table",
IRN,Merchandise exports,2024,112556,"UNCTADstat Maritime Country Profile: Iran, International Merchandise Trade table",2024 value is UNCTAD-estimated (marked 'e' in source).
IRN,Merchandise imports,2005,40041,"UNCTADstat Maritime Country Profile: Iran, International Merchandise Trade table",
IRN,Merchandise imports,2010,65404,"UNCTADstat Maritime Country Profile: Iran, International Merchandise Trade table",
IRN,Merchandise imports,2015,44937,"UNCTADstat Maritime Country Profile: Iran, International Merchandise Trade table",
IRN,Merchandise imports,2024,69414,"UNCTADstat Maritime Country Profile: Iran, International Merchandise Trade table",2024 value is UNCTAD-estimated (marked 'e' in source).
IRN,Merchandise trade balance,2005,16211,"UNCTADstat Maritime Country Profile: Iran, International Merchandise Trade table",
IRN,Merchandise trade balance,2010,35912,"UNCTADstat Maritime Country Profile: Iran, International Merchandise Trade table",
IRN,Merchandise trade balance,2015,25338,"UNCTADstat Maritime Country Profile: Iran, International Merchandise Trade table",
IRN,Merchandise trade balance,2024,43142,"UNCTADstat Maritime Country Profile: Iran, International Merchandise Trade table",2024 value is UNCTAD-estimated (marked 'e' in source).
