country_iso3,group,weight_pct_of_1395_basket,solar_year,gregorian_year_approx,cpi_index_1395_100,pct_change_1399_vs_1398,source,notes
IRN,General index,100.0,1390,2011,42.8,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,General index,100.0,1395,2016,100,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,General index,100.0,1396,2017,108.2,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,General index,100.0,1397,2018,137.3,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,General index,100.0,1398,2019,185.1,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,General index,100.0,1399,2020,252.6,36.4,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Food and beverages,26.64,1390,2011,37.2,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Food and beverages,26.64,1395,2016,100,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Food and beverages,26.64,1396,2017,112.3,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Food and beverages,26.64,1397,2018,153.6,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Food and beverages,26.64,1398,2019,219.7,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Food and beverages,26.64,1399,2020,305.5,39.1,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Foods,25.55,1390,2011,37.3,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Foods,25.55,1395,2016,100,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
IRN,Foods,25.55,1396,2017,112.4,,"SCI Iran Statistical Yearbook 1399, Table 22.2 (Consumer Price Indices of Goods and Services for All National Households by Special, Major and Minor Selected Groups)",
