country_iso3,line_item,price_basis,solar_year,gregorian_year_approx,value_bln_rials,source,notes
IRN,"Agriculture, hunting, forestry and fishing",current prices,1390,2011,375275,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,"Agriculture, hunting, forestry and fishing",current prices,1393,2014,1060717,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,"Agriculture, hunting, forestry and fishing",current prices,1394,2015,1164204,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,"Agriculture, hunting, forestry and fishing",current prices,1395,2016,1326002,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,"Agriculture, hunting, forestry and fishing",current prices,1396,2017,1504381,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,"Agriculture, hunting, forestry and fishing",current prices,1397,2018,2196383,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Mining and quarrying,current prices,1390,2011,1750662,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Mining and quarrying,current prices,1393,2014,2283502,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Mining and quarrying,current prices,1394,2015,1374771,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Mining and quarrying,current prices,1395,2016,1992378,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Mining and quarrying,current prices,1396,2017,2766893,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Mining and quarrying,current prices,1397,2018,4897498,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Manufacturing,current prices,1390,2011,980234,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Manufacturing,current prices,1393,2014,1866520,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Manufacturing,current prices,1394,2015,1770907,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Manufacturing,current prices,1395,2016,2178886,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Manufacturing,current prices,1396,2017,2682563,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Manufacturing,current prices,1397,2018,3883974,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,"Electricity, gas, steam and air conditioning supply",current prices,1390,2011,345443,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,"Electricity, gas, steam and air conditioning supply",current prices,1393,2014,684371,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,"Electricity, gas, steam and air conditioning supply",current prices,1394,2015,517987,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,"Electricity, gas, steam and air conditioning supply",current prices,1395,2016,880040,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,"Electricity, gas, steam and air conditioning supply",current prices,1396,2017,1052284,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,"Electricity, gas, steam and air conditioning supply",current prices,1397,2018,1700810,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,"Water supply, sewerage, waste management and remediation activities",current prices,1390,2011,19828,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,"Water supply, sewerage, waste management and remediation activities",current prices,1393,2014,33520,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,"Water supply, sewerage, waste management and remediation activities",current prices,1394,2015,39851,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,"Water supply, sewerage, waste management and remediation activities",current prices,1395,2016,38917,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,"Water supply, sewerage, waste management and remediation activities",current prices,1396,2017,50639,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,"Water supply, sewerage, waste management and remediation activities",current prices,1397,2018,67484,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Construction,current prices,1390,2011,343788,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Construction,current prices,1393,2014,555561,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Construction,current prices,1394,2015,532369,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Construction,current prices,1395,2016,630257,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Construction,current prices,1396,2017,685901,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Construction,current prices,1397,2018,967558,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Wholesale & retail trade; repair of motor vehicles and goods,current prices,1390,2011,732996,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,Wholesale & retail trade; repair of motor vehicles and goods,current prices,1393,2014,1497142,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Wholesale & retail trade; repair of motor vehicles and goods,current prices,1394,2015,1430917,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Wholesale & retail trade; repair of motor vehicles and goods,current prices,1395,2016,1619701,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Wholesale & retail trade; repair of motor vehicles and goods,current prices,1396,2017,2016772,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,Wholesale & retail trade; repair of motor vehicles and goods,current prices,1397,2018,2921196,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,"Transport, storage and post",current prices,1390,2011,359934,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",
IRN,"Transport, storage and post",current prices,1393,2014,838246,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,"Transport, storage and post",current prices,1394,2015,926118,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
IRN,"Transport, storage and post",current prices,1395,2016,1050502,"SCI Iran Statistical Yearbook 1399, Table 23.1 (Value Added of Economic Activities by Major Economic Sectors)",Revised figures (marked '(1)' in source).
