country_iso3,budget_line,solar_year,gregorian_year_approx,value_bln_rials,source,notes
IRN,Total budget resources,1385,2006,1915105,"SCI Iran Statistical Yearbook 1399, Table 20.1 (Summary of Total Country Budget); ultimate source: Vice Presidency for Strategic Planning and Supervision / Plan and Budget Organization",
IRN,Total budget resources,1390,2011,5083939,"SCI Iran Statistical Yearbook 1399, Table 20.1 (Summary of Total Country Budget); ultimate source: Vice Presidency for Strategic Planning and Supervision / Plan and Budget Organization",
IRN,Total budget resources,1395,2016,9785530,"SCI Iran Statistical Yearbook 1399, Table 20.1 (Summary of Total Country Budget); ultimate source: Vice Presidency for Strategic Planning and Supervision / Plan and Budget Organization",
IRN,Total budget resources,1396,2017,11524566,"SCI Iran Statistical Yearbook 1399, Table 20.1 (Summary of Total Country Budget); ultimate source: Vice Presidency for Strategic Planning and Supervision / Plan and Budget Organization",
IRN,Total budget resources,1397,2018,12231524,"SCI Iran Statistical Yearbook 1399, Table 20.1 (Summary of Total Country Budget); ultimate source: Vice Presidency for Strategic Planning and Supervision / Plan and Budget Organization",
IRN,Total budget resources,1398,2019,17443160,"SCI Iran Statistical Yearbook 1399, Table 20.1 (Summary of Total Country Budget); ultimate source: Vice Presidency for Strategic Planning and Supervision / Plan and Budget Organization",
IRN,Total budget resources,1399,2020,20266534,"SCI Iran Statistical Yearbook 1399, Table 20.1 (Summary of Total Country Budget); ultimate source: Vice Presidency for Strategic Planning and Supervision / Plan and Budget Organization",
IRN,Total budget resources,1400,2021,28823398,"SCI Iran Statistical Yearbook 1399, Table 20.1 (Summary of Total Country Budget); ultimate source: Vice Presidency for Strategic Planning and Supervision / Plan and Budget Organization","1400 figures are the government's APPROVED/PROJECTED budget for that fiscal year (per chapter's Selected Information text: 'National budget resources for the year 1400 were projected...'), not a realized outturn — do not treat as actual."
IRN,Government general budget resources,1385,2006,587597,"SCI Iran Statistical Yearbook 1399, Table 20.1 (Summary of Total Country Budget); ultimate source: Vice Presidency for Strategic Planning and Supervision / Plan and Budget Organization",
IRN,Government general budget resources,1390,2011,1697225,"SCI Iran Statistical Yearbook 1399, Table 20.1 (Summary of Total Country Budget); ultimate source: Vice Presidency for Strategic Planning and Supervision / Plan and Budget Organization",
