country_iso3,line_item,price_basis,solar_year,gregorian_year_approx,value_bln_rials,source,notes
IRN,Private final consumption expenditures,current prices,1390,2011,3089281,"SCI Iran Statistical Yearbook 1399, Table 23.6 (Gross Domestic Product by Final Expenditure Components)",
IRN,Private final consumption expenditures,current prices,1393,2014,5974460,"SCI Iran Statistical Yearbook 1399, Table 23.6 (Gross Domestic Product by Final Expenditure Components)",Revised figures (marked '(1)' in source).
IRN,Private final consumption expenditures,current prices,1394,2015,6481179,"SCI Iran Statistical Yearbook 1399, Table 23.6 (Gross Domestic Product by Final Expenditure Components)",Revised figures (marked '(1)' in source).
IRN,Private final consumption expenditures,current prices,1395,2016,7455210,"SCI Iran Statistical Yearbook 1399, Table 23.6 (Gross Domestic Product by Final Expenditure Components)",Revised figures (marked '(1)' in source).
IRN,Private final consumption expenditures,current prices,1396,2017,8847305,"SCI Iran Statistical Yearbook 1399, Table 23.6 (Gross Domestic Product by Final Expenditure Components)",Revised figures (marked '(1)' in source).
IRN,Private final consumption expenditures,current prices,1397,2018,10848653,"SCI Iran Statistical Yearbook 1399, Table 23.6 (Gross Domestic Product by Final Expenditure Components)",
IRN,Household final consumption expenditures,current prices,1390,2011,3083991,"SCI Iran Statistical Yearbook 1399, Table 23.6 (Gross Domestic Product by Final Expenditure Components)",
IRN,Household final consumption expenditures,current prices,1393,2014,5966119,"SCI Iran Statistical Yearbook 1399, Table 23.6 (Gross Domestic Product by Final Expenditure Components)",Revised figures (marked '(1)' in source).
IRN,Household final consumption expenditures,current prices,1394,2015,6471419,"SCI Iran Statistical Yearbook 1399, Table 23.6 (Gross Domestic Product by Final Expenditure Components)",Revised figures (marked '(1)' in source).
IRN,Household final consumption expenditures,current prices,1395,2016,7440356,"SCI Iran Statistical Yearbook 1399, Table 23.6 (Gross Domestic Product by Final Expenditure Components)",Revised figures (marked '(1)' in source).
IRN,Household final consumption expenditures,current prices,1396,2017,8822782,"SCI Iran Statistical Yearbook 1399, Table 23.6 (Gross Domestic Product by Final Expenditure Components)",Revised figures (marked '(1)' in source).
IRN,Household final consumption expenditures,current prices,1397,2018,10820063,"SCI Iran Statistical Yearbook 1399, Table 23.6 (Gross Domestic Product by Final Expenditure Components)",
IRN,Final consumption expenditures of NPISHs,current prices,1390,2011,5290,"SCI Iran Statistical Yearbook 1399, Table 23.6 (Gross Domestic Product by Final Expenditure Components)",
IRN,Final consumption expenditures of NPISHs,current prices,1393,2014,8341,"SCI Iran Statistical Yearbook 1399, Table 23.6 (Gross Domestic Product by Final Expenditure Components)",Revised figures (marked '(1)' in source).
IRN,Final consumption expenditures of NPISHs,current prices,1394,2015,9759,"SCI Iran Statistical Yearbook 1399, Table 23.6 (Gross Domestic Product by Final Expenditure Components)",Revised figures (marked '(1)' in source).
IRN,Final consumption expenditures of NPISHs,current prices,1395,2016,14855,"SCI Iran Statistical Yearbook 1399, Table 23.6 (Gross Domestic Product by Final Expenditure Components)",Revised figures (marked '(1)' in source).
IRN,Final consumption expenditures of NPISHs,current prices,1396,2017,24523,"SCI Iran Statistical Yearbook 1399, Table 23.6 (Gross Domestic Product by Final Expenditure Components)",Revised figures (marked '(1)' in source).
IRN,Final consumption expenditures of NPISHs,current prices,1397,2018,28590,"SCI Iran Statistical Yearbook 1399, Table 23.6 (Gross Domestic Product by Final Expenditure Components)",
IRN,Government final consumption expenditure,current prices,1390,2011,1338710,"SCI Iran Statistical Yearbook 1399, Table 23.6 (Gross Domestic Product by Final Expenditure Components)",
IRN,Government final consumption expenditure,current prices,1393,2014,2211314,"SCI Iran Statistical Yearbook 1399, Table 23.6 (Gross Domestic Product by Final Expenditure Components)",Revised figures (marked '(1)' in source).
IRN,Government final consumption expenditure,current prices,1394,2015,1901052,"SCI Iran Statistical Yearbook 1399, Table 23.6 (Gross Domestic Product by Final Expenditure Components)",Revised figures (marked '(1)' in source).
IRN,Government final consumption expenditure,current prices,1395,2016,1609124,"SCI Iran Statistical Yearbook 1399, Table 23.6 (Gross Domestic Product by Final Expenditure Components)",Revised figures (marked '(1)' in source).
IRN,Government final consumption expenditure,current prices,1396,2017,1869598,"SCI Iran Statistical Yearbook 1399, Table 23.6 (Gross Domestic Product by Final Expenditure Components)",Revised figures (marked '(1)' in source).
IRN,Government final consumption expenditure,current prices,1397,2018,2347653,"SCI Iran Statistical Yearbook 1399, Table 23.6 (Gross Domestic Product by Final Expenditure Components)",
IRN,Gross fixed capital formation,current prices,1390,2011,1607605,"SCI Iran Statistical Yearbook 1399, Table 23.6 (Gross Domestic Product by Final Expenditure Components)",
IRN,Gross fixed capital formation,current prices,1393,2014,2714163,"SCI Iran Statistical Yearbook 1399, Table 23.6 (Gross Domestic Product by Final Expenditure Components)",Revised figures (marked '(1)' in source).
IRN,Gross fixed capital formation,current prices,1394,2015,2492075,"SCI Iran Statistical Yearbook 1399, Table 23.6 (Gross Domestic Product by Final Expenditure Components)",Revised figures (marked '(1)' in source).
IRN,Gross fixed capital formation,current prices,1395,2016,3193572,"SCI Iran Statistical Yearbook 1399, Table 23.6 (Gross Domestic Product by Final Expenditure Components)",Revised figures (marked '(1)' in source).
