country_iso3,area,sex,solar_year,gregorian_year_approx,economic_participation_rate_pct,unemployment_rate_pct,unemployment_rate_15_24_pct,unemployment_rate_15_29_pct,underemployment_share_pct,employment_share_agriculture_pct,employment_share_manufacturing_pct,employment_share_services_pct,source,notes
IRN,national,both,1380,2001,37.2,14.2,33.6,27.4,,26.1,30.6,43.3,"SCI Iran Statistical Yearbook 1399, Table 4.2",1380 figures relate to the month of Aban (survey methodology pre-dates annual Labour Force Survey).
IRN,national,both,1385,2006,40.4,11.3,23.5,20.8,7.0,23.2,31.7,45.1,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,national,both,1390,2011,36.9,12.3,26.5,24.0,9.0,18.6,33.4,48.0,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,national,both,1395,2016,39.4,12.4,29.2,25.9,10.3,18.0,31.9,50.1,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,national,both,1396,2017,40.3,12.1,28.4,25.3,10.4,17.6,32.0,50.4,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,national,both,1397,2018,40.5,12.0,27.7,25.1,10.8,17.7,32.0,50.3,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,national,both,1398,2019,44.1,10.7,26.0,17.9,9.9,17.7,32.0,50.3,"SCI Iran Statistical Yearbook 1399, Table 4.2",Figures relate to population aged 15 and over (methodology break from 'aged 10 and over' used 1380-1397).
IRN,national,both,1399,2020,41.3,9.6,23.7,21.8,9.5,17.4,33.3,49.3,"SCI Iran Statistical Yearbook 1399, Table 4.2",Figures relate to population aged 15 and over (methodology break from 'aged 10 and over' used 1380-1397).
IRN,national,female,1380,2001,11.8,19.9,41.1,34.9,,31.2,31.8,37.0,"SCI Iran Statistical Yearbook 1399, Table 4.2",1380 figures relate to the month of Aban (survey methodology pre-dates annual Labour Force Survey).
IRN,national,female,1385,2006,16.4,16.2,31.8,29.5,4.1,30.9,31.7,37.3,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,national,female,1390,2011,12.6,20.9,42.7,40.3,4.4,26.3,23.3,50.4,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,national,female,1395,2016,14.9,20.7,44.2,42.3,4.9,22.0,25.2,52.8,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,national,female,1396,2017,16.0,19.8,43.7,41.0,5.1,21.3,25.5,53.2,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,national,female,1397,2018,16.1,18.9,39.9,38.6,5.8,19.7,26.9,53.4,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,national,female,1398,2019,17.0,17.5,38.8,29.7,5.5,19.8,26.9,53.3,"SCI Iran Statistical Yearbook 1399, Table 4.2",Figures relate to population aged 15 and over (methodology break from 'aged 10 and over' used 1380-1397).
IRN,national,female,1399,2020,13.9,15.6,36.0,35.0,4.2,18.6,25.7,55.7,"SCI Iran Statistical Yearbook 1399, Table 4.2",Figures relate to population aged 15 and over (methodology break from 'aged 10 and over' used 1380-1397).
IRN,national,male,1380,2001,62.1,13.2,31.7,42.7,,25.2,30.4,44.4,"SCI Iran Statistical Yearbook 1399, Table 4.2",1380 figures relate to the month of Aban (survey methodology pre-dates annual Labour Force Survey).
IRN,national,male,1385,2006,63.9,10.0,21.0,18.2,7.7,21.3,31.7,47.0,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,national,male,1390,2011,60.7,10.5,22.9,20.1,9.9,17.2,35.2,47.6,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,national,male,1395,2016,64.1,10.5,25.4,21.4,11.5,17.1,33.3,49.6,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,national,male,1396,2017,64.5,10.2,24.2,20.8,11.6,16.8,33.5,49.8,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,national,male,1397,2018,64.8,10.4,24.3,21.2,12.0,17.2,33.2,49.6,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,national,male,1398,2019,71.1,9.0,22.7,14.8,10.9,17.2,33.1,49.7,"SCI Iran Statistical Yearbook 1399, Table 4.2",Figures relate to population aged 15 and over (methodology break from 'aged 10 and over' used 1380-1397).
IRN,national,male,1399,2020,68.7,8.4,21.2,18.8,4.1,17.2,34.7,48.1,"SCI Iran Statistical Yearbook 1399, Table 4.2","Figures relate to population aged 15 and over (methodology break from 'aged 10 and over' used 1380-1397). Underemployment share printed exactly as '4.10' in source table (PDF p.182/printed p.182), verified by visual page render against pdftotext extraction — breaks the pattern of neighboring values (7-12 range) but is not an extraction artifact; preserved as printed, flagged as a possible SCI publication anomaly, not resolved/guessed."
IRN,rural,both,1380,2001,39.1,13.5,29.8,24.8,,52.7,26.0,21.3,"SCI Iran Statistical Yearbook 1399, Table 4.2",1380 figures relate to the month of Aban (survey methodology pre-dates annual Labour Force Survey).
IRN,rural,both,1385,2006,43.9,7.1,14.0,13.0,9.4,54.7,26.4,18.9,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,rural,both,1390,2011,39.8,8.9,19.8,17.7,12.5,50.4,28.0,21.6,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,rural,both,1395,2016,41.0,8.9,22.5,19.9,14.6,50.3,25.4,24.3,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,rural,both,1396,2017,42.4,8.2,20.7,18.6,13.4,50.0,25.5,24.4,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,rural,both,1397,2018,42.6,7.9,18.9,16.8,14.6,49.1,26.6,24.3,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,rural,both,1398,2019,47.3,7.3,19.1,12.9,13.1,49.2,26.6,24.2,"SCI Iran Statistical Yearbook 1399, Table 4.2",Figures relate to population aged 15 and over (methodology break from 'aged 10 and over' used 1380-1397).
IRN,rural,both,1399,2020,44.2,7.2,18.4,16.5,13.2,48.6,28.7,22.7,"SCI Iran Statistical Yearbook 1399, Table 4.2",Figures relate to population aged 15 and over (methodology break from 'aged 10 and over' used 1380-1397).
IRN,rural,female,1380,2001,14.4,11.8,24.7,21.0,,52.4,39.6,8.0,"SCI Iran Statistical Yearbook 1399, Table 4.2",1380 figures relate to the month of Aban (survey methodology pre-dates annual Labour Force Survey).
IRN,rural,female,1385,2006,21.8,5.4,11.0,11.0,4.1,60.3,31.4,8.2,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,rural,female,1390,2011,15.0,9.8,21.4,21.3,5.2,66.7,20.8,12.5,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,rural,female,1395,2016,16.1,10.3,28.7,27.1,4.6,61.3,23.2,15.4,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,rural,female,1396,2017,17.3,8.5,23.1,23.1,4.8,60.8,23.3,15.8,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,rural,female,1397,2018,17.3,7.9,19.6,20.4,5.7,57.9,25.9,16.2,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,rural,female,1398,2019,18.7,7.8,21.8,17.4,10.9,58.5,25.2,16.3,"SCI Iran Statistical Yearbook 1399, Table 4.2",Figures relate to population aged 15 and over (methodology break from 'aged 10 and over' used 1380-1397).
IRN,rural,female,1399,2020,15.2,8.1,22.1,22.9,4.8,57.6,26.5,15.9,"SCI Iran Statistical Yearbook 1399, Table 4.2",Figures relate to population aged 15 and over (methodology break from 'aged 10 and over' used 1380-1397).
IRN,rural,male,1380,2001,64.0,13.9,31.4,25.8,,52.8,22.9,24.4,"SCI Iran Statistical Yearbook 1399, Table 4.2",1380 figures relate to the month of Aban (survey methodology pre-dates annual Labour Force Survey).
IRN,rural,male,1385,2006,66.0,7.6,15.0,13.6,11.2,52.9,24.7,22.5,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,rural,male,1390,2011,64.8,8.7,19.5,16.9,14.2,46.6,29.7,23.6,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,rural,male,1395,2016,66.3,8.5,21.1,18.3,17.0,47.6,25.9,26.5,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,rural,male,1396,2017,66.6,8.2,20.1,17.5,15.6,47.3,26.1,26.6,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,rural,male,1397,2018,68.0,7.9,18.7,16.0,16.9,46.9,26.8,26.3,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,rural,male,1398,2019,76.0,7.2,18.5,11.9,15.1,46.9,26.9,26.1,"SCI Iran Statistical Yearbook 1399, Table 4.2",Figures relate to population aged 15 and over (methodology break from 'aged 10 and over' used 1380-1397).
IRN,rural,male,1399,2020,73.4,7.0,17.7,15.3,14.9,46.8,29.2,24.1,"SCI Iran Statistical Yearbook 1399, Table 4.2",Figures relate to population aged 15 and over (methodology break from 'aged 10 and over' used 1380-1397).
IRN,urban,both,1380,2001,35.8,14.8,37.3,29.7,,5.1,34.3,60.6,"SCI Iran Statistical Yearbook 1399, Table 4.2",1380 figures relate to the month of Aban (survey methodology pre-dates annual Labour Force Survey).
IRN,urban,both,1385,2006,38.8,13.4,29.2,24.9,5.7,6.1,34.6,59.3,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,urban,both,1390,2011,35.8,13.7,30.0,26.5,7.6,5.0,35.7,59.4,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,urban,both,1395,2016,38.9,13.7,32.3,28.1,8.7,5.3,34.4,60.3,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,urban,both,1396,2017,39.7,13.4,31.9,27.6,9.3,5.4,34.5,60.1,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,urban,both,1397,2018,39.8,13.5,31.5,28.2,9.4,6.1,34.0,59.9,"SCI Iran Statistical Yearbook 1399, Table 4.2",
IRN,urban,both,1398,2019,43.0,11.8,29.1,19.6,8.8,6.3,33.9,59.7,"SCI Iran Statistical Yearbook 1399, Table 4.2",Figures relate to population aged 15 and over (methodology break from 'aged 10 and over' used 1380-1397).
