region_or_dam,year,total_kw,diesel_kw,steam_kw,gas_kw,water_kw
Total (all regional cos + dams),1970,1395985,309785,434500,134700,517000
Total (all regional cos + dams),1971,1992883,313183,746500,134200,799000
Tehran Regional Electric Co.,1970,27142,27142,0,0,0
Tehran Regional Electric Co.,1971,29678,29678,0,0,0
Esfahan Regional Electric Co.,1970,54754,35854,11500,7400,0
Esfahan Regional Electric Co.,1971,47824,36324,11500,0,0
Fars Regional Electric Co.,1970,84306,23306,2500,58500,0
Fars Regional Electric Co.,1971,84717,24217,2500,58000,0
Azarbayejan Regional Electric Co.,1970,95526,53526,12000,30000,0
Azarbayejan Regional Electric Co.,1971,53982,53982,0,0,0
Khorasan Regional Electric Co.,1970,32800,32800,0,0,0
Khorasan Regional Electric Co.,1971,37491,37491,0,0,0
Mazandaran Regional Electric Co.,1970,31771,20771,11000,0,0
Mazandaran Regional Electric Co.,1971,30910,19910,11000,0,0
South East Regional Electric Co.,1970,34828,34828,0,0,0
South East Regional Electric Co.,1971,38285,38285,0,0,0
Gilan Regional Electric Co.,1970,15009,15009,0,0,0
Gilan Regional Electric Co.,1971,11852,11852,0,0,0
West Regional Electric Co.,1970,47599,46799,0,0,800
West Regional Electric Co.,1971,37594,36794,0,0,800
Iran Power Generation and Transfer Co.,1970,456050,19750,397500,38800,0
Iran Power Generation and Transfer Co.,1971,822350,24650,721500,76200,
Dam: Mohammad Reza Shah Pahlavi,1970,260000,0,0,0,260000
Dam: Mohammad Reza Shah Pahlavi,1971,520000,0,0,0,520000
Dam: Amir Kabir,1970,91000,0,0,0,91000
Dam: Amir Kabir,1971,91000,0,0,0,91000
Dam: Farahnaz-e-Pahlavi,1970,22500,0,0,0,22500
Dam: Farahnaz-e-Pahlavi,1971,22500,0,0,0,22500
Dam: Shahbanu Farah,1970,87500,0,0,0,87500
Dam: Shahbanu Farah,1971,87500,0,0,0,87500
Dam: Shah Abbas-e-Kabir,1970,55200,0,0,0,55200
Dam: Shah Abbas-e-Kabir,1971,55200,0,0,0,55200
Dam: Aras (newly installed 1971),1971,22000,0,0,0,22000
