REF_AREA,INDICATOR,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,LATEST_DATA,OBS_STATUS,FREQ
PRT,WB_ES_M_BREADY_T11,2019,0.525648,PT,_T,_T,_T,WB_ES_M_SECTOR_1,_Z,_Z,False,A,A
PRT,WB_ES_M_BREADY_T11,2019,0,PT,_T,_T,_T,WB_ES_M_SECTOR_11,_Z,_Z,False,A,A
PRT,WB_ES_M_BREADY_T11,2019,3.163779,PT,_T,_T,_T,WB_ES_M_SECTOR_12,_Z,_Z,False,A,A
PRT,WB_ES_M_BREADY_T11,2019,0,PT,_T,_T,_T,WB_ES_M_SECTOR_15,_Z,_Z,False,A,A
PRT,WB_ES_M_BREADY_T11,2019,0,PT,_T,_T,_T,WB_ES_M_SECTOR_17,_Z,_Z,True,A,A
PRT,WB_ES_M_BREADY_T11,2019,0.170023,PT,_T,_T,_T,WB_ES_M_SECTOR_27,_Z,_Z,False,A,A
PRT,WB_ES_M_BREADY_T11,2023,0.087817,PT,_T,_T,_T,WB_ES_M_SECTOR_1,_Z,_Z,True,A,A
PRT,WB_ES_M_BREADY_T11,2023,0,PT,_T,_T,_T,WB_ES_M_SECTOR_11,_Z,_Z,True,A,A
PRT,WB_ES_M_BREADY_T11,2023,0,PT,_T,_T,_T,WB_ES_M_SECTOR_12,_Z,_Z,True,A,A
PRT,WB_ES_M_BREADY_T11,2023,0.500306,PT,_T,_T,_T,WB_ES_M_SECTOR_15,_Z,_Z,True,A,A
PRT,WB_ES_M_BREADY_T11,2023,0,PT,_T,_T,_T,WB_ES_M_SECTOR_27,_Z,_Z,True,A,A
PRT,WB_ES_M_BREADY_TR18_MEDIAN,2023,4,D,_T,_T,_T,WB_ES_M_SECTOR_1,_Z,_Z,True,A,A
PRT,WB_ES_M_BREADY_TR18_MEDIAN,2023,3,D,_T,_T,_T,WB_ES_M_SECTOR_11,_Z,_Z,True,A,A
PRT,WB_ES_M_BREADY_TR18_MEDIAN,2023,3,D,_T,_T,_T,WB_ES_M_SECTOR_12,_Z,_Z,True,A,A
PRT,WB_ES_M_BREADY_TR18_MEDIAN,2023,5,D,_T,_T,_T,WB_ES_M_SECTOR_15,_Z,_Z,True,A,A
PRT,WB_ES_M_BREADY_TR18_MEDIAN,2023,5,D,_T,_T,_T,WB_ES_M_SECTOR_27,_Z,_Z,True,A,A
PRT,WB_ES_M_BREADY_TR24_MEDIAN,2023,5,D,_T,_T,_T,WB_ES_M_SECTOR_1,_Z,_Z,True,A,A
PRT,WB_ES_M_BREADY_TR24_MEDIAN,2023,3,D,_T,_T,_T,WB_ES_M_SECTOR_11,_Z,_Z,True,A,A
PRT,WB_ES_M_BREADY_TR24_MEDIAN,2023,3,D,_T,_T,_T,WB_ES_M_SECTOR_12,_Z,_Z,True,A,A
PRT,WB_ES_M_BREADY_TR24_MEDIAN,2023,5,D,_T,_T,_T,WB_ES_M_SECTOR_15,_Z,_Z,True,A,A
PRT,WB_ES_M_BREADY_TR24_MEDIAN,2023,5,D,_T,_T,_T,WB_ES_M_SECTOR_27,_Z,_Z,True,A,A
PRT,WB_ES_M_T10,2019,7.067389,PT,_T,_T,_T,WB_ES_M_SECTOR_1,_Z,_Z,False,A,A
