REF_AREA,INDICATOR,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,LATEST_DATA,OBS_STATUS,FREQ
FRA,WB_ES_M_BREADY_T11,2021,11.807885,PT,_T,_T,_T,WB_ES_M_SECTOR_1,_Z,_Z,True,A,A
FRA,WB_ES_M_BREADY_T11,2021,8.003338,PT,_T,_T,_T,WB_ES_M_SECTOR_11,_Z,_Z,True,A,A
FRA,WB_ES_M_BREADY_T11,2021,11.931582,PT,_T,_T,_T,WB_ES_M_SECTOR_12,_Z,_Z,True,A,A
FRA,WB_ES_M_BREADY_T11,2021,16.74839,PT,_T,_T,_T,WB_ES_M_SECTOR_17,_Z,_Z,True,A,A
FRA,WB_ES_M_BREADY_T11,2021,12.536641,PT,_T,_T,_T,WB_ES_M_SECTOR_27,_Z,_Z,True,A,A
FRA,WB_ES_M_BREADY_T11,2021,9.302176,PT,_T,_T,_T,WB_ES_M_SECTOR_32,_Z,_Z,True,A,A
FRA,WB_ES_M_BREADY_T11,2021,10.018545,PT,_T,_T,_T,WB_ES_M_SECTOR_35,_Z,_Z,True,A,A
FRA,WB_ES_M_T10,2021,41.262321,PT,_T,_T,_T,WB_ES_M_SECTOR_1,_Z,_Z,True,A,A
FRA,WB_ES_M_T10,2021,37.302559,PT,_T,_T,_T,WB_ES_M_SECTOR_11,_Z,_Z,True,A,A
FRA,WB_ES_M_T10,2021,32.276527,PT,_T,_T,_T,WB_ES_M_SECTOR_12,_Z,_Z,True,A,A
FRA,WB_ES_M_T10,2021,65.551559,PT,_T,_T,_T,WB_ES_M_SECTOR_17,_Z,_Z,True,A,A
FRA,WB_ES_M_T10,2021,42.854115,PT,_T,_T,_T,WB_ES_M_SECTOR_27,_Z,_Z,True,A,A
FRA,WB_ES_M_T10,2021,45.272942,PT,_T,_T,_T,WB_ES_M_SECTOR_32,_Z,_Z,True,A,A
FRA,WB_ES_M_T10,2021,35.061794,PT,_T,_T,_T,WB_ES_M_SECTOR_35,_Z,_Z,True,A,A
FRA,WB_ES_M_T9_ML,2021,43.257622,PT,_T,_T,_T,WB_ES_M_SECTOR_1,_Z,_Z,True,A,A
FRA,WB_ES_M_T9_ML,2021,45.681992,PT,_T,_T,_T,WB_ES_M_SECTOR_11,_Z,_Z,True,A,A
FRA,WB_ES_M_T9_ML,2021,25.3242,PT,_T,_T,_T,WB_ES_M_SECTOR_12,_Z,_Z,True,A,A
FRA,WB_ES_M_T9_ML,2021,34.645905,PT,_T,_T,_T,WB_ES_M_SECTOR_17,_Z,_Z,True,A,A
FRA,WB_ES_M_T9_ML,2021,52.980072,PT,_T,_T,_T,WB_ES_M_SECTOR_27,_Z,_Z,True,A,A
FRA,WB_ES_M_T9_ML,2021,44.213551,PT,_T,_T,_T,WB_ES_M_SECTOR_32,_Z,_Z,True,A,A
FRA,WB_ES_M_T9_ML,2021,29.755991,PT,_T,_T,_T,WB_ES_M_SECTOR_35,_Z,_Z,True,A,A
FRA,WB_ES_M_T7_ML,2021,48.218071,PT,_T,_T,_T,WB_ES_M_SECTOR_1,_Z,_Z,True,A,A
FRA,WB_ES_M_T7_ML,2021,41.205425,PT,_T,_T,_T,WB_ES_M_SECTOR_11,_Z,_Z,True,A,A
FRA,WB_ES_M_T7_ML,2021,59.597561,PT,_T,_T,_T,WB_ES_M_SECTOR_12,_Z,_Z,True,A,A
FRA,WB_ES_M_T7_ML,2021,70.684021,PT,_T,_T,_T,WB_ES_M_SECTOR_17,_Z,_Z,True,A,A
FRA,WB_ES_M_T7_ML,2021,42.672161,PT,_T,_T,_T,WB_ES_M_SECTOR_27,_Z,_Z,True,A,A
FRA,WB_ES_M_T7_ML,2021,43.822651,PT,_T,_T,_T,WB_ES_M_SECTOR_32,_Z,_Z,True,A,A
