mineral,new_reserves_quantity,unit,unit_price_usd,price_percentage,total_value_usd
Gold,182,tons,60000000,15,1638000000
Iron Ore,977,million tons,60,10,5862000000
Bauxite,17,million tons,16,5,13360000
Barite,103,million tons,5,5,25750000
Antimony,6750,tons,8720,10,5886000
Coal,496,million tons,82,5,2033600000
Rare Earth Elements,85,million tons,,5,0
Copper,14,million tons,7906,15,16602600000
Salt,363,million tons,246,0,89156430
Lead and Zinc,6,million tons,2566,10,1539600000
TOTAL,,,,,27809952430
