country_iso3,indicator_id,year,value,unit,source_dataset
IRN,iran_data_portal__govt_debt_to_cbi_total,1357Q1_1978Q2,587.7,billion_rials,iran-data-portal/government-finance-tables/government_debt_to_central_bank_1978-2016_quarterly.xls
IRN,iran_data_portal__govt_debt_to_cbi_excl_govt_corporations,1357Q1_1978Q2,216.7,billion_rials,iran-data-portal/government-finance-tables/government_debt_to_central_bank_1978-2016_quarterly.xls
IRN,iran_data_portal__govt_corporations_debt_to_cbi,1357Q1_1978Q2,371.0,billion_rials,iran-data-portal/government-finance-tables/government_debt_to_central_bank_1978-2016_quarterly.xls
IRN,iran_data_portal__govt_debt_to_cbi_total,1357Q2_1978Q3,672.8,billion_rials,iran-data-portal/government-finance-tables/government_debt_to_central_bank_1978-2016_quarterly.xls
IRN,iran_data_portal__govt_debt_to_cbi_excl_govt_corporations,1357Q2_1978Q3,270.3,billion_rials,iran-data-portal/government-finance-tables/government_debt_to_central_bank_1978-2016_quarterly.xls
IRN,iran_data_portal__govt_corporations_debt_to_cbi,1357Q2_1978Q3,402.5,billion_rials,iran-data-portal/government-finance-tables/government_debt_to_central_bank_1978-2016_quarterly.xls
IRN,iran_data_portal__govt_debt_to_cbi_total,1357Q3_1978Q4,805.7,billion_rials,iran-data-portal/government-finance-tables/government_debt_to_central_bank_1978-2016_quarterly.xls
IRN,iran_data_portal__govt_debt_to_cbi_excl_govt_corporations,1357Q3_1978Q4,403.2,billion_rials,iran-data-portal/government-finance-tables/government_debt_to_central_bank_1978-2016_quarterly.xls
IRN,iran_data_portal__govt_corporations_debt_to_cbi,1357Q3_1978Q4,402.5,billion_rials,iran-data-portal/government-finance-tables/government_debt_to_central_bank_1978-2016_quarterly.xls
IRN,iran_data_portal__govt_debt_to_cbi_total,1357Q4_1979Q1,1141.9,billion_rials,iran-data-portal/government-finance-tables/government_debt_to_central_bank_1978-2016_quarterly.xls
IRN,iran_data_portal__govt_debt_to_cbi_excl_govt_corporations,1357Q4_1979Q1,660.6,billion_rials,iran-data-portal/government-finance-tables/government_debt_to_central_bank_1978-2016_quarterly.xls
IRN,iran_data_portal__govt_corporations_debt_to_cbi,1357Q4_1979Q1,481.3,billion_rials,iran-data-portal/government-finance-tables/government_debt_to_central_bank_1978-2016_quarterly.xls
IRN,iran_data_portal__govt_debt_to_cbi_total,1358Q1_1979Q2,1386.0,billion_rials,iran-data-portal/government-finance-tables/government_debt_to_central_bank_1978-2016_quarterly.xls
IRN,iran_data_portal__govt_debt_to_cbi_excl_govt_corporations,1358Q1_1979Q2,905.5,billion_rials,iran-data-portal/government-finance-tables/government_debt_to_central_bank_1978-2016_quarterly.xls
IRN,iran_data_portal__govt_corporations_debt_to_cbi,1358Q1_1979Q2,480.5,billion_rials,iran-data-portal/government-finance-tables/government_debt_to_central_bank_1978-2016_quarterly.xls
IRN,iran_data_portal__govt_debt_to_cbi_total,1358Q2_1979Q3,1014.5,billion_rials,iran-data-portal/government-finance-tables/government_debt_to_central_bank_1978-2016_quarterly.xls
IRN,iran_data_portal__govt_debt_to_cbi_excl_govt_corporations,1358Q2_1979Q3,478.6,billion_rials,iran-data-portal/government-finance-tables/government_debt_to_central_bank_1978-2016_quarterly.xls
IRN,iran_data_portal__govt_corporations_debt_to_cbi,1358Q2_1979Q3,535.9,billion_rials,iran-data-portal/government-finance-tables/government_debt_to_central_bank_1978-2016_quarterly.xls
IRN,iran_data_portal__govt_debt_to_cbi_total,1358Q3_1979Q4,1040.1,billion_rials,iran-data-portal/government-finance-tables/government_debt_to_central_bank_1978-2016_quarterly.xls
IRN,iran_data_portal__govt_debt_to_cbi_excl_govt_corporations,1358Q3_1979Q4,479.9,billion_rials,iran-data-portal/government-finance-tables/government_debt_to_central_bank_1978-2016_quarterly.xls
IRN,iran_data_portal__govt_corporations_debt_to_cbi,1358Q3_1979Q4,560.2,billion_rials,iran-data-portal/government-finance-tables/government_debt_to_central_bank_1978-2016_quarterly.xls
IRN,iran_data_portal__govt_debt_to_cbi_total,1358Q4_1980Q1,1550.6,billion_rials,iran-data-portal/government-finance-tables/government_debt_to_central_bank_1978-2016_quarterly.xls
