country_iso3,indicator_id,year,value,unit,source_dataset
IRN,iran_data_portal__gdp_expenditure_private_final_consumption_expenditure,1991,28971,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_private_final_consumption_expenditure,1996,151354,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_private_final_consumption_expenditure,2001,416172,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_private_final_consumption_expenditure,2002,501182,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_private_final_consumption_expenditure,2003,608801,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_private_final_consumption_expenditure,2004,789162,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_private_final_consumption_expenditure,2005,937288,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_npish_final_consumption_expenditure,1991,59,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_npish_final_consumption_expenditure,1996,683,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_npish_final_consumption_expenditure,2001,2782,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_npish_final_consumption_expenditure,2002,4099,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_npish_final_consumption_expenditure,2003,4266,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_npish_final_consumption_expenditure,2004,4903,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_npish_final_consumption_expenditure,2005,5589,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_government_final_consumption_expenditure,1991,6771,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_government_final_consumption_expenditure,1996,36357,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_government_final_consumption_expenditure,2001,97271,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_government_final_consumption_expenditure,2002,125750,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_government_final_consumption_expenditure,2003,152552,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_government_final_consumption_expenditure,2004,182351,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_government_final_consumption_expenditure,2005,247577,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_gross_fixed_capital_formation,1991,14645,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_gross_fixed_capital_formation,1996,55926,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_gross_fixed_capital_formation,2001,174080,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_gross_fixed_capital_formation,2002,210324,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_gross_fixed_capital_formation,2003,271247,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_gross_fixed_capital_formation,2004,387886,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_gross_fixed_capital_formation,2005,486872,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_npish_final_consumption_expenditure,1991,322,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_npish_final_consumption_expenditure,1996,801,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_npish_final_consumption_expenditure,2001,1550,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_npish_final_consumption_expenditure,2002,1944,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_npish_final_consumption_expenditure,2003,1744,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_npish_final_consumption_expenditure,2004,1716,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_npish_final_consumption_expenditure,2005,1732,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_government_final_consumption_expenditure,1991,25304,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_government_final_consumption_expenditure,1996,42338,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_government_final_consumption_expenditure,2001,48948,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_government_final_consumption_expenditure,2002,52794,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_government_final_consumption_expenditure,2003,53393,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_government_final_consumption_expenditure,2004,52691,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
IRN,iran_data_portal__gdp_expenditure_government_final_consumption_expenditure,2005,57878,billion_rials_current_prices,iran-data-portal/government-finance-tables/gdp_by_final_expenditure_components_1991-2005.xlsx
