country_iso3,indicator_id,year,value,unit,source_dataset
IRN,sci_heis__urban_total_net_expenditure,2001,28020,thousand_rials_per_household_per_year,"sci-amar/household-expenditure-detail-2001-2020 (source_table=21.1_top_line, iranian_solar_year=1380)"
IRN,sci_heis__urban_total_net_expenditure,2006,67286,thousand_rials_per_household_per_year,"sci-amar/household-expenditure-detail-2001-2020 (source_table=21.1_top_line, iranian_solar_year=1385)"
IRN,sci_heis__urban_total_net_expenditure,2011,132716,thousand_rials_per_household_per_year,"sci-amar/household-expenditure-detail-2001-2020 (source_table=21.1_top_line, iranian_solar_year=1390)"
IRN,sci_heis__urban_total_net_expenditure,2016,284820,thousand_rials_per_household_per_year,"sci-amar/household-expenditure-detail-2001-2020 (source_table=21.1_top_line, iranian_solar_year=1395)"
IRN,sci_heis__urban_total_net_expenditure,2017,329525,thousand_rials_per_household_per_year,"sci-amar/household-expenditure-detail-2001-2020 (source_table=21.1_top_line, iranian_solar_year=1396)"
IRN,sci_heis__urban_total_net_expenditure,2018,393227,thousand_rials_per_household_per_year,"sci-amar/household-expenditure-detail-2001-2020 (source_table=21.1_top_line, iranian_solar_year=1397)"
IRN,sci_heis__urban_total_net_expenditure,2019,474379,thousand_rials_per_household_per_year,"sci-amar/household-expenditure-detail-2001-2020 (source_table=21.1_top_line, iranian_solar_year=1398)"
IRN,sci_heis__urban_total_net_expenditure,2020,621392,thousand_rials_per_household_per_year,"sci-amar/household-expenditure-detail-2001-2020 (source_table=21.1_top_line, iranian_solar_year=1399)"
IRN,sci_heis__urban_non_food_expenditure,2001,20854,thousand_rials_per_household_per_year,"sci-amar/household-expenditure-detail-2001-2020 (source_table=21.1_top_line, iranian_solar_year=1380)"
IRN,sci_heis__urban_non_food_expenditure,2006,52098,thousand_rials_per_household_per_year,"sci-amar/household-expenditure-detail-2001-2020 (source_table=21.1_top_line, iranian_solar_year=1385)"
IRN,sci_heis__urban_non_food_expenditure,2011,99965,thousand_rials_per_household_per_year,"sci-amar/household-expenditure-detail-2001-2020 (source_table=21.1_top_line, iranian_solar_year=1390)"
IRN,sci_heis__urban_non_food_expenditure,2016,218185,thousand_rials_per_household_per_year,"sci-amar/household-expenditure-detail-2001-2020 (source_table=21.1_top_line, iranian_solar_year=1395)"
