commodity,1950,1951,1952,1953,1954,1955,1956,1957,1958,unit
Wheat,2000,1800,2057,2125,2100,2300,2250,2800,2700,1000 metric tons
Barley,800,720,840,820,824,880,880,1000,950,1000 metric tons
Rice (milled),285,250,295,350,368,225,350,340,320,1000 metric tons
Other grains,62,56,65,65,60,60,60,61,62,1000 metric tons
Pulses,130,126,130,132,135,135,135,136,140,1000 metric tons
Vegetables & melons,800,790,795,800,800,900,900,910,920,1000 metric tons
Fresh fruits (non-citrus) & berries,800,810,800,795,810,800,800,850,1000,1000 metric tons
Oranges & Tangerines,45,45,45,45,45,40,45,44,45,1000 metric tons
Other Citrus,60,55,50,55,55,60,60,61,65,1000 metric tons
Raisins,45,49,45,48,50,60,62,63,63,1000 metric tons
Dates,138,124,139,125,140,100,130,105,125,1000 metric tons
Dried Apricots,6,8,7,8,9,6,8,10,12,1000 metric tons
Other Dried Fruits,45,49,45,48,48,48,49,49,50,1000 metric tons
Almonds (shelled),6,7,7,6,8,4,4,7,8,1000 metric tons
Pistachios (unshelled),3,3,3,2,10,1,2,7,4,1000 metric tons
Walnuts (shelled),5,6,6,5,6,6,6,6,6,1000 metric tons
Hazelnuts (unshelled),,,1,1,1,1,1,1,1,1000 metric tons
Other nuts,19,20,19,20,20,19,20,21,22,1000 metric tons
Sugar,55,69,71,70,62,75,84,87,108,1000 metric tons
Tea,5,5,6,6,6,6,6,7,7,1000 metric tons
Animal Fats,20,20,21,21,20,21,23,23,23,1000 metric tons
Vegetable Oils,11,10,12,12,16,16,18,20,22,1000 metric tons
Tobacco,15,12,13,19,12,11,14,17,13,1000 metric tons
Cotton,28,27,36,52,60,60,62,61,70,1000 metric tons
Wool,15,15,17,17,18,20,20,19,20,1000 metric tons
Cotton Seed,56,72,84,100,90,110,124,125,140,1000 metric tons
