year,net_profit_gbp_thousand,uk_taxes_gbp_thousand,royalty_payments_to_iran_gbp_thousand,notes
1910-32,51870,7700,12498,"Aggregate for the whole 1910-32 period (pre-renegotiation royalty basis)"
1933,2644,305,1812,
1934,3183,512,2190,
1935,3519,409,2221,
1936,6123,911,2580,
1937,7455,1652,3545,
1938,6109,1157,3307,
1939,2986,1956,4271,"Guaranteed minimum royalty (see 1940-43 note); without the guarantee, actual royalty would have been 2,770.814"
1940,2842,2975,4000,"Guaranteed minimum; without guarantee would have been 2,786.104. In 1940 AIOC also paid an indemnity of 1,500 (GBP thousand) to the Iranian Government for 1939"
1941,3292,2921,4000,"Guaranteed minimum; without guarantee would have been 2,025.304"
1942,7790,4918,4000,"Guaranteed minimum, extended from the original 1940-41 guarantee; without guarantee would have been 3,427.933"
1943,5639,2799,4000,"Guaranteed minimum, extended; without guarantee would have been 3,617.917"
1944,5677,2756,4464,
1945,5792,2806,5624,
1946,9625,2980,7132,
1947,18565,15267,7104,
1948,24065,28310,9172,"Had the (unratified) 1949 supplemental agreement been in force, this would have been 18,667 GBP thousand"
1949,18444,20094,13489,"Had the (unratified) 1949 supplemental agreement been in force, this would have been 22,890 GBP thousand"
1950,33759,26742,16032,"Had the (unratified) 1949 supplemental agreement been in force, this would have been ~30,000 GBP thousand"
1951,24843,27374,8326,"Year of nationalization (formal nationalization law passed March/May 1951); AIOC operations in Iran ended this year"
1910-1951 TOTAL,244222,154544,119767,"Sum of all rows above as reported in the source table"
