"ACCOUNT",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"Gross domestic product",2821.4,3473.3,4318.1,5603.4,8033.2,10709.0,14699.6,18907.2,25567.2,32952.6,40423.4,50591.8,58429.2,69523.5,80395.8,90277.0,105744.5,125228.0,150300.3,170708.4,206712.6,249964.9,286437.4,325647.8,384996.6,452187.1,507768.4,560502.0,556786.9,613069.3,675732.6,732723.1,813225.4,868110.6,942885.3,995175.5,1045663.2,1134541.3,1202972.9,1255305.5,1379460.2,1448575.6,1504674.1,1570938.2,1638484.8,1740776.0,1833026.6,1934233.9,2006974.5,2040594.3,2058466.5,2223719.9,2328169.0,2407575.8,2564204.2,2676674.8
"Compensation of employees",946.7,1172.1,1427.0,1864.8,2526.5,3415.8,4834.2,6537.3,9328.2,12512.2,15815.3,19589.9,22851.0,27691.1,31942.4,35571.1,41435.9,49926.2,61538.7,73158.4,89844.9,111996.7,128074.4,145950.7,172050.8,206121.6,236484.7,249953.8,238716.5,255385.7,280662.7,309761.7,342355.3,373346.0,405112.6,435705.8,464226.7,501075.5,531515.7,551885.1,591304.3,631625.5,661336.9,697501.3,739024.1,788366.1,826816.0,866774.2,914050.9,962415.5,985597.8,1038685.8,1103857.7,1170376.6,1225918.4,1273036.7
"Operating surplus",1456.9,1783.3,2275.9,2901.1,4219.8,5442.1,7179.9,8824.0,11427.6,14031.0,16134.3,20389.8,22884.3,26205.1,31321.5,35571.7,41931.4,48617.5,56736.1,61487.0,70698.3,84641.5,94427.8,106818.5,127156.8,138967.9,145976.0,168298.2,169310.5,192353.7,212863.3,221065.3,250237.4,259592.5,289602.6,295811.4,301364.3,333194.5,338267.7,351722.0,408585.5,411551.1,417166.9,435808.7,443107.3,470741.7,499418.8,532458.6,532155.7,490942.3,458413.2,511500.9,495190.3,494816.0,552699.4,587250.2
"Consumption of fixed capital",177.0,229.5,293.3,413.7,589.5,807.5,1113.0,1479.5,1929.1,2674.5,3828.6,4873.4,6058.9,7296.2,8163.1,9503.9,11358.5,13906.8,17157.3,19812.3,25218.8,29490.1,36204.7,42053.9,48590.1,63440.7,74299.1,85740.7,99033.0,104241.9,112985.0,124746.1,133801.4,145304.3,157887.4,168118.1,177988.6,188936.9,214830.7,233860.8,247846.3,268555.6,285978.0,297278.2,309978.3,324995.6,339409.5,358246.2,379334.2,403277.5,423335.0,459947.6,509200.9,539181.3,570347.8,597161.5
"Taxes on production and imports",266.7,316.7,355.0,462.8,762.1,1148.6,1624.4,2118.3,2939.6,3856.0,4814.8,5907.5,6781.1,8444.3,9105.1,9735.8,11148.2,12908.7,14944.9,16407.2,21146.2,24079.8,27976.8,31231.2,37650.6,44112.8,51832.3,57362.9,50419.5,61746.2,70022.8,78381.4,88661.3,92295.3,93507.6,99737.0,106343.7,116161.2,123114.0,122906.6,137470.0,141998.1,145914.4,146297.1,153011.8,164260.2,176135.6,186723.1,194182.7,196973.8,207469.2,230691.6,234325.4,216406.6,228337.6,232598.4
"(less) Subsidies",25.8,28.3,33.2,39.0,64.7,104.9,51.9,51.9,57.4,121.1,169.5,169.0,146.1,113.2,136.2,105.4,129.5,131.2,76.6,156.5,195.6,243.1,246.2,406.4,451.7,456.0,823.8,853.7,692.7,658.2,801.1,1231.3,1829.9,2427.5,3224.9,4196.7,4260.0,4826.7,4755.2,5069.1,5745.8,5154.7,5722.0,5947.1,6636.8,7587.7,8753.3,9968.3,12749.0,13014.8,16348.7,17106.0,14405.2,13204.6,13098.9,13372.0
"Expenditure on gross domestic product",2821.4,3473.3,4318.1,5603.4,8033.2,10709.0,14699.6,18907.2,25567.2,32952.6,40423.4,50591.8,58429.2,69523.5,80395.8,90277.0,105744.5,125228.0,150300.3,170708.4,206712.6,249964.9,286437.4,325647.8,384996.6,452187.1,507768.4,560502.0,556786.9,613069.3,675732.6,732723.1,813225.4,868110.6,942885.3,995175.5,1045663.2,1134541.3,1202972.9,1255305.5,1379460.2,1448575.6,1504674.1,1570938.2,1638484.8,1740776.0,1833026.6,1934233.9,2006974.5,2040594.3,2058466.5,2223719.9,2328169.0,2407575.8,2564204.2,2676674.8
"Private final consumption expenditure",2075.1,2611.4,3132.2,3835.3,5500.8,7375.1,9445.9,11533.5,15253.6,19751.4,25293.6,31653.3,35809.1,40423.7,45177.7,50210.8,55998.3,63200.0,73226.9,86196.3,103461.0,125559.4,145624.8,166373.5,199616.8,235530.1,271401.8,300406.6,280983.5,323065.5,368955.5,406421.3,457657.2,472690.1,490799.0,525555.4,560699.0,602898.9,641090.7,659558.9,706294.5,755406.1,786231.6,809678.6,836980.5,866788.8,902762.4,946901.5,991724.3,1022456.7,984088.0,1046804.4,1139669.3,1204160.3,1245185.3,1286459.0
"Government final consumption expenditure",276.7,350.0,446.8,491.0,759.3,1169.3,1565.0,1993.4,2492.3,3173.3,4701.1,5936.4,6697.6,7517.0,8225.6,9267.7,10492.4,12088.6,14416.4,17746.9,21927.6,25932.3,30604.1,33849.8,38299.3,44058.3,51338.6,55833.4,61880.0,66059.2,71396.3,83168.0,92035.7,101505.1,112068.5,122747.6,133912.2,145514.1,160813.9,175181.9,186283.8,198577.0,210694.0,224011.1,237367.8,249739.8,264717.1,281899.3,303861.2,327780.4,349586.2,378268.2,409866.5,428148.6,447509.5,469183.9
"Gross fixed capital formation",722.9,803.6,916.8,1347.3,2156.5,2880.8,3837.0,5487.1,8503.1,11276.9,13174.8,14565.1,17189.0,20826.7,23613.2,26324.0,30765.5,37420.0,45515.3,55114.1,76071.6,95999.9,104379.6,116619.4,138151.9,165191.4,187491.4,196676.1,167757.4,181220.4,212822.8,223523.3,245493.0,269739.0,291492.0,303116.2,318972.1,341146.6,371619.4,387726.9,420222.2,442973.8,449226.9,459261.6,478316.0,507959.9,547455.7,613123.4,612026.6,614474.5,638966.7,699214.1,741402.0,756894.7,773518.6,759813.7
"Changes in inventories and acquisitions less disposals of valuables",21.7,71.4,26.5,135.3,490.4,209.1,269.9,241.8,401.9,1133.4,774.5,2107.1,1977.1,2329.0,3076.6,3648.9,4730.5,4610.4,8138.9,8779.0,6929.6,8148.0,7655.8,7388.2,11641.8,12716.0,14132.8,12851.5,-11143.1,10382.5,10287.8,9970.6,9097.7,11501.6,16687.1,22449.1,26138.8,36078.5,33828.6,-16683.6,31954.5,38841.9,20456.5,10433.5,9778.6,2299.9,2129.6,5160.1,15125.9,22100.9,9962.1,24372.1,38191.3,5085.9,-8299.4,14038.2
"Exports of goods and services",318.9,434.3,705.3,1318.1,1749.0,2375.5,3680.9,4825.4,6261.3,7622.1,11208.0,14756.6,15594.8,18884.6,22618.6,23576.5,32760.2,42182.9,47248.8,45195.0,49959.5,57460.8,66629.0,74439.1,90501.1,113457.6,122631.0,153986.1,212898.0,193192.0,222074.8,226139.4,234770.7,264294.1,335760.8,339625.5,360186.2,408905.6,551528.8,546191.2,624507.3,742848.7,782784.6,773433.5,750223.2,713163.4,698621.2,751428.4,791798.6,755863.2,712542.3,881256.9,1058256.1,995175.9,1144092.0,1230944.4
"(less) Imports of goods and services",590.9,791.6,915.5,1529.3,2633.6,3304.7,4104.7,5189.4,7353.4,10012.9,14755.5,18498.5,18849.8,20470.0,22402.2,22760.1,29017.4,34345.1,38321.5,42425.9,51723.2,63246.9,68589.0,73475.4,93303.3,118951.8,139445.8,159306.2,156413.1,161743.6,210791.5,216628.6,226075.0,251574.5,304713.5,318877.3,354785.5,400294.2,556209.0,497276.6,589802.1,730071.9,744719.5,705880.1,674181.4,599175.9,582659.3,664278.8,707562.2,702081.5,636678.7,806195.9,1059216.2,981889.6,1037801.9,1084615.8
"Statistical discrepancy",-3.2,-5.6,6.1,5.7,10.8,3.9,5.7,15.4,8.4,8.4,26.8,71.8,11.5,12.5,86.4,9.2,15.2,71.2,75.4,102.8,86.5,111.4,133.1,453.1,89.1,185.6,218.6,54.4,824.1,893.3,986.9,129.1,246.0,-44.8,791.4,559.0,540.3,291.7,300.6,606.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,851.5
"Net factor income from the rest of the world",50.8,26.2,9.3,5.4,28.4,-85.3,-64.1,-53.2,72.9,-56.4,-361.5,-676.8,-529.7,-710.1,-1111.7,-1932.5,-2213.7,-1474.0,-1130.8,-487.7,-200.9,-246.6,-368.2,-420.8,-938.7,-1604.0,-1721.5,-2911.0,-6953.1,-6523.6,-4360.2,-4784.9,-2912.5,-2921.8,-1574.5,-6762.3,-2936.8,-2762.9,293.2,-1867.9,1975.7,8597.6,15077.6,9565.8,7564.4,5186.2,6363.9,7482.6,7614.0,16609.8,16943.8,23299.8,27353.8,33301.8,37409.5,40388.0
"Gross national income",2872.2,3499.6,4327.4,5608.8,8061.6,10623.7,14635.5,18854.0,25640.2,32896.1,40061.8,49915.0,57899.6,68813.5,79284.1,88344.6,103530.8,123754.0,149169.6,170220.7,206511.6,249718.4,286069.2,325226.9,384057.9,450583.1,506046.8,557590.9,549833.8,606545.7,671372.4,727938.2,810312.9,865188.8,941310.7,988413.2,1042726.4,1131778.4,1203266.1,1253437.6,1381435.9,1457173.3,1519751.8,1580503.9,1646049.1,1745962.1,1839390.5,1941716.5,2014588.5,2057204.1,2075410.3,2247019.7,2355522.9,2440877.5,2601613.7,2717062.8
