province,indicator,year_sh,value,unit,value_label_fa,rank,edition,source_title_fa
کل كشور,industrial_production_value_share_pct,1396,100,(درصد),سهم,××,jaygah_1398-1402,7- توزیع ارزش تولیدات کارگاه‌های صنعتی دارای ده نفر کارکن و بیشتر
کل كشور,industrial_production_value_share_pct,1397,100,(درصد),سهم,××,jaygah_1398-1402,7- توزیع ارزش تولیدات کارگاه‌های صنعتی دارای ده نفر کارکن و بیشتر
کل كشور,industrial_production_value_share_pct,1398,100,(درصد),سهم,××,jaygah_1398-1402,7- توزیع ارزش تولیدات کارگاه‌های صنعتی دارای ده نفر کارکن و بیشتر
کل كشور,industrial_production_value_share_pct,1399,100,(درصد),سهم,××,jaygah_1398-1402,7- توزیع ارزش تولیدات کارگاه‌های صنعتی دارای ده نفر کارکن و بیشتر
کل كشور,industrial_production_value_share_pct,1400,100,(درصد),سهم,××,jaygah_1398-1402,7- توزیع ارزش تولیدات کارگاه‌های صنعتی دارای ده نفر کارکن و بیشتر
آذربايجان شرقي,industrial_production_value_share_pct,1396,5.15683700427599,(درصد),سهم,6,jaygah_1398-1402,7- توزیع ارزش تولیدات کارگاه‌های صنعتی دارای ده نفر کارکن و بیشتر
آذربايجان شرقي,industrial_production_value_share_pct,1397,5.654256960301803,(درصد),سهم,7,jaygah_1398-1402,7- توزیع ارزش تولیدات کارگاه‌های صنعتی دارای ده نفر کارکن و بیشتر
آذربايجان شرقي,industrial_production_value_share_pct,1398,5.3271062062556,(درصد),سهم,7,jaygah_1398-1402,7- توزیع ارزش تولیدات کارگاه‌های صنعتی دارای ده نفر کارکن و بیشتر
آذربايجان شرقي,industrial_production_value_share_pct,1399,5.406896695233165,(درصد),سهم,7,jaygah_1398-1402,7- توزیع ارزش تولیدات کارگاه‌های صنعتی دارای ده نفر کارکن و بیشتر
آذربايجان شرقي,industrial_production_value_share_pct,1400,5.362697852767298,(درصد),سهم,7,jaygah_1398-1402,7- توزیع ارزش تولیدات کارگاه‌های صنعتی دارای ده نفر کارکن و بیشتر
آذربايجان غربي,industrial_production_value_share_pct,1396,0.8600059764319614,(درصد),سهم,20,jaygah_1398-1402,7- توزیع ارزش تولیدات کارگاه‌های صنعتی دارای ده نفر کارکن و بیشتر
آذربايجان غربي,industrial_production_value_share_pct,1397,0.8131960122614624,(درصد),سهم,20,jaygah_1398-1402,7- توزیع ارزش تولیدات کارگاه‌های صنعتی دارای ده نفر کارکن و بیشتر
آذربايجان غربي,industrial_production_value_share_pct,1398,0.7102111284553413,(درصد),سهم,20,jaygah_1398-1402,7- توزیع ارزش تولیدات کارگاه‌های صنعتی دارای ده نفر کارکن و بیشتر
آذربايجان غربي,industrial_production_value_share_pct,1399,0.7450435380279752,(درصد),سهم,20,jaygah_1398-1402,7- توزیع ارزش تولیدات کارگاه‌های صنعتی دارای ده نفر کارکن و بیشتر
آذربايجان غربي,industrial_production_value_share_pct,1400,0.762822553011661,(درصد),سهم,20,jaygah_1398-1402,7- توزیع ارزش تولیدات کارگاه‌های صنعتی دارای ده نفر کارکن و بیشتر
