province,metric,year_sh,value,rank
کل کشور,gdp_per_capita_excl_oil_thousand_rial,1393,131702,××
کل کشور,gdp_per_capita_excl_oil_thousand_rial,1394,136789,××
کل کشور,gdp_per_capita_excl_oil_thousand_rial,1395,160952,××
کل کشور,gdp_per_capita_excl_oil_thousand_rial,1396,187422,××
کل کشور,gdp_per_capita_excl_oil_thousand_rial,1397,254256,××
آذربايجان شرقي,gdp_per_capita_excl_oil_thousand_rial,1393,102490,18
آذربايجان شرقي,gdp_per_capita_excl_oil_thousand_rial,1394,112535,16
آذربايجان شرقي,gdp_per_capita_excl_oil_thousand_rial,1395,132197,17
آذربايجان شرقي,gdp_per_capita_excl_oil_thousand_rial,1396,155262,17
آذربايجان شرقي,gdp_per_capita_excl_oil_thousand_rial,1397,213029,14
آذربايجان غربي,gdp_per_capita_excl_oil_thousand_rial,1393,75758,27
آذربايجان غربي,gdp_per_capita_excl_oil_thousand_rial,1394,82689,28
آذربايجان غربي,gdp_per_capita_excl_oil_thousand_rial,1395,96973,28
آذربايجان غربي,gdp_per_capita_excl_oil_thousand_rial,1396,109959,29
آذربايجان غربي,gdp_per_capita_excl_oil_thousand_rial,1397,153724,27
اردبيل,gdp_per_capita_excl_oil_thousand_rial,1393,98583,20
اردبيل,gdp_per_capita_excl_oil_thousand_rial,1394,103662,21
اردبيل,gdp_per_capita_excl_oil_thousand_rial,1395,118130,22
اردبيل,gdp_per_capita_excl_oil_thousand_rial,1396,140029,20
اردبيل,gdp_per_capita_excl_oil_thousand_rial,1397,182516,22
اصفهان,gdp_per_capita_excl_oil_thousand_rial,1393,131827,9
اصفهان,gdp_per_capita_excl_oil_thousand_rial,1394,136227,10
اصفهان,gdp_per_capita_excl_oil_thousand_rial,1395,158320,8
اصفهان,gdp_per_capita_excl_oil_thousand_rial,1396,191615,7
اصفهان,gdp_per_capita_excl_oil_thousand_rial,1397,260208,8
البرز,gdp_per_capita_excl_oil_thousand_rial,1393,131999,8
البرز,gdp_per_capita_excl_oil_thousand_rial,1394,138247,8
البرز,gdp_per_capita_excl_oil_thousand_rial,1395,153845,10
البرز,gdp_per_capita_excl_oil_thousand_rial,1396,181868,10
البرز,gdp_per_capita_excl_oil_thousand_rial,1397,245178,9
ايلام,gdp_per_capita_excl_oil_thousand_rial,1393,116481,13
ايلام,gdp_per_capita_excl_oil_thousand_rial,1394,114739,17
ايلام,gdp_per_capita_excl_oil_thousand_rial,1395,132676,16
ايلام,gdp_per_capita_excl_oil_thousand_rial,1396,157097,16
ايلام,gdp_per_capita_excl_oil_thousand_rial,1397,207562,17
بوشهر,gdp_per_capita_excl_oil_thousand_rial,1393,502247,1
بوشهر,gdp_per_capita_excl_oil_thousand_rial,1394,380720,1
بوشهر,gdp_per_capita_excl_oil_thousand_rial,1395,548168,1
بوشهر,gdp_per_capita_excl_oil_thousand_rial,1396,668008,1
بوشهر,gdp_per_capita_excl_oil_thousand_rial,1397,1072595,1
تهران,gdp_per_capita_excl_oil_thousand_rial,1393,208956,2
تهران,gdp_per_capita_excl_oil_thousand_rial,1394,219675,2
تهران,gdp_per_capita_excl_oil_thousand_rial,1395,254981,2
تهران,gdp_per_capita_excl_oil_thousand_rial,1396,295389,2
تهران,gdp_per_capita_excl_oil_thousand_rial,1397,387931,3
چهارمحال و بختیاری,gdp_per_capita_excl_oil_thousand_rial,1393,77084,24
چهارمحال و بختیاری,gdp_per_capita_excl_oil_thousand_rial,1394,90428,24
چهارمحال و بختیاری,gdp_per_capita_excl_oil_thousand_rial,1395,101571,24
چهارمحال و بختیاری,gdp_per_capita_excl_oil_thousand_rial,1396,122529,24
چهارمحال و بختیاری,gdp_per_capita_excl_oil_thousand_rial,1397,164318,24
خراسان جنوبی,gdp_per_capita_excl_oil_thousand_rial,1393,76774,26
خراسان جنوبی,gdp_per_capita_excl_oil_thousand_rial,1394,88093,25
خراسان جنوبی,gdp_per_capita_excl_oil_thousand_rial,1395,98654,27
خراسان جنوبی,gdp_per_capita_excl_oil_thousand_rial,1396,116872,25
خراسان جنوبی,gdp_per_capita_excl_oil_thousand_rial,1397,147612,29
خراسان رضوی,gdp_per_capita_excl_oil_thousand_rial,1393,103554,17
خراسان رضوی,gdp_per_capita_excl_oil_thousand_rial,1394,109594,19
