province,indicator,year_sh,value,unit,value_label_fa,rank,edition,source_title_fa
کل کشور,bank_loans_to_deposits_ratio_pct,1398,79.4,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
کل کشور,bank_loans_to_deposits_ratio_pct,1399,72.2,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
کل کشور,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
کل کشور,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
کل کشور,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
آذربايجان شرقي,bank_loans_to_deposits_ratio_pct,1398,57.7,(درصد),نسبت,23,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
آذربايجان شرقي,bank_loans_to_deposits_ratio_pct,1399,55.5,(درصد),نسبت,22,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
آذربايجان شرقي,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
آذربايجان شرقي,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
آذربايجان شرقي,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
آذربايجان غربي,bank_loans_to_deposits_ratio_pct,1398,65.4,(درصد),نسبت,19,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
آذربايجان غربي,bank_loans_to_deposits_ratio_pct,1399,59.5,(درصد),نسبت,19,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
آذربايجان غربي,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
آذربايجان غربي,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
آذربايجان غربي,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
اردبيل,bank_loans_to_deposits_ratio_pct,1398,82,(درصد),نسبت,10,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
اردبيل,bank_loans_to_deposits_ratio_pct,1399,76.7,(درصد),نسبت,11,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
اردبيل,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
اردبيل,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
اردبيل,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
اصفهان,bank_loans_to_deposits_ratio_pct,1398,55.9,(درصد),نسبت,25,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
اصفهان,bank_loans_to_deposits_ratio_pct,1399,52.2,(درصد),نسبت,26,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
اصفهان,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
اصفهان,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
اصفهان,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
البرز,bank_loans_to_deposits_ratio_pct,1398,45.7,(درصد),نسبت,30,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
البرز,bank_loans_to_deposits_ratio_pct,1399,41.3,(درصد),نسبت,29,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
البرز,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
البرز,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
البرز,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
ايلام,bank_loans_to_deposits_ratio_pct,1398,102.8,(درصد),نسبت,2,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
ايلام,bank_loans_to_deposits_ratio_pct,1399,100.2,(درصد),نسبت,1,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
ايلام,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
ايلام,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
ايلام,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
بوشهر,bank_loans_to_deposits_ratio_pct,1398,39.2,(درصد),نسبت,31,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
بوشهر,bank_loans_to_deposits_ratio_pct,1399,31.4,(درصد),نسبت,31,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
بوشهر,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
بوشهر,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
بوشهر,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
تهران,bank_loans_to_deposits_ratio_pct,1398,93.8,(درصد),نسبت,4,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
تهران,bank_loans_to_deposits_ratio_pct,1399,85,(درصد),نسبت,5,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
تهران,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
تهران,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
تهران,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
چهارمحال و بختیاری,bank_loans_to_deposits_ratio_pct,1398,86.4,(درصد),نسبت,7,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
چهارمحال و بختیاری,bank_loans_to_deposits_ratio_pct,1399,86.3,(درصد),نسبت,4,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
چهارمحال و بختیاری,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
چهارمحال و بختیاری,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
چهارمحال و بختیاری,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
خراسان جنوبی,bank_loans_to_deposits_ratio_pct,1398,80.4,(درصد),نسبت,11,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
خراسان جنوبی,bank_loans_to_deposits_ratio_pct,1399,81.8,(درصد),نسبت,8,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
خراسان جنوبی,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
خراسان جنوبی,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
خراسان جنوبی,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
خراسان رضوی,bank_loans_to_deposits_ratio_pct,1398,54.8,(درصد),نسبت,26,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
خراسان رضوی,bank_loans_to_deposits_ratio_pct,1399,53.8,(درصد),نسبت,24,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
خراسان رضوی,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
خراسان رضوی,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
خراسان رضوی,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
خراسان شمالی,bank_loans_to_deposits_ratio_pct,1398,99.2,(درصد),نسبت,3,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
خراسان شمالی,bank_loans_to_deposits_ratio_pct,1399,96,(درصد),نسبت,2,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
خراسان شمالی,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
خراسان شمالی,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
خراسان شمالی,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
خوزستان,bank_loans_to_deposits_ratio_pct,1398,51.8,(درصد),نسبت,27,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
خوزستان,bank_loans_to_deposits_ratio_pct,1399,47.9,(درصد),نسبت,27,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
خوزستان,bank_loans_to_deposits_ratio_pct,1400,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
خوزستان,bank_loans_to_deposits_ratio_pct,1401,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
خوزستان,bank_loans_to_deposits_ratio_pct,1402,000,(درصد),نسبت,××,jaygah_1398-1402,1- نسبت تسهیلات اعطایی بانک ها به سپرده بانکی
