province,indicator,year_sh,value,unit,value_label_fa,rank,edition,source_title_fa
کل کشور,mine_production_value_share_pct,1397,100/00,(درصد),سهم,××,jaygah_1398-1402,11-توزیع ارزش تولیدات معادن در حال بهره برداری از معادن کشور
کل کشور,mine_production_value_share_pct,1398,100/00,(درصد),سهم,××,jaygah_1398-1402,11-توزیع ارزش تولیدات معادن در حال بهره برداری از معادن کشور
کل کشور,mine_production_value_share_pct,1399,100/00,(درصد),سهم,××,jaygah_1398-1402,11-توزیع ارزش تولیدات معادن در حال بهره برداری از معادن کشور
کل کشور,mine_production_value_share_pct,1400,100/00,(درصد),سهم,××,jaygah_1398-1402,11-توزیع ارزش تولیدات معادن در حال بهره برداری از معادن کشور
کل کشور,mine_production_value_share_pct,1401,100,(درصد),سهم,××,jaygah_1398-1402,11-توزیع ارزش تولیدات معادن در حال بهره برداری از معادن کشور
آذربايجان شرقی,mine_production_value_share_pct,1397,11.363624709808363,(درصد),سهم,3,jaygah_1398-1402,11-توزیع ارزش تولیدات معادن در حال بهره برداری از معادن کشور
آذربايجان شرقی,mine_production_value_share_pct,1398,6.810564737851344,(درصد),سهم,3,jaygah_1398-1402,11-توزیع ارزش تولیدات معادن در حال بهره برداری از معادن کشور
آذربايجان شرقی,mine_production_value_share_pct,1399,9.079951753141835,(درصد),سهم,3,jaygah_1398-1402,11-توزیع ارزش تولیدات معادن در حال بهره برداری از معادن کشور
آذربايجان شرقی,mine_production_value_share_pct,1400,6.117321205851964,(درصد),سهم,4,jaygah_1398-1402,11-توزیع ارزش تولیدات معادن در حال بهره برداری از معادن کشور
آذربايجان شرقی,mine_production_value_share_pct,1401,6.2230355361632235,(درصد),سهم,4,jaygah_1398-1402,11-توزیع ارزش تولیدات معادن در حال بهره برداری از معادن کشور
آذربايجان غربي,mine_production_value_share_pct,1397,0.8211422469639932,(درصد),سهم,12,jaygah_1398-1402,11-توزیع ارزش تولیدات معادن در حال بهره برداری از معادن کشور
آذربايجان غربي,mine_production_value_share_pct,1398,0.9706403011614539,(درصد),سهم,9,jaygah_1398-1402,11-توزیع ارزش تولیدات معادن در حال بهره برداری از معادن کشور
آذربايجان غربي,mine_production_value_share_pct,1399,0.6606337625699777,(درصد),سهم,10,jaygah_1398-1402,11-توزیع ارزش تولیدات معادن در حال بهره برداری از معادن کشور
آذربايجان غربي,mine_production_value_share_pct,1400,0.5992627030897666,(درصد),سهم,12,jaygah_1398-1402,11-توزیع ارزش تولیدات معادن در حال بهره برداری از معادن کشور
آذربايجان غربي,mine_production_value_share_pct,1401,0.5768229788994599,(درصد),سهم,14,jaygah_1398-1402,11-توزیع ارزش تولیدات معادن در حال بهره برداری از معادن کشور
اردبيل,mine_production_value_share_pct,1397,0.09899573757628942,(درصد),سهم,29,jaygah_1398-1402,11-توزیع ارزش تولیدات معادن در حال بهره برداری از معادن کشور
اردبيل,mine_production_value_share_pct,1398,0.11074559074155237,(درصد),سهم,29,jaygah_1398-1402,11-توزیع ارزش تولیدات معادن در حال بهره برداری از معادن کشور
اردبيل,mine_production_value_share_pct,1399,0.08738137275242101,(درصد),سهم,29,jaygah_1398-1402,11-توزیع ارزش تولیدات معادن در حال بهره برداری از معادن کشور
اردبيل,mine_production_value_share_pct,1400,0.06892065746942574,(درصد),سهم,29,jaygah_1398-1402,11-توزیع ارزش تولیدات معادن در حال بهره برداری از معادن کشور
اردبيل,mine_production_value_share_pct,1401,0.0818582080849369,(درصد),سهم,29,jaygah_1398-1402,11-توزیع ارزش تولیدات معادن در حال بهره برداری از معادن کشور
اصفهان,mine_production_value_share_pct,1397,2.3084505299634106,(درصد),سهم,4,jaygah_1398-1402,11-توزیع ارزش تولیدات معادن در حال بهره برداری از معادن کشور
اصفهان,mine_production_value_share_pct,1398,1.615098170478812,(درصد),سهم,6,jaygah_1398-1402,11-توزیع ارزش تولیدات معادن در حال بهره برداری از معادن کشور
