province,indicator,year_sh,value,unit,value_label_fa,rank,edition,source_title_fa
کل کشور,current_expenditure_share_pct,1397,100,(درصد),سهم,××,jaygah_1398-1402,1- توزیع عملكرد اعتبارات هزينه‌اي (جاري) دستگاه‌هاي اجرايي استان ها  از محل درآمد عمومي
کل کشور,current_expenditure_share_pct,1398,100,(درصد),سهم,××,jaygah_1398-1402,1- توزیع عملكرد اعتبارات هزينه‌اي (جاري) دستگاه‌هاي اجرايي استان ها  از محل درآمد عمومي
کل کشور,current_expenditure_share_pct,1399,100,(درصد),سهم,××,jaygah_1398-1402,1- توزیع عملكرد اعتبارات هزينه‌اي (جاري) دستگاه‌هاي اجرايي استان ها  از محل درآمد عمومي
کل کشور,current_expenditure_share_pct,1400,100,(درصد),سهم,××,jaygah_1398-1402,1- توزیع عملكرد اعتبارات هزينه‌اي (جاري) دستگاه‌هاي اجرايي استان ها  از محل درآمد عمومي
کل کشور,current_expenditure_share_pct,1401,100,(درصد),سهم,××,jaygah_1398-1402,1- توزیع عملكرد اعتبارات هزينه‌اي (جاري) دستگاه‌هاي اجرايي استان ها  از محل درآمد عمومي
آذربايجان شرقي ..............,current_expenditure_share_pct,1397,5.16,(درصد),سهم,5,jaygah_1398-1402,1- توزیع عملكرد اعتبارات هزينه‌اي (جاري) دستگاه‌هاي اجرايي استان ها  از محل درآمد عمومي
آذربايجان شرقي ..............,current_expenditure_share_pct,1398,5.18,(درصد),سهم,5,jaygah_1398-1402,1- توزیع عملكرد اعتبارات هزينه‌اي (جاري) دستگاه‌هاي اجرايي استان ها  از محل درآمد عمومي
آذربايجان شرقي ..............,current_expenditure_share_pct,1399,5.38,(درصد),سهم,5,jaygah_1398-1402,1- توزیع عملكرد اعتبارات هزينه‌اي (جاري) دستگاه‌هاي اجرايي استان ها  از محل درآمد عمومي
آذربايجان شرقي ..............,current_expenditure_share_pct,1400,1.2205589183063645,(درصد),سهم,28,jaygah_1398-1402,1- توزیع عملكرد اعتبارات هزينه‌اي (جاري) دستگاه‌هاي اجرايي استان ها  از محل درآمد عمومي
آذربايجان شرقي ..............,current_expenditure_share_pct,1401,4.68953726532469,(درصد),سهم,8,jaygah_1398-1402,1- توزیع عملكرد اعتبارات هزينه‌اي (جاري) دستگاه‌هاي اجرايي استان ها  از محل درآمد عمومي
آذربايجان غربي ..............,current_expenditure_share_pct,1397,3.96,(درصد),سهم,10,jaygah_1398-1402,1- توزیع عملكرد اعتبارات هزينه‌اي (جاري) دستگاه‌هاي اجرايي استان ها  از محل درآمد عمومي
آذربايجان غربي ..............,current_expenditure_share_pct,1398,3.99,(درصد),سهم,9,jaygah_1398-1402,1- توزیع عملكرد اعتبارات هزينه‌اي (جاري) دستگاه‌هاي اجرايي استان ها  از محل درآمد عمومي
آذربايجان غربي ..............,current_expenditure_share_pct,1399,4.23,(درصد),سهم,9,jaygah_1398-1402,1- توزیع عملكرد اعتبارات هزينه‌اي (جاري) دستگاه‌هاي اجرايي استان ها  از محل درآمد عمومي
آذربايجان غربي ..............,current_expenditure_share_pct,1400,4.450878636424418,(درصد),سهم,9,jaygah_1398-1402,1- توزیع عملكرد اعتبارات هزينه‌اي (جاري) دستگاه‌هاي اجرايي استان ها  از محل درآمد عمومي
آذربايجان غربي ..............,current_expenditure_share_pct,1401,4.122590437784602,(درصد),سهم,10,jaygah_1398-1402,1- توزیع عملكرد اعتبارات هزينه‌اي (جاري) دستگاه‌هاي اجرايي استان ها  از محل درآمد عمومي
اردبيل..............,current_expenditure_share_pct,1397,2.09,(درصد),سهم,19,jaygah_1398-1402,1- توزیع عملكرد اعتبارات هزينه‌اي (جاري) دستگاه‌هاي اجرايي استان ها  از محل درآمد عمومي
اردبيل..............,current_expenditure_share_pct,1398,2.14,(درصد),سهم,19,jaygah_1398-1402,1- توزیع عملكرد اعتبارات هزينه‌اي (جاري) دستگاه‌هاي اجرايي استان ها  از محل درآمد عمومي
اردبيل..............,current_expenditure_share_pct,1399,2.29,(درصد),سهم,18,jaygah_1398-1402,1- توزیع عملكرد اعتبارات هزينه‌اي (جاري) دستگاه‌هاي اجرايي استان ها  از محل درآمد عمومي
اردبيل..............,current_expenditure_share_pct,1400,2.2600577456197968,(درصد),سهم,16,jaygah_1398-1402,1- توزیع عملكرد اعتبارات هزينه‌اي (جاري) دستگاه‌هاي اجرايي استان ها  از محل درآمد عمومي
اردبيل..............,current_expenditure_share_pct,1401,2.0485566687451127,(درصد),سهم,18,jaygah_1398-1402,1- توزیع عملكرد اعتبارات هزينه‌اي (جاري) دستگاه‌هاي اجرايي استان ها  از محل درآمد عمومي
