province,indicator,year_sh,share_pct,rank,edition,source_title_fa
کل کشور(2),gdp_share_current_prices,1396,100,××,jaygah_1398-1402,1- سهم استان از تولید ناخالص داخلی به قیمت جاری(1)
کل کشور(2),gdp_share_current_prices,1397,100,××,jaygah_1398-1402,1- سهم استان از تولید ناخالص داخلی به قیمت جاری(1)
کل کشور(2),gdp_share_current_prices,1398,100,××,jaygah_1398-1402,1- سهم استان از تولید ناخالص داخلی به قیمت جاری(1)
کل کشور(2),gdp_share_current_prices,1399,100,××,jaygah_1398-1402,1- سهم استان از تولید ناخالص داخلی به قیمت جاری(1)
کل کشور(2),gdp_share_current_prices,1400,100,××,jaygah_1398-1402,1- سهم استان از تولید ناخالص داخلی به قیمت جاری(1)
آذربايجان شرقي,gdp_share_current_prices,1396,3.305575031090693,8,jaygah_1398-1402,1- سهم استان از تولید ناخالص داخلی به قیمت جاری(1)
آذربايجان شرقي,gdp_share_current_prices,1397,3.307972993800118,7,jaygah_1398-1402,1- سهم استان از تولید ناخالص داخلی به قیمت جاری(1)
آذربايجان شرقي,gdp_share_current_prices,1398,3.319513591825189,7,jaygah_1398-1402,1- سهم استان از تولید ناخالص داخلی به قیمت جاری(1)
آذربايجان شرقي,gdp_share_current_prices,1399,3.645854501995703,7,jaygah_1398-1402,1- سهم استان از تولید ناخالص داخلی به قیمت جاری(1)
آذربايجان شرقي,gdp_share_current_prices,1400,3.439806002975823,7,jaygah_1398-1402,1- سهم استان از تولید ناخالص داخلی به قیمت جاری(1)
آذربايجان غربي,gdp_share_current_prices,1396,1.989297333973775,14,jaygah_1398-1402,1- سهم استان از تولید ناخالص داخلی به قیمت جاری(1)
آذربايجان غربي,gdp_share_current_prices,1397,1.9297523879887115,14,jaygah_1398-1402,1- سهم استان از تولید ناخالص داخلی به قیمت جاری(1)
آذربايجان غربي,gdp_share_current_prices,1398,1.8753053325407838,14,jaygah_1398-1402,1- سهم استان از تولید ناخالص داخلی به قیمت جاری(1)
آذربايجان غربي,gdp_share_current_prices,1399,1.9381607149893727,15,jaygah_1398-1402,1- سهم استان از تولید ناخالص داخلی به قیمت جاری(1)
آذربايجان غربي,gdp_share_current_prices,1400,1.7508776722784891,16,jaygah_1398-1402,1- سهم استان از تولید ناخالص داخلی به قیمت جاری(1)
