province,indicator,year_sh,value,unit,value_label_fa,rank,edition,source_title_fa
کل کشور (1),foreign_investment_value_thousand_usd,1398,5140049,(هزار دلار),ارزش,××,jaygah_1398-1402,1- ارزش سرمایه‌گذاری خارجی
کل کشور (1),foreign_investment_value_thousand_usd,1399,6197601,(هزار دلار),ارزش,××,jaygah_1398-1402,1- ارزش سرمایه‌گذاری خارجی
کل کشور (1),foreign_investment_value_thousand_usd,1400,2610152,(هزار دلار),ارزش,××,jaygah_1398-1402,1- ارزش سرمایه‌گذاری خارجی
آذربايجان شرقي,foreign_investment_value_thousand_usd,1398,95142,(هزار دلار),ارزش,10,jaygah_1398-1402,1- ارزش سرمایه‌گذاری خارجی
آذربايجان شرقي,foreign_investment_value_thousand_usd,1399,181390,(هزار دلار),ارزش,7,jaygah_1398-1402,1- ارزش سرمایه‌گذاری خارجی
آذربايجان شرقي,foreign_investment_value_thousand_usd,1400,41195,(هزار دلار),ارزش,13,jaygah_1398-1402,1- ارزش سرمایه‌گذاری خارجی
آذربايجان غربي,foreign_investment_value_thousand_usd,1398,5141,(هزار دلار),ارزش,20,jaygah_1398-1402,1- ارزش سرمایه‌گذاری خارجی
آذربايجان غربي,foreign_investment_value_thousand_usd,1399,14219,(هزار دلار),ارزش,25,jaygah_1398-1402,1- ارزش سرمایه‌گذاری خارجی
آذربايجان غربي,foreign_investment_value_thousand_usd,1400,13964,(هزار دلار),ارزش,19,jaygah_1398-1402,1- ارزش سرمایه‌گذاری خارجی
اردبيل,foreign_investment_value_thousand_usd,1398,0,(هزار دلار),ارزش,25,jaygah_1398-1402,1- ارزش سرمایه‌گذاری خارجی
اردبيل,foreign_investment_value_thousand_usd,1399,71527,(هزار دلار),ارزش,16,jaygah_1398-1402,1- ارزش سرمایه‌گذاری خارجی
اردبيل,foreign_investment_value_thousand_usd,1400,20005,(هزار دلار),ارزش,18,jaygah_1398-1402,1- ارزش سرمایه‌گذاری خارجی
اصفهان,foreign_investment_value_thousand_usd,1398,4650,(هزار دلار),ارزش,21,jaygah_1398-1402,1- ارزش سرمایه‌گذاری خارجی
اصفهان,foreign_investment_value_thousand_usd,1399,74778,(هزار دلار),ارزش,15,jaygah_1398-1402,1- ارزش سرمایه‌گذاری خارجی
اصفهان,foreign_investment_value_thousand_usd,1400,41838,(هزار دلار),ارزش,12,jaygah_1398-1402,1- ارزش سرمایه‌گذاری خارجی
البرز,foreign_investment_value_thousand_usd,1398,28491,(هزار دلار),ارزش,18,jaygah_1398-1402,1- ارزش سرمایه‌گذاری خارجی
