country_iso3,category,commodity,unit,year,value,flag,source_yearbook_edition
ARG,INDUSTRIAL MINERALS,Barite,"metric tons, gross weight",2014,16265,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,Barite,"metric tons, gross weight",2015,12917,,MYB3-2019
ARG,INDUSTRIAL MINERALS,Barite,"metric tons, gross weight",2016,12389,,MYB3-2019
ARG,INDUSTRIAL MINERALS,Barite,"metric tons, gross weight",2017,5977,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Barite,"metric tons, gross weight",2018,7225,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Barite,"metric tons, gross weight",2019,3898,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Barite,"metric tons, gross weight",2020,4000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Barite,"metric tons, gross weight",2021,4000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Boron,"metric tons, gross weight",2014,395058,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,Boron,"metric tons, gross weight",2015,246683,,MYB3-2019
ARG,INDUSTRIAL MINERALS,Boron,"metric tons, gross weight",2016,148390,,MYB3-2019
ARG,INDUSTRIAL MINERALS,Boron,"metric tons, gross weight",2017,129918,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Boron,"metric tons, gross weight",2018,71212,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Boron,"metric tons, gross weight",2019,181878,r,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Boron,"metric tons, gross weight",2020,134604,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Boron,"metric tons, gross weight",2021,130000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Celestite,"metric tons, gross weight",2014,700,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,Celestite,"metric tons, gross weight",2015,700,e,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,Celestite,"metric tons, gross weight",2016,700,e,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,Celestite,"metric tons, gross weight",2017,700,e,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,Celestite,"metric tons, gross weight",2018,700,e,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Cement, hydraulic",thousand metric tons,2014,11408,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Cement, hydraulic",thousand metric tons,2015,12193,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Cement, hydraulic",thousand metric tons,2016,10899,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Cement, hydraulic",thousand metric tons,2017,11960,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Cement, hydraulic",thousand metric tons,2018,11842,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Cement, hydraulic",thousand metric tons,2019,11082,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Cement, hydraulic",thousand metric tons,2020,9871,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Cement, hydraulic",thousand metric tons,2021,12126,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Clay, Bentonite","metric tons, gross weight",2014,280407,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Clay, Bentonite","metric tons, gross weight",2015,229715,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Clay, Bentonite","metric tons, gross weight",2016,145723,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Clay, Bentonite","metric tons, gross weight",2017,121735,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Clay, Bentonite","metric tons, gross weight",2018,184969,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Clay, Bentonite","metric tons, gross weight",2019,113390,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Clay, Bentonite","metric tons, gross weight",2020,46288,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Clay, Bentonite","metric tons, gross weight",2021,46000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Clay, Common clay","metric tons, gross weight",2014,9058397,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Clay, Common clay","metric tons, gross weight",2015,9489529,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Clay, Common clay","metric tons, gross weight",2016,9209313,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Clay, Common clay","metric tons, gross weight",2017,6726653,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Clay, Common clay","metric tons, gross weight",2018,5486139,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Clay, Common clay","metric tons, gross weight",2019,1526632,r,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Clay, Common clay","metric tons, gross weight",2020,1532014,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Clay, Common clay","metric tons, gross weight",2021,1600000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Clay, Kaolin","metric tons, gross weight",2014,45892,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,"Clay, Kaolin","metric tons, gross weight",2015,55488,r,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Clay, Kaolin","metric tons, gross weight",2016,26198,,MYB3-2019
ARG,INDUSTRIAL MINERALS,"Clay, Kaolin","metric tons, gross weight",2017,19940,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Clay, Kaolin","metric tons, gross weight",2018,17000,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,"Clay, Kaolin","metric tons, gross weight",2019,11853,,MYB3-2020-21
