law_id	year	doc_type	score	title	path
fe6b9a0e7958	2006	law	14	آيين نامه اجرايي ماده 53  قانون الحاق موادي به قانون تنظيم بخشي از مقررات مالي دولت	/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_ماده_53__قانون_الحاق_موادي_به_قانون_تنظيم_بخشي_از_مقررات_مالي_دولت_11192858980624069591.txt
ed43a718cd07	2001	law	14	آيين نامه اجرايي بند  ب  تبصره  32  قانون بودجه سال 1380 كل كشور	/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/_آيين_نامه_اجرايي_بند__ب__تبصره__32__قانون_بودجه_سال_1380_كل_كشور_457009373922016423.txt
d02c9b9175d7	1993	other	14	آيين نامه معاملات مركز سنجش از دور ايران	/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_معاملات_مركز_سنجش_از_دور_ايران_3836708640196970277.txt
b17179b8bf86	2002	law	14	آيين نامه  اجرايي  بند ل  تبصره  19 قانون  بودجه  سال  1381 كل  كشور	/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه__اجرايي__بند_ل__تبصره__19_قانون__بودجه__سال__1381_كل__كشور_9591633667275717617.txt
48636a1d04d5	1988	law	14	آئيننامه اجرائي تبصره 4 قانون بودجه سال 1367 كل كشور	/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آئيننامه_اجرائي_تبصره_4_قانون_بودجه_سال_1367_كل_كشور_17231403470419563696.txt
5010af89ae42	2005	law	14	آيين نامه اجرايي بند  الف  تبصره  4  قانون بودجه سال 1384 كل كشور	/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_بند__الف__تبصره__4__قانون_بودجه_سال_1384_كل_كشور_1841610036011021030.txt
e5e6669d9ea1	2010	other	14	ضوابط اعطاي تسهيلات به منظور تسهيل و تسر ... ن مسكن و تخصيص آنها به متقاضيان مسكن مهر	/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/ضوابط_اعطاي_تسهيلات_به_منظور_تسهيل_و_تسر_..._ن_مسكن_و_تخصيص_آنها_به_متقاضيان_مسكن_مهر_4378099538342484355.txt
f4ab292e3cc5	2004	law	14	آيين نامه تشكيل قانون ملي هماهنگي گردشگري كشور	/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_تشكيل_قانون_ملي_هماهنگي_گردشگري_كشور_17776133771083778221.txt
b20af9a0cf66	2009	law	14	دستورالعمل اجرايي نحوه توزيع اعتبارات مد ...  ماده واحده قانون بودجه سال 1388 كل كشور	/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/دستورالعمل_اجرايي_نحوه_توزيع_اعتبارات_مد_...__ماده_واحده_قانون_بودجه_سال_1388_كل_كشور_17864247692931520078.txt
a723fec498fe	1986	law	14	آيين نامه اجرايي قانون نحوه استفاده از خانه هاي سازماني ارتش جمهوري اسلامي ايران	/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/_آيين_نامه_اجرايي_قانون_نحوه_استفاده_از_خانه_هاي_سازماني_ارتش_جمهوري_اسلامي_ايران_10300828943127806157.txt
81f3b58dac91	1996	law	14	اصلاح آيين نامه اجرايي تبصره 3 قانون بودجه سال 1375 كل كشور	/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/اصلاح_آيين_نامه_اجرايي_تبصره_3_قانون_بودجه_سال_1375_كل_كشور_11666812843163404524.txt
