changed,rule,chart_id,primary_source,category,old_title,new_title
Y,faostat-commodity,faostat__Agriculture__price,faostat-pp+pa,Agriculture Prices,"Agriculture, producer price",Agriculture
Y,faostat-commodity,"faostat__Alcohol, Non-Food__trade",faostat-fbs+fbsh,Agriculture Trade,"Alcohol, Non-Food, imports and exports (1000 tonnes)","Alcohol, Non-Food"
Y,faostat-commodity,faostat__Alcoholic Beverages__consumption,faostat-fbs+fbsh,Food Consumption,"Alcoholic Beverages, per-capita food consumption",Alcoholic Beverages
Y,faostat-commodity,faostat__Alcoholic Beverages__trade,faostat-fbs+fbsh,Agriculture Trade,"Alcoholic Beverages, imports and exports (1000 tonnes)",Alcoholic Beverages
Y,faostat-commodity,"faostat__Almonds, in shell__price",faostat-pp+pa,Agriculture Prices,"Almonds, in shell, producer price","Almonds, in shell"
Y,faostat-commodity,"faostat__Almonds, in shell__production",faostat-qcl,Agriculture Production,"Almonds, in shell, Production, Area & Yield","Almonds, in shell"
Y,faostat-commodity,faostat__Animal Products__consumption,faostat-fbs+fbsh,Food Consumption,"Animal Products, per-capita food consumption",Animal Products
Y,faostat-commodity,faostat__Animal fats__consumption,faostat-fbs+fbsh,Food Consumption,"Animal fats, per-capita food consumption",Animal fats
Y,faostat-commodity,faostat__Animal fats__trade,faostat-fbs+fbsh,Agriculture Trade,"Animal fats, imports and exports (1000 tonnes)",Animal fats
Y,faostat-commodity,"faostat__Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw__price",faostat-pp+pa,Agriculture Prices,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw, producer price","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"
Y,faostat-commodity,"faostat__Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw__production",faostat-qcl,Agriculture Production,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw, Production, Area & Yield","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"
Y,faostat-commodity,faostat__Apples and products__consumption,faostat-fbs+fbsh,Food Consumption,"Apples and products, per-capita food consumption",Apples and products
Y,faostat-commodity,faostat__Apples and products__trade,faostat-fbs+fbsh,Agriculture Trade,"Apples and products, imports and exports (1000 tonnes)",Apples and products
Y,faostat-commodity,faostat__Apples__price,faostat-pp+pa,Agriculture Prices,"Apples, producer price",Apples
Y,faostat-commodity,faostat__Apples__production,faostat-qcl,Agriculture Production,"Apples, Production, Area & Yield",Apples
Y,faostat-commodity,faostat__Apricots__price,faostat-pp+pa,Agriculture Prices,"Apricots, producer price",Apricots
Y,faostat-commodity,faostat__Apricots__production,faostat-qcl,Agriculture Production,"Apricots, Production, Area & Yield",Apricots
Y,faostat-commodity,"faostat__Aquatic Animals, Others__consumption",faostat-fbs+fbsh,Food Consumption,"Aquatic Animals, Others, per-capita food consumption","Aquatic Animals, Others"
Y,faostat-commodity,"faostat__Aquatic Animals, Others__trade",faostat-fbs+fbsh,Agriculture Trade,"Aquatic Animals, Others, imports and exports (1000 tonnes)","Aquatic Animals, Others"
Y,faostat-commodity,faostat__Aquatic Plants__trade,faostat-fbs+fbsh,Agriculture Trade,"Aquatic Plants, imports and exports (1000 tonnes)",Aquatic Plants
Y,faostat-commodity,"faostat__Aquatic Products, Other__trade",faostat-fbs+fbsh,Agriculture Trade,"Aquatic Products, Other, imports and exports (1000 tonnes)","Aquatic Products, Other"
Y,faostat-commodity,faostat__Artichokes__price,faostat-pp+pa,Agriculture Prices,"Artichokes, producer price",Artichokes
Y,faostat-commodity,faostat__Artichokes__production,faostat-qcl,Agriculture Production,"Artichokes, Production, Area & Yield",Artichokes
Y,faostat-commodity,faostat__Asparagus__price,faostat-pp+pa,Agriculture Prices,"Asparagus, producer price",Asparagus
Y,faostat-commodity,faostat__Asparagus__production,faostat-qcl,Agriculture Production,"Asparagus, Production, Area & Yield",Asparagus
Y,faostat-commodity,faostat__Asses__production,faostat-qcl,Agriculture Production,"Asses, livestock stocks (head)",Asses
Y,faostat-commodity,faostat__Bananas__consumption,faostat-fbs+fbsh,Food Consumption,"Bananas, per-capita food consumption",Bananas
Y,faostat-commodity,faostat__Bananas__price,faostat-pp+pa,Agriculture Prices,"Bananas, producer price",Bananas
Y,faostat-commodity,faostat__Bananas__production,faostat-qcl,Agriculture Production,"Bananas, Production, Area & Yield",Bananas
Y,faostat-commodity,faostat__Bananas__trade,faostat-fbs+fbsh,Agriculture Trade,"Bananas, imports and exports (1000 tonnes)",Bananas
Y,faostat-commodity,faostat__Barley and products__consumption,faostat-fbs+fbsh,Food Consumption,"Barley and products, per-capita food consumption",Barley and products
Y,faostat-commodity,faostat__Barley and products__trade,faostat-fbs+fbsh,Agriculture Trade,"Barley and products, imports and exports (1000 tonnes)",Barley and products
Y,faostat-commodity,faostat__Barley__price,faostat-pp+pa,Agriculture Prices,"Barley, producer price",Barley
Y,faostat-commodity,faostat__Barley__production,faostat-qcl,Agriculture Production,"Barley, Production, Area & Yield",Barley
Y,faostat-commodity,"faostat__Beans, dry__price",faostat-pp+pa,Agriculture Prices,"Beans, dry, producer price","Beans, dry"
Y,faostat-commodity,"faostat__Beans, dry__production",faostat-qcl,Agriculture Production,"Beans, dry, Production, Area & Yield","Beans, dry"
Y,faostat-commodity,faostat__Beans__consumption,faostat-fbs+fbsh,Food Consumption,"Beans, per-capita food consumption",Beans
Y,faostat-commodity,faostat__Beans__trade,faostat-fbs+fbsh,Agriculture Trade,"Beans, imports and exports (1000 tonnes)",Beans
Y,faostat-commodity,"faostat__Beef and Buffalo Meat, primary__production",faostat-qcl,Agriculture Production,"Beef and Buffalo Meat, primary, Production, Area & Yield","Beef and Buffalo Meat, primary"
Y,faostat-commodity,"faostat__Beer of barley, malted__production",faostat-qcl,Agriculture Production,"Beer of barley, malted, production (tonnes)","Beer of barley, malted"
Y,faostat-commodity,faostat__Beer__consumption,faostat-fbs+fbsh,Food Consumption,"Beer, per-capita food consumption",Beer
Y,faostat-commodity,faostat__Beer__trade,faostat-fbs+fbsh,Agriculture Trade,"Beer, imports and exports (1000 tonnes)",Beer
Y,faostat-commodity,faostat__Bees__production,faostat-qcl,Agriculture Production,"Bees, stocks (number of hives)",Bees
Y,faostat-commodity,"faostat__Beverages, Fermented__consumption",faostat-fbs+fbsh,Food Consumption,"Beverages, Fermented, per-capita food consumption","Beverages, Fermented"
Y,faostat-commodity,"faostat__Beverages, Fermented__trade",faostat-fbs+fbsh,Agriculture Trade,"Beverages, Fermented, imports and exports (1000 tonnes)","Beverages, Fermented"
Y,faostat-commodity,faostat__Bovine Meat__consumption,faostat-fbs+fbsh,Food Consumption,"Bovine Meat, per-capita food consumption",Bovine Meat
Y,faostat-commodity,faostat__Bovine Meat__trade,faostat-fbs+fbsh,Agriculture Trade,"Bovine Meat, imports and exports (1000 tonnes)",Bovine Meat
Y,faostat-commodity,"faostat__Broad beans and horse beans, dry__production",faostat-qcl,Agriculture Production,"Broad beans and horse beans, dry, Production, Area & Yield","Broad beans and horse beans, dry"
Y,faostat-commodity,"faostat__Broad beans and horse beans, green__price",faostat-pp+pa,Agriculture Prices,"Broad beans and horse beans, green, producer price","Broad beans and horse beans, green"
Y,faostat-commodity,"faostat__Broad beans and horse beans, green__production",faostat-qcl,Agriculture Production,"Broad beans and horse beans, green, Production, Area & Yield","Broad beans and horse beans, green"
Y,faostat-commodity,"faostat__Buffalo fat, unrendered__production",faostat-qcl,Agriculture Production,"Buffalo fat, unrendered, Production, Area & Yield","Buffalo fat, unrendered"
Y,faostat-commodity,faostat__Buffalo__production,faostat-qcl,Agriculture Production,"Buffalo, livestock stocks (head)",Buffalo
Y,faostat-commodity,faostat__Butter and Ghee__production,faostat-qcl,Agriculture Production,"Butter and Ghee, production (tonnes)",Butter and Ghee
Y,faostat-commodity,faostat__Butter and ghee of sheep milk__production,faostat-qcl,Agriculture Production,"Butter and ghee of sheep milk, production (tonnes)",Butter and ghee of sheep milk
Y,faostat-commodity,faostat__Butter of cow milk__production,faostat-qcl,Agriculture Production,"Butter of cow milk, production (tonnes)",Butter of cow milk
Y,faostat-commodity,"faostat__Butter, Ghee__consumption",faostat-fbs+fbsh,Food Consumption,"Butter, Ghee, per-capita food consumption","Butter, Ghee"
Y,faostat-commodity,"faostat__Butter, Ghee__trade",faostat-fbs+fbsh,Agriculture Trade,"Butter, Ghee, imports and exports (1000 tonnes)","Butter, Ghee"
Y,faostat-commodity,"faostat__Buttermilk, dry__production",faostat-qcl,Agriculture Production,"Buttermilk, dry, production (tonnes)","Buttermilk, dry"
Y,faostat-commodity,faostat__Cabbages__price,faostat-pp+pa,Agriculture Prices,"Cabbages, producer price",Cabbages
Y,faostat-commodity,faostat__Cabbages__production,faostat-qcl,Agriculture Production,"Cabbages, Production, Area & Yield",Cabbages
Y,faostat-commodity,faostat__Camels__production,faostat-qcl,Agriculture Production,"Camels, livestock stocks (head)",Camels
Y,faostat-commodity,faostat__Cantaloupes and other melons__price,faostat-pp+pa,Agriculture Prices,"Cantaloupes and other melons, producer price",Cantaloupes and other melons
Y,faostat-commodity,faostat__Cantaloupes and other melons__production,faostat-qcl,Agriculture Production,"Cantaloupes and other melons, Production, Area & Yield",Cantaloupes and other melons
Y,faostat-commodity,faostat__Carrots and turnips__price,faostat-pp+pa,Agriculture Prices,"Carrots and turnips, producer price",Carrots and turnips
Y,faostat-commodity,faostat__Carrots and turnips__production,faostat-qcl,Agriculture Production,"Carrots and turnips, Production, Area & Yield",Carrots and turnips
Y,faostat-commodity,faostat__Cassava and products__trade,faostat-fbs+fbsh,Agriculture Trade,"Cassava and products, imports and exports (1000 tonnes)",Cassava and products
Y,faostat-commodity,faostat__Castor oil seeds__production,faostat-qcl,Agriculture Production,"Castor oil seeds, Production, Area & Yield",Castor oil seeds
Y,faostat-commodity,faostat__Cattle and Buffaloes__production,faostat-qcl,Agriculture Production,"Cattle and Buffaloes, livestock stocks (head)",Cattle and Buffaloes
Y,faostat-commodity,"faostat__Cattle fat, unrendered__production",faostat-qcl,Agriculture Production,"Cattle fat, unrendered, Production, Area & Yield","Cattle fat, unrendered"
Y,faostat-commodity,faostat__Cattle__production,faostat-qcl,Agriculture Production,"Cattle, livestock stocks (head)",Cattle
Y,faostat-commodity,faostat__Cauliflowers and broccoli__price,faostat-pp+pa,Agriculture Prices,"Cauliflowers and broccoli, producer price",Cauliflowers and broccoli
Y,faostat-commodity,faostat__Cauliflowers and broccoli__production,faostat-qcl,Agriculture Production,"Cauliflowers and broccoli, Production, Area & Yield",Cauliflowers and broccoli
Y,faostat-commodity,faostat__Cephalopods__consumption,faostat-fbs+fbsh,Food Consumption,"Cephalopods, per-capita food consumption",Cephalopods
Y,faostat-commodity,faostat__Cephalopods__trade,faostat-fbs+fbsh,Agriculture Trade,"Cephalopods, imports and exports (1000 tonnes)",Cephalopods
Y,faostat-commodity,faostat__Cereals - Excluding Beer__consumption,faostat-fbs+fbsh,Food Consumption,"Cereals - Excluding Beer, per-capita food consumption",Cereals - Excluding Beer
Y,faostat-commodity,faostat__Cereals - Excluding Beer__trade,faostat-fbs+fbsh,Agriculture Trade,"Cereals - Excluding Beer, imports and exports (1000 tonnes)",Cereals - Excluding Beer
Y,faostat-commodity,faostat__Cereals n.e.c.__price,faostat-pp+pa,Agriculture Prices,"Cereals n.e.c., producer price",Cereals n.e.c.
Y,faostat-commodity,"faostat__Cereals, Other__consumption",faostat-fbs+fbsh,Food Consumption,"Cereals, Other, per-capita food consumption","Cereals, Other"
Y,faostat-commodity,"faostat__Cereals, Other__trade",faostat-fbs+fbsh,Agriculture Trade,"Cereals, Other, imports and exports (1000 tonnes)","Cereals, Other"
Y,faostat-commodity,"faostat__Cereals, primary__price",faostat-pp+pa,Agriculture Prices,"Cereals, primary, producer price","Cereals, primary"
Y,faostat-commodity,"faostat__Cereals, primary__production",faostat-qcl,Agriculture Production,"Cereals, primary, Production, Area & Yield","Cereals, primary"
Y,faostat-commodity,faostat__Cheese (All Kinds)__production,faostat-qcl,Agriculture Production,"Cheese (All Kinds), production (tonnes)",Cheese (All Kinds)
Y,faostat-commodity,"faostat__Cheese from milk of goats, fresh or processed__production",faostat-qcl,Agriculture Production,"Cheese from milk of goats, fresh or processed, production (tonnes)","Cheese from milk of goats, fresh or processed"
Y,faostat-commodity,"faostat__Cheese from milk of sheep, fresh or processed__production",faostat-qcl,Agriculture Production,"Cheese from milk of sheep, fresh or processed, production (tonnes)","Cheese from milk of sheep, fresh or processed"
Y,faostat-commodity,faostat__Cheese from skimmed cow milk__production,faostat-qcl,Agriculture Production,"Cheese from skimmed cow milk, production (tonnes)",Cheese from skimmed cow milk
Y,faostat-commodity,faostat__Cheese from whole cow milk__production,faostat-qcl,Agriculture Production,"Cheese from whole cow milk, production (tonnes)",Cheese from whole cow milk
Y,faostat-commodity,faostat__Cherries__price,faostat-pp+pa,Agriculture Prices,"Cherries, producer price",Cherries
Y,faostat-commodity,faostat__Cherries__production,faostat-qcl,Agriculture Production,"Cherries, Production, Area & Yield",Cherries
Y,faostat-commodity,"faostat__Chick peas, dry__price",faostat-pp+pa,Agriculture Prices,"Chick peas, dry, producer price","Chick peas, dry"
Y,faostat-commodity,"faostat__Chick peas, dry__production",faostat-qcl,Agriculture Production,"Chick peas, dry, Production, Area & Yield","Chick peas, dry"
Y,faostat-commodity,faostat__Chickens__production,faostat-qcl,Agriculture Production,"Chickens, livestock stocks (head)",Chickens
Y,faostat-commodity,"faostat__Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw__price",faostat-pp+pa,Agriculture Prices,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw, producer price","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw"
Y,faostat-commodity,"faostat__Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw__production",faostat-qcl,Agriculture Production,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw, Production, Area & Yield","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw"
Y,faostat-commodity,"faostat__Chillies and peppers, green (Capsicum spp. and Pimenta spp.)__price",faostat-pp+pa,Agriculture Prices,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), producer price","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)"
Y,faostat-commodity,"faostat__Chillies and peppers, green (Capsicum spp. and Pimenta spp.)__production",faostat-qcl,Agriculture Production,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), Production, Area & Yield","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)"
Y,faostat-commodity,"faostat__Citrus Fruit, Total__price",faostat-pp+pa,Agriculture Prices,"Citrus Fruit, Total, producer price","Citrus Fruit, Total"
Y,faostat-commodity,"faostat__Citrus Fruit, Total__production",faostat-qcl,Agriculture Production,"Citrus Fruit, Total, Production, Area & Yield","Citrus Fruit, Total"
Y,faostat-commodity,"faostat__Citrus, Other__consumption",faostat-fbs+fbsh,Food Consumption,"Citrus, Other, per-capita food consumption","Citrus, Other"
Y,faostat-commodity,"faostat__Citrus, Other__trade",faostat-fbs+fbsh,Agriculture Trade,"Citrus, Other, imports and exports (1000 tonnes)","Citrus, Other"
Y,faostat-commodity,faostat__Cloves__consumption,faostat-fbs+fbsh,Food Consumption,"Cloves, per-capita food consumption",Cloves
