chart_id,fa_verdict,proposed_title_fa,proposed_category_fa,reason
wdi__DT.NFL.FAOG,keep,,,
wdi__CM.MKT.LCAP.GD,keep,,,
wdi__SE.PRM.PRIV,keep,,,
wdi__BX.TRF.PWKR.CD,keep,,,
wdi__TX.VAL.MRCH.R5,keep,,,
wdi__SP.POP.TECH.RD,keep,,,
wdi__BX.GSR.TRAN,keep,,,
wdi__SL.TLF.CACT,keep,,,
wdi__SE.SEC.UNER.LO.FE,keep,,,
wdi__FI.RES.TOTL,keep,,,
wdi__ST.INT.TVLX,keep,,,
wdi__EN.GHG.ALL.PC.CE,retitle,سرانه کل انتشار گازهای گلخانه‌ای به استثنای LULUCF (تن معادل CO2 سرانه),,word order: per capita leading per doctrine
wdi__SL.UEM.NEET.ME,keep,,,
wdi__DT.NFL.PROP,keep,,,
wdi__GC.REV.XGRT,keep,,,
wdi__TM.VAL.MMTL.ZS,keep,,,
wdi__TM.QTY.MRCH.XD,keep,,,
wdi__GC.NFN.TOTL,keep,,,
wdi__BM.GSR.TOTL,keep,,,
wdi__NY.ADJ.NNTY.KD,retitle,رشد درآمد خالص ملی تعدیل‌شده (درصد سالانه),,"word order: growth measure led + unit consistency (درصد سالانه), removed duplicate ""رشد سالانه"""
wdi__SL.TLF.ACTI.1524.MA,keep,,,
wdi__ER.PTD.TOTL,keep,,,
wdi__SI.SPR.PCAP,keep,,,
wdi__SH.XPD.GHED.PP,retitle,سرانه هزینه سلامت عمومی دولت داخلی، برابری قدرت خرید (دلار بین‌المللی جاری),,word order: per capita leading per doctrine
wdi__SP.POP.4044.MA,keep,,,
wdi__SL.TLF.BASC.FE,keep,,,
wdi__NV.SRV.TOTL,keep,,,
wdi__SE.SEC.NENR,keep,,,
wdi__SP.M18.2024.FE,keep,,,
wdi__SL.AGR.EMPL.FE,keep,,,
wdi__ST.INT.TVLR,keep,,,
wdi__TT.PRI.MRCH.XD,keep,,,
wdi__EN.GHG.CO2.TR.MT.CE,keep,,,
