chart_id,fa_verdict,proposed_title_fa,proposed_category_fa,reason
"faostat__Pistachios, in shell__price",retitle,قیمت تولیدکننده پسته با پوست,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Plums and sloes__price,retitle,قیمت تولیدکننده آلو و گوجه وحشی,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Pomelos and grapefruits__price,retitle,قیمت تولیدکننده پوملو و گریپ‌فروت,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Potatoes__price,retitle,قیمت تولیدکننده سیب‌زمینی,,dash suffix: reworded to natural izafe word order (measure leads subject)
"faostat__Pulses, Total__price",retitle,قیمت تولیدکننده حبوبات، جمع کل,,dash suffix: reworded to natural izafe word order (measure leads subject)
"faostat__Pumpkins, squash and gourds__price",retitle,قیمت تولیدکننده کدو تنبل، کدو مسمایی و کدوهای دیگر,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Quinces__price,retitle,قیمت تولیدکننده به,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Rape or colza seed__price,retitle,قیمت تولیدکننده دانه کلزا,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Raspberries__price,retitle,قیمت تولیدکننده تمشک,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Raw milk of buffalo__price,retitle,قیمت تولیدکننده شیر خام گاومیش,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Raw milk of cattle__price,retitle,قیمت تولیدکننده شیر خام گاو,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Raw milk of goats__price,retitle,قیمت تولیدکننده شیر خام بز,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Raw milk of sheep__price,retitle,قیمت تولیدکننده شیر خام گوسفند,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Rice__price,retitle,قیمت تولیدکننده برنج,,dash suffix: reworded to natural izafe word order (measure leads subject)
"faostat__Roots and Tubers, Total__price",retitle,قیمت تولیدکننده ریشه‌ها و غده‌ها، جمع کل,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Safflower seed__price,retitle,قیمت تولیدکننده دانه گلرنگ,,dash suffix: reworded to natural izafe word order (measure leads subject)
"faostat__Seed cotton, unginned__price",retitle,قیمت تولیدکننده پنبه‌وش، حلاجی‌نشده,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Sesame seed__price,retitle,قیمت تولیدکننده دانه کنجد,,dash suffix: reworded to natural izafe word order (measure leads subject)
"faostat__Shorn wool, greasy, including fleece-washed shorn wool__price",retitle,قیمت تولیدکننده پشم چیده‌شده، چرب (شامل پشم شسته‌شده روی بدن),,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Silk-worm cocoons suitable for reeling__price,retitle,قیمت تولیدکننده پیله کرم ابریشم مناسب برای نخ‌ریسی,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Sorghum__price,retitle,قیمت تولیدکننده ذرت خوشه‌ای (سورگوم),,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Sour cherries__price,retitle,قیمت تولیدکننده آلبالو,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Soya beans__price,retitle,قیمت تولیدکننده سویا,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Spinach__price,retitle,قیمت تولیدکننده اسفناج,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Strawberries__price,retitle,قیمت تولیدکننده توت‌فرنگی,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__String beans__price,retitle,قیمت تولیدکننده لوبیا سبز,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Sugar beet__price,retitle,قیمت تولیدکننده چغندرقند,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Sugar cane__price,retitle,قیمت تولیدکننده نیشکر,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Sunflower seed__price,retitle,قیمت تولیدکننده دانه آفتابگردان,,dash suffix: reworded to natural izafe word order (measure leads subject)
"faostat__Tangerines, mandarins, clementines__price",retitle,قیمت تولیدکننده نارنگی و کلمانتین,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Tea leaves__price,retitle,قیمت تولیدکننده برگ چای,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Tomatoes__price,retitle,قیمت تولیدکننده گوجه‌فرنگی,,dash suffix: reworded to natural izafe word order (measure leads subject)
"faostat__Treenuts, Total__price",retitle,قیمت تولیدکننده آجیل درختی، جمع کل,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Unmanufactured tobacco__price,retitle,قیمت تولیدکننده توتون خام,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Vegetables Primary__price,retitle,قیمت تولیدکننده سبزیجات، اولیه,,dash suffix: reworded to natural izafe word order (measure leads subject)
"faostat__Vegetables and Melons, Total__price",retitle,قیمت تولیدکننده سبزیجات و خربزه و هندوانه، جمع کل,,dash suffix: reworded to natural izafe word order (measure leads subject)
"faostat__Walnuts, in shell__price",retitle,قیمت تولیدکننده گردو با پوست,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Watermelons__price,retitle,قیمت تولیدکننده هندوانه,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Wheat__price,retitle,قیمت تولیدکننده گندم,,dash suffix: reworded to natural izafe word order (measure leads subject)
weo__primary_balance,keep,,,
weo__net_govt_debt,keep,,,
weo__gdp_fiscal_year,keep,,,
weo__gdp_pcap_ppp_constant,keep,,,
weo__ppp_share_world_gdp,keep,,,
weo__import_volume_growth,keep,,,
weo__export_volume_growth,keep,,,
owid__hdi,keep,,,
