chart_id,title,category,primary_source,verdict,flags,n_variants,n_countries,iran_points,iran_nonzero,iran_span,iran_distinct,iran_ymin,iran_ymax,best_variant
faostat__Agriculture__price,Agriculture,Agriculture Prices,faostat-pp+pa,OK,,1,10,35,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
"faostat__Alcohol, Non-Food__trade","Alcohol, Non-Food",Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,92,30,27,16,1997,2023,Domestic supply quantity
faostat__Alcoholic Beverages__consumption,Alcoholic Beverages,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,34,1961,2023,Food supply quantity (kg/capita/yr)
faostat__Alcoholic Beverages__trade,Alcoholic Beverages,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,63,63,33,1961,2023,Domestic supply quantity
"faostat__Almonds, in shell__price","Almonds, in shell",Agriculture Prices,faostat-pp+pa,OK,,4,6,156,57,58,57,1966,2023,Producer Price (LCU/tonne)
"faostat__Almonds, in shell__production","Almonds, in shell",Agriculture Production,faostat-qcl,OK,,3,8,192,64,64,61,1961,2024,Yield
faostat__Animal Products__consumption,Animal Products,Food Consumption,faostat-fbs+fbsh,OK,,1,11,67,67,63,59,1961,2023,Food supply (kcal/capita/day)
faostat__Animal fats__consumption,Animal fats,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,59,1961,2023,Food supply quantity (kg/capita/yr)
faostat__Animal fats__trade,Animal fats,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,59,1961,2023,Domestic supply quantity
"faostat__Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw__price","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Agriculture Prices,faostat-pp+pa,OK,,4,5,83,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
"faostat__Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw__production","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Agriculture Production,faostat-qcl,OK,,3,6,192,64,64,55,1961,2024,Area harvested
faostat__Apples and products__consumption,Apples and products,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,66,1961,2023,Food supply (kcal/capita/day)
faostat__Apples and products__trade,Apples and products,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,64,1961,2023,Domestic supply quantity
faostat__Apples__price,Apples,Agriculture Prices,faostat-pp+pa,OK,,4,9,158,57,57,57,1967,2023,Producer Price (LCU/tonne)
faostat__Apples__production,Apples,Agriculture Production,faostat-qcl,OK,,3,9,192,64,64,61,1961,2024,Production
faostat__Apricots__price,Apricots,Agriculture Prices,faostat-pp+pa,OK,,4,8,158,57,57,57,1967,2023,Producer Price (LCU/tonne)
faostat__Apricots__production,Apricots,Agriculture Production,faostat-qcl,OK,,3,8,192,64,64,58,1961,2024,Yield
"faostat__Aquatic Animals, Others__consumption","Aquatic Animals, Others",Food Consumption,faostat-fbs+fbsh,OK,,2,11,132,11,10,6,2010,2019,Food supply (kcal/capita/day)
"faostat__Aquatic Animals, Others__trade","Aquatic Animals, Others",Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,81,10,10,6,2010,2019,Domestic supply quantity
faostat__Aquatic Plants__trade,Aquatic Plants,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,89,15,15,6,1999,2013,Domestic supply quantity
"faostat__Aquatic Products, Other__trade","Aquatic Products, Other",Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,89,15,15,6,1999,2013,Domestic supply quantity
faostat__Artichokes__price,Artichokes,Agriculture Prices,faostat-pp+pa,OK,,1,6,35,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
faostat__Artichokes__production,Artichokes,Agriculture Production,faostat-qcl,OK,,3,7,105,35,35,35,1990,2024,Yield
faostat__Asparagus__price,Asparagus,Agriculture Prices,faostat-pp+pa,OK,,1,6,35,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
faostat__Asparagus__production,Asparagus,Agriculture Production,faostat-qcl,OK,,3,6,105,35,35,32,1990,2024,Yield
faostat__Asses__production,Asses,Agriculture Production,faostat-qcl,OK,,1,11,64,64,64,36,1961,2024,Stocks
faostat__Bananas__consumption,Bananas,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,58,63,52,1961,2023,Food supply (kcal/capita/day)
faostat__Bananas__price,Bananas,Agriculture Prices,faostat-pp+pa,OK,,4,7,103,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
faostat__Bananas__production,Bananas,Agriculture Production,faostat-qcl,OK,,3,9,173,45,45,44,1980,2024,Yield
faostat__Bananas__trade,Bananas,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,88,53,61,44,1963,2023,Domestic supply quantity
faostat__Barley and products__consumption,Barley and products,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,63,1961,2023,Food supply (kcal/capita/day)
faostat__Barley and products__trade,Barley and products,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,65,1961,2023,Domestic supply quantity
faostat__Barley__price,Barley,Agriculture Prices,faostat-pp+pa,OK,,4,10,159,58,58,56,1966,2023,Producer Price (LCU/tonne)
faostat__Barley__production,Barley,Agriculture Production,faostat-qcl,OK,,3,10,192,64,64,64,1961,2024,Area harvested
"faostat__Beans, dry__price","Beans, dry",Agriculture Prices,faostat-pp+pa,OK,,4,9,156,57,58,57,1966,2023,Producer Price (LCU/tonne)
"faostat__Beans, dry__production","Beans, dry",Agriculture Production,faostat-qcl,OK,,3,10,192,64,64,64,1961,2024,Area harvested
faostat__Beans__consumption,Beans,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,62,1961,2023,Food supply (kcal/capita/day)
faostat__Beans__trade,Beans,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,56,1961,2023,Domestic supply quantity
"faostat__Beef and Buffalo Meat, primary__production","Beef and Buffalo Meat, primary",Agriculture Production,faostat-qcl,OK,,3,11,192,64,64,64,1961,2024,Production
"faostat__Beer of barley, malted__production","Beer of barley, malted",Agriculture Production,faostat-qcl,OK,,1,10,63,33,63,25,1961,2023,Production
faostat__Beer__consumption,Beer,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,35,63,33,1961,2023,Food supply quantity (kg/capita/yr)
faostat__Beer__trade,Beer,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,90,35,63,25,1961,2023,Domestic supply quantity
faostat__Bees__production,Bees,Agriculture Production,faostat-qcl,OK,,1,9,64,64,64,64,1961,2024,Stocks
faostat__Bovine Meat__consumption,Bovine Meat,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,67,1961,2023,Food supply (kcal/capita/day)
faostat__Bovine Meat__trade,Bovine Meat,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,61,1961,2023,Domestic supply quantity
"faostat__Broad beans and horse beans, dry__production","Broad beans and horse beans, dry",Agriculture Production,faostat-qcl,OK,,3,7,102,34,34,34,1991,2024,Area harvested
"faostat__Broad beans and horse beans, green__price","Broad beans and horse beans, green",Agriculture Prices,faostat-pp+pa,OK,,4,7,113,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
"faostat__Broad beans and horse beans, green__production","Broad beans and horse beans, green",Agriculture Production,faostat-qcl,THIN,SPARSE|SHORT|FLAT,3,7,71,1,1,1,1990,1990,Area harvested
"faostat__Buffalo fat, unrendered__production","Buffalo fat, unrendered",Agriculture Production,faostat-qcl,OK,,2,6,128,64,64,46,1961,2024,Production
faostat__Buffalo__production,Buffalo,Agriculture Production,faostat-qcl,OK,,1,7,64,64,64,53,1961,2024,Stocks
faostat__Butter and Ghee__production,Butter and Ghee,Agriculture Production,faostat-qcl,OK,,1,11,63,63,63,63,1961,2023,Production
faostat__Butter and ghee of sheep milk__production,Butter and ghee of sheep milk,Agriculture Production,faostat-qcl,OK,,1,4,63,63,63,56,1961,2023,Production
faostat__Butter of cow milk__production,Butter of cow milk,Agriculture Production,faostat-qcl,OK,,1,11,63,63,63,63,1961,2023,Production
"faostat__Butter, Ghee__consumption","Butter, Ghee",Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,64,1961,2023,Food supply (kcal/capita/day)
"faostat__Butter, Ghee__trade","Butter, Ghee",Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,57,1961,2023,Domestic supply quantity
"faostat__Buttermilk, dry__production","Buttermilk, dry",Agriculture Production,faostat-qcl,OK,,1,11,10,10,10,10,2014,2023,Production
faostat__Cabbages__price,Cabbages,Agriculture Prices,faostat-pp+pa,OK,,1,10,35,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
faostat__Cabbages__production,Cabbages,Agriculture Production,faostat-qcl,OK,,3,10,105,35,35,35,1990,2024,Area harvested
faostat__Camels__production,Camels,Agriculture Production,faostat-qcl,OK,,1,5,64,64,64,45,1961,2024,Stocks
faostat__Cantaloupes and other melons__price,Cantaloupes and other melons,Agriculture Prices,faostat-pp+pa,OK,,4,11,158,57,57,57,1967,2023,Producer Price (LCU/tonne)
faostat__Cantaloupes and other melons__production,Cantaloupes and other melons,Agriculture Production,faostat-qcl,OK,,3,10,192,64,64,63,1961,2024,Area harvested
faostat__Carrots and turnips__price,Carrots and turnips,Agriculture Prices,faostat-pp+pa,OK,,4,11,119,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
faostat__Carrots and turnips__production,Carrots and turnips,Agriculture Production,faostat-qcl,OK,,3,11,105,35,35,35,1990,2024,Production
faostat__Cassava and products__trade,Cassava and products,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,86,9,15,4,2004,2018,Domestic supply quantity
faostat__Castor oil seeds__production,Castor oil seeds,Agriculture Production,faostat-qcl,OK,,3,6,190,62,64,49,1961,2024,Production
faostat__Cattle and Buffaloes__production,Cattle and Buffaloes,Agriculture Production,faostat-qcl,OK,,1,11,64,64,64,63,1961,2024,Stocks
"faostat__Cattle fat, unrendered__production","Cattle fat, unrendered",Agriculture Production,faostat-qcl,OK,,2,11,128,64,64,60,1961,2024,Production
faostat__Cattle__production,Cattle,Agriculture Production,faostat-qcl,OK,,1,11,64,64,64,62,1961,2024,Stocks
faostat__Cauliflowers and broccoli__price,Cauliflowers and broccoli,Agriculture Prices,faostat-pp+pa,OK,,1,9,35,35,35,35,1991,2025,Producer Price Index (2014-2016 = 100)
faostat__Cauliflowers and broccoli__production,Cauliflowers and broccoli,Agriculture Production,faostat-qcl,OK,,3,10,105,35,35,35,1990,2024,Area harvested
faostat__Cephalopods__consumption,Cephalopods,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,33,33,13,1991,2023,Food supply (kcal/capita/day)
faostat__Cephalopods__trade,Cephalopods,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,89,36,34,26,1990,2023,Domestic supply quantity
faostat__Cereals - Excluding Beer__consumption,Cereals - Excluding Beer,Food Consumption,faostat-fbs+fbsh,OK,,2,11,134,67,63,67,1961,2023,Food supply quantity (kg/capita/yr)
faostat__Cereals - Excluding Beer__trade,Cereals - Excluding Beer,Agriculture Trade,faostat-fbs+fbsh,OK,,3,11,95,67,63,67,1961,2023,Domestic supply quantity
