chart_id,verdict,merge_into,proposed_title,proposed_category,reason
"faostat__Pistachios, in shell__price",retitle,,"Pistachios, in shell, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__Plums and sloes__price,retitle,,"Plums and sloes, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__Pomelos and grapefruits__price,retitle,,"Pomelos and grapefruits, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__Potatoes__price,retitle,,"Potatoes, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
"faostat__Pulses, Total__price",retitle,,"Pulses, Total, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
"faostat__Pumpkins, squash and gourds__price",retitle,,"Pumpkins, squash and gourds, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__Quinces__price,retitle,,"Quinces, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__Rape or colza seed__price,retitle,,"Rape or colza seed, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__Raspberries__price,retitle,,"Raspberries, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__Raw milk of buffalo__price,retitle,,"Raw milk of buffalo, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__Raw milk of cattle__price,retitle,,"Raw milk of cattle, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__Raw milk of goats__price,retitle,,"Raw milk of goats, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__Raw milk of sheep__price,retitle,,"Raw milk of sheep, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__Rice__price,retitle,,"Rice, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
"faostat__Roots and Tubers, Total__price",retitle,,"Roots and Tubers, Total, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__Safflower seed__price,retitle,,"Safflower seed, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
"faostat__Seed cotton, unginned__price",retitle,,"Seed cotton, unginned, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__Sesame seed__price,retitle,,"Sesame seed, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
"faostat__Shorn wool, greasy, including fleece-washed shorn wool__price",retitle,,"Shorn wool, greasy, including fleece-washed shorn wool, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__Silk-worm cocoons suitable for reeling__price,retitle,,"Silk-worm cocoons suitable for reeling, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__Sorghum__price,retitle,,"Sorghum, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__Sour cherries__price,retitle,,"Sour cherries, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__Soya beans__price,retitle,,"Soya beans, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__Spinach__price,retitle,,"Spinach, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__Strawberries__price,retitle,,"Strawberries, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__String beans__price,retitle,,"String beans, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__Sugar beet__price,retitle,,"Sugar beet, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__Sugar cane__price,retitle,,"Sugar cane, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__Sunflower seed__price,retitle,,"Sunflower seed, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
"faostat__Tangerines, mandarins, clementines__price",retitle,,"Tangerines, mandarins, clementines, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__Tea leaves__price,retitle,,"Tea leaves, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__Tomatoes__price,retitle,,"Tomatoes, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
"faostat__Treenuts, Total__price",retitle,,"Treenuts, Total, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__Unmanufactured tobacco__price,retitle,,"Unmanufactured tobacco, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__Vegetables Primary__price,retitle,,"Vegetables Primary, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
"faostat__Vegetables and Melons, Total__price",retitle,,"Vegetables and Melons, Total, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
"faostat__Walnuts, in shell__price",retitle,,"Walnuts, in shell, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__Watermelons__price,retitle,,"Watermelons, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
faostat__Wheat__price,retitle,,"Wheat, Producer Price",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
weo__primary_balance,keep,,,,
weo__net_govt_debt,keep,,,,
weo__gdp_fiscal_year,keep,,,,
weo__gdp_pcap_ppp_constant,keep,,,,
weo__ppp_share_world_gdp,keep,,,,
weo__import_volume_growth,keep,,,,
weo__export_volume_growth,keep,,,,
owid__hdi,keep,,,,
owid__mean_years_schooling_long_run,keep,,,,
owid__oil_production_volume,keep,,,,
wid__avg_national_income,keep,,,,
wid__income_share_top10,keep,,,,
wid__income_share_top1,keep,,,,
wid__wealth_share_top10,keep,,,,
wid__wealth_share_top1,keep,,,,
pahlavi__other_grains_production_1950_1958,retitle,,"Other Grains, Production, 1950-1958",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
pahlavi__vegetables_melons_production_1950_1958,retitle,,"Vegetables & Melons (combined), Production, 1950-1958",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
pahlavi__fresh_fruits_noncitrus_production_1950_1958,retitle,,"Fresh Fruits (non-citrus) & Berries, Production, 1950-1958",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
pahlavi__dried_apricots_production_1950_1958,retitle,,"Dried Apricots, Production, 1950-1958",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
pahlavi__raisins_production_1950_1958,retitle,,"Raisins, Production, 1950-1958",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
pahlavi__other_dried_fruits_production_1950_1958,retitle,,"Other Dried Fruits, Production, 1950-1958",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
pahlavi__animal_fats_production_1950_1958,retitle,,"Animal Fats (aggregate), Production, 1950-1958",,Title used an em dash; house style requires commas instead of em dashes (no other content issue).
pahlavi__crop_land_production_value_1960,split,,Crop Area by Commodity (1960) | Crop Gross Value by Commodity (1960),,"Jams Area + Production + Gross Value (3 different units) for 8 commodities into one chart; own notes flag the Production sub-columns as duplicating the sibling pahlavi__*_production_1950_1958 / faostat commodity charts (drop, don't re-split), leaving Area and Gross Value as the two genuinely novel measures."
pahlavi__livestock_production_value_1960,split,,Livestock Product Gross Value by Type (1960),,Jams Quantity + Gross Value for livestock products; own notes say Quantity overlaps existing FAOSTAT livestock production items (drop it here) while Gross Value in rials is the genuinely novel measure -- keep only the value series as its own chart.
pahlavi__exports_by_commodity_value_1956_59,keep,,,,Carpets is one of 14 commodity lines here (1956/57-1958/59); cross-reference these early carpet-export figures into specialty_goods__carpet_export_value_1960_2024 (this slice) as pre-1960 data points in a future pass -- the rest of the chart (13 other commodities) is a legitimate standalone one-off historical measure.
pahlavi__imports_by_commodity_value_1956_59,keep,,,,
pahlavi__ocean_trade_tonnage_1950_60,keep,,,,
pahlavi__oil_revenue_by_allocation_1955_63,keep,,,,
pahlavi__oil_exports_revenues_by_company_1963_71,split,,"Oil Export Volume by Paying Company, 1963/64-1970/71 | Oil Export Revenue by Paying Company, 1963/64-1970/71",,"Volume (physical) and Revenue ($) by paying company are two different measures jammed together, matching the doctrine's 'production tonnes + export value jammed together' anti-pattern; company stays as the variant dimension within each split-off chart."
pahlavi__domestic_oil_consumption_by_product_1964_69,keep,,,,
pahlavi__petroleum_statistics_1956_58,split,,"Oil Drilling Activity, 1956-1958 | Oil Sales, 1956-1958 | Oil Exports, 1956-1958 | Oil Price, 1956-1958",,"Title itself enumerates 5 distinct measures (Drilling, Production, Sales, Exports, Price); own notes flag the Production sub-metric as an alternate/cross-check vintage of the already-registered owid__oil_production_volume series (fold in there as a labeled alt-source line, not a new chart) -- the other 4 become their own single-measure charts."
pahlavi__gas_production_consumption_1965_69,keep,,,,
pahlavi__electric_power_generation_by_use_1968_72,keep,,,,
pahlavi__power_generating_capacity_1970_71,keep,,,,
pahlavi__aioc_profits_taxes_royalties_1910_51,keep,,,,
pahlavi__consortium_disbursements_1954_62,keep,,,,
pahlavi__oil_industry_employment_by_nationality_1939_60,keep,,,,
pahlavi__oil_industry_personnel_by_company_category_1955_61,keep,,,,
pahlavi__oil_revenue_distribution_pct_1957_59,keep,,,,
maritime_comparator__unctad_maritime_key_figures_2024,split,,"Merchant Fleet Size (UNCTAD, 2024) | Container Port Throughput (UNCTAD, 2024) | Shipbuilding & Ship Recycling Activity (UNCTAD, 2024) | Number of Seafarers (UNCTAD, 2024)",,"Bundles 4 distinct maritime measures (fleet size, port throughput, shipbuilding/recycling, seafarers) across 10 comparator countries in one 'key figures' snapshot; split by measure to match the Iran-side split of the sibling iran_unctad_maritime__facts_snapshot_2024 in this same slice, and fold the fleet-size component into iran_unctad_maritime__national_fleet_by_type_2005_2024 (already exists) with these countries as comparator series."
mining_comparator__arg_usgs_mineral_production,split,,Chromite | Copper | Iron Ore | Pig Iron | Crude Steel | Aluminum | Lead | Manganese Ore | Zinc | Barite | Gypsum | Salt | Sulfur | Coal | Coke | Cement (whichever commodities this country's USGS file actually covers),,"Bundles every USGS commodity for Argentina into one chart, deliberately built (per own notes) to match the commodity mix already used for Iran's own per-commodity charts in this project (iran_chromite_production_1961_1980, iran_copper_production_by_stage_1961_1980, iran_iron_ore_production_1961_1980, iran_pig_iron_production_1973_1980, iran_crude_steel_production_1973_1980, iran_aluminum_production_1973_1980, iran_lead_production_by_stage_1961_1980, iran_manganese_ore_production_1961_1980, iran_zinc_production_1961_1980, iran_barite_production_1961_1980, iran_gypsum_production_1968_1980, iran_salt_production_1961_1980, iran_sulfur_production_1961_1980, iran_coal_production_1961_1980, iran_coke_production_1961_1980, iran_cement_production_1954_1980); split by commodity so each becomes a comparator-country series folded into the matching Iran commodity chart, per the hero+comparator doctrine, instead of one country-wide multi-measure chart."
mining_comparator__tur_usgs_mineral_production,split,,Chromite | Copper | Iron Ore | Pig Iron | Crude Steel | Aluminum | Lead | Manganese Ore | Zinc | Barite | Gypsum | Salt | Sulfur | Coal | Coke | Cement (whichever commodities this country's USGS file actually covers),,"Bundles every USGS commodity for Türkiye into one chart, deliberately built (per own notes) to match the commodity mix already used for Iran's own per-commodity charts in this project (iran_chromite_production_1961_1980, iran_copper_production_by_stage_1961_1980, iran_iron_ore_production_1961_1980, iran_pig_iron_production_1973_1980, iran_crude_steel_production_1973_1980, iran_aluminum_production_1973_1980, iran_lead_production_by_stage_1961_1980, iran_manganese_ore_production_1961_1980, iran_zinc_production_1961_1980, iran_barite_production_1961_1980, iran_gypsum_production_1968_1980, iran_salt_production_1961_1980, iran_sulfur_production_1961_1980, iran_coal_production_1961_1980, iran_coke_production_1961_1980, iran_cement_production_1954_1980); split by commodity so each becomes a comparator-country series folded into the matching Iran commodity chart, per the hero+comparator doctrine, instead of one country-wide multi-measure chart."
mining_comparator__sau_usgs_mineral_production,split,,Chromite | Copper | Iron Ore | Pig Iron | Crude Steel | Aluminum | Lead | Manganese Ore | Zinc | Barite | Gypsum | Salt | Sulfur | Coal | Coke | Cement (whichever commodities this country's USGS file actually covers),,"Bundles every USGS commodity for Saudi Arabia into one chart, deliberately built (per own notes) to match the commodity mix already used for Iran's own per-commodity charts in this project (iran_chromite_production_1961_1980, iran_copper_production_by_stage_1961_1980, iran_iron_ore_production_1961_1980, iran_pig_iron_production_1973_1980, iran_crude_steel_production_1973_1980, iran_aluminum_production_1973_1980, iran_lead_production_by_stage_1961_1980, iran_manganese_ore_production_1961_1980, iran_zinc_production_1961_1980, iran_barite_production_1961_1980, iran_gypsum_production_1968_1980, iran_salt_production_1961_1980, iran_sulfur_production_1961_1980, iran_coal_production_1961_1980, iran_coke_production_1961_1980, iran_cement_production_1954_1980); split by commodity so each becomes a comparator-country series folded into the matching Iran commodity chart, per the hero+comparator doctrine, instead of one country-wide multi-measure chart."
mining_comparator__rus_usgs_mineral_production,split,,Chromite | Copper | Iron Ore | Pig Iron | Crude Steel | Aluminum | Lead | Manganese Ore | Zinc | Barite | Gypsum | Salt | Sulfur | Coal | Coke | Cement (whichever commodities this country's USGS file actually covers),,"Bundles every USGS commodity for Russian Federation into one chart, deliberately built (per own notes) to match the commodity mix already used for Iran's own per-commodity charts in this project (iran_chromite_production_1961_1980, iran_copper_production_by_stage_1961_1980, iran_iron_ore_production_1961_1980, iran_pig_iron_production_1973_1980, iran_crude_steel_production_1973_1980, iran_aluminum_production_1973_1980, iran_lead_production_by_stage_1961_1980, iran_manganese_ore_production_1961_1980, iran_zinc_production_1961_1980, iran_barite_production_1961_1980, iran_gypsum_production_1968_1980, iran_salt_production_1961_1980, iran_sulfur_production_1961_1980, iran_coal_production_1961_1980, iran_coke_production_1961_1980, iran_cement_production_1954_1980); split by commodity so each becomes a comparator-country series folded into the matching Iran commodity chart, per the hero+comparator doctrine, instead of one country-wide multi-measure chart."
