chart_id,action,n_variants_before,keep_variant_codes,drop_reason,split_into,notes
iran_census__household_size_by_province_2011,keep,31,average_household_size_eastern_azerbaijan|average_household_size_western_azerbaijan|average_household_size_ardebil|average_household_size_esfahan|average_household_size_alborz|average_household_size_ilam|average_household_size_booshehr|average_household_size_tehran|average_household_size_chaharmahal_and_bakhtiari|average_household_size_south_khorassan|average_household_size_razavi_khorassan|average_household_size_north_khorassan|average_household_size_khoozestan|average_household_size_zanjan|average_household_size_semnan|average_household_size_sistan_and_baloochestan|average_household_size_fars|average_household_size_ghazvin|average_household_size_ghom|average_household_size_kurdistan|average_household_size_kerman|average_household_size_kermanshah|average_household_size_kohgilooyeh_and_booyerahmad|average_household_size_golestan|average_household_size_gillan|average_household_size_lorestan|average_household_size_mazandaran|average_household_size_markazi|average_household_size_hormozgan|average_household_size_hamedan|average_household_size_yazd,,,"Single measure (avg household size), one variant per one of Iran's 31 provinces with a genuine 2-point time series (2006, 2011 census). Province IS the point of the chart (title says ""by Province""), so this is not a cross-tab explosion to collapse -- 31 = Iran's actual province count. Keep all."
iran_census__sex_ratio_by_province_2011,keep,31,sex_ratio_males_per_100_females_eastern_azerbaijan|sex_ratio_males_per_100_females_western_azerbaijan|sex_ratio_males_per_100_females_ardebil|sex_ratio_males_per_100_females_esfahan|sex_ratio_males_per_100_females_alborz|sex_ratio_males_per_100_females_ilam|sex_ratio_males_per_100_females_booshehr|sex_ratio_males_per_100_females_tehran|sex_ratio_males_per_100_females_chaharmahal_and_bakhtiari|sex_ratio_males_per_100_females_south_khorassan|sex_ratio_males_per_100_females_razavi_khorassan|sex_ratio_males_per_100_females_north_khorassan|sex_ratio_males_per_100_females_khoozestan|sex_ratio_males_per_100_females_zanjan|sex_ratio_males_per_100_females_semnan|sex_ratio_males_per_100_females_sistan_and_baloochestan|sex_ratio_males_per_100_females_fars|sex_ratio_males_per_100_females_ghazvin|sex_ratio_males_per_100_females_ghom|sex_ratio_males_per_100_females_kurdistan|sex_ratio_males_per_100_females_kerman|sex_ratio_males_per_100_females_kermanshah|sex_ratio_males_per_100_females_kohgilooyeh_and_booyerahmad|sex_ratio_males_per_100_females_golestan|sex_ratio_males_per_100_females_gillan|sex_ratio_males_per_100_females_lorestan|sex_ratio_males_per_100_females_mazandaran|sex_ratio_males_per_100_females_markazi|sex_ratio_males_per_100_females_hormozgan|sex_ratio_males_per_100_females_hamedan|sex_ratio_males_per_100_females_yazd,,,"Same pattern as household-size-by-province: single measure, one variant per province, genuine 2-point time series (2006, 2011). Province breakdown is the whole point. Keep all 31."
iran_disasters__employed_by_occupation_gender_2005_2013,trim,99,total_both_total|legislators_senior_officials_and_managers_both_total|professionals_both_total|technicians_and_associate_professionals_both_total|clerical_and_administrative_workers_both_total|service_workers_and_shop_and_market_sales_workers_both_total|skilled_workers_in_agriculture_forestry_and_fisheries_sector_both_total|crafts_and_related_trades_workers_both_total|machinery_operators_assemblers_and_drivers_both_total|laborers_both_total|other_or_not_declared_both_total,"Drops the sex (male/female) x urban/rural cross-tab explosion (11 occupation categories x 3 sex x 3 residence = 99); kept only the national, both-sexes total per occupation.",,Occupation category is the informative dimension (matches chart intent); sex x urban/rural is the artificial cross-tab to collapse per the collapse-to-one-dimension rule. Result: 11 clean occupation-category time series (2006-2014).
iran_disasters__registered_births_by_sex_1991_2006,trim,93,both_total_country|male_total_country|female_total_country,"Dropped 90 province variants: each only has 3 rows all dated 2006 (a single-year snapshot per province, not a real multi-year time series), unlike the 3 national variants which have a genuine 24-year run (1991-2006).",,"Exactly the case cited in the brief: should be ~3 (male/female/total), national annual. Province cells are one-off 2006 snapshots, not measures tracked over time."
iran_disasters__registered_marriages_divorces_1991_2006,split,62,marriages_total_country|divorces_total_country,"Dropped 60 province variants: each is only 3 rows, all dated 2006 (one-off snapshot, not a time series), unlike the 2 national variants with a real 24-year run (1991-2006).","Registered Marriages, National Annual (1991-2006) [marriages_total_country] | Registered Divorces, National Annual (1991-2006) [divorces_total_country]","Marriages and divorces are two different measures jammed into one chart_id (matches the brief's ""premium AND loss"" pattern). Split into two single-measure charts, each keeping only the genuine national multi-year series and dropping the 2006-only province cross-cuts."
iran_energy__national_balance_1386_1394,trim,89,production_total_energy|imports_total_energy|exports_total_energy|total_primary_energy_supply_total_energy|power_plants_total_energy|energy_sector_own_use_and_td_losses_total_energy|total_final_consumption_total_energy|industry_total_energy|transport_total_energy|residential_public_commercial_total_energy|agriculture_total_energy|non_energy_uses_total_energy,"Dropped the fuel-type breakdown (oil/gas/coal/hydro/nuclear/solar/renewables x each flow stage) and minor flow categories (international bunkers, stock-change/statistical-discrepancy, transfers, oil refineries, coking plants, blast furnaces, other consumption) -- an energy balance sheet crossed flow-stage x fuel-type, producing 89 cells.",,"Kept the 12 headline flow-stage totals (aggregated across fuel types) that trace supply -> transformation/losses -> final consumption by major sector: production, imports, exports, TPES, power plants, T&D losses, TFC, industry, transport, residential/commercial, agriculture, non-energy uses. This is the common-sense ""energy balance sheet"" a reader wants."
iran_imidro__sales_export_by_group_2011_2015,split,22,sales_steel_value|sales_copper_value|sales_aluminum_value|sales_mine_value|sales_cement_value|sales_other_value|sales_total_value|export_steel_value|export_copper_value|export_aluminum_value|export_mine_value|export_total_value,"Dropped the quantity-unit variants (kept value only, a consistent comparable unit across product groups) for both sales and export.","IMIDRO Subsidiary Sales by Product Group, Value (2011-2015) [sales_* value variants] | IMIDRO Subsidiary Export by Product Group, Value (2011-2015) [export_* value variants]","Sales and export are two different measures (domestic sales vs. exports) jammed into one chart; split into two, each with a clean by-product-group value series (7 and 5 variants respectively)."
iran_insurance__bmi_own_financial_highlights_1386_1391,trim,18,gross_premium_million_irr|retained_premium_million_irr|earned_premium_million_irr|incurred_loss_million_irr|net_claim_million_irr|profit_loss_million_irr|total_assets_million_irr|shareholders_equity_million_irr,"Dropped derived-percentage ratios (retained_pct_of_gross, incurred_loss_pct_of_earned, net_claim_pct_of_retained, general_expenses_pct_of_retained) and granular balance-sheet detail (general_expenses, technical_reserve, unexpired_risks, outstanding_loss, catastrophic_risk_reserve).",,"One small reinsurer's full financial-statement table was crammed into a single chart_id (report-fragment pattern). Kept 8 headline P&L/balance-sheet metrics a reader actually wants (premium, loss, profit, size); dropped internal accounting sub-lines and redundant ratios."
iran_insurance__premium_loss_by_class_1383_1389,split,57,total_earned_premium_million_irr|fire_earned_premium_million_irr|motor_p_d_earned_premium_million_irr|motor_t_p_l_earned_premium_million_irr|accident_earned_premium_million_irr|aviation_earned_premium_million_irr|engineering_earned_premium_million_irr|health_earned_premium_million_irr|life_earned_premium_million_irr|others_earned_premium_million_irr|total_incurred_loss_million_irr|fire_incurred_loss_million_irr|motor_p_d_incurred_loss_million_irr|motor_t_p_l_incurred_loss_million_irr|accident_incurred_loss_million_irr|aviation_incurred_loss_million_irr|engineering_incurred_loss_million_irr|health_incurred_loss_million_irr|life_incurred_loss_million_irr|others_incurred_loss_million_irr,Dropped derived loss_ratio_pct variants (computable from premium/loss) and the 2009-2010-only classes (marine_cargo/marine_hull/cargo/hull/liability/credit/oil_energy) which use inconsistent naming between the two source periods and cover only 2 of the 4 years -- kept the 10 classes with full 2004/2005/2009/2010 coverage under one consistent code.,Iranian Insurance Market: Earned Premium by Class (1383-1389) [10 *_earned_premium_million_irr variants] | Iranian Insurance Market: Incurred Loss by Class (1383-1389) [10 *_incurred_loss_million_irr variants],"Exactly the brief's ""premium AND loss"" split example. Note the source data itself mixes two insurance-class taxonomies across periods (e.g. ""marine_cargo"" 2004-05 vs ""cargo"" 2009-10) -- flagged, not silently merged, since I cannot verify they are definitionally identical."
iran_media__film_production_industry_1941_1982,trim,26,full_length_films_produced|film_producers_count|avg_color_film_cost|production_companies_total_expenditure,"Dropped 22 of 26 variants that are single-year (n=1) one-off facts (screening shares by country in 1941, export destinations in 1975, censorship counts in 1979/1982, etc.) -- not measures tracked over time.",,Report-fragment grab-bag of disparate film-industry facts spanning 1941-1982. Only 4 variants have >=2 real time points (full_length_films_produced: 1959/66/71/76; film_producers_count: 1955/65/72; avg_color_film_cost: 1966/71/76; production_companies_total_expenditure: 1966/76); kept only those.
