chart_id,old_title_fa,new_title_fa,note
faostat__Agriculture__price,قیمت تولیدکننده کشاورزی,کشاورزی,faostat-commodity term
"faostat__Alcohol, Non-Food__trade",صادرات و واردات الکل غیرخوراکی,الکل غیرخوراکی,faostat-commodity term
faostat__Alcoholic Beverages__consumption,سرانه مصرف نوشیدنی‌های الکلی,نوشیدنی‌های الکلی,faostat-commodity term
faostat__Alcoholic Beverages__trade,صادرات و واردات نوشیدنی‌های الکلی,نوشیدنی‌های الکلی,faostat-commodity term
"faostat__Almonds, in shell__price",قیمت تولیدکننده بادام با پوست,بادام با پوست,faostat-commodity term
"faostat__Almonds, in shell__production",تولید، سطح زیر کشت و عملکرد بادام با پوست,بادام با پوست,faostat-commodity term
faostat__Animal Products__consumption,سرانه مصرف محصولات دامی,فرآورده‌های دامی,faostat-commodity term
faostat__Animal fats__consumption,سرانه مصرف چربی‌های حیوانی,چربی‌های حیوانی,faostat-commodity term
faostat__Animal fats__trade,صادرات و واردات چربی‌های حیوانی,چربی‌های حیوانی,faostat-commodity term
"faostat__Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw__price",قیمت تولیدکننده انیسون، بادیان ختایی، گشنیز، زیره سبز، زیره سیاه، رازیانه و دانه ارس، خام,انیسون، بادیان، گشنیز، زیره و رازیانه، خام,faostat-commodity term
"faostat__Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw__production",تولید، سطح زیر کشت و عملکرد انیسون، بادیان ختایی، گشنیز، زیره سبز، زیره سیاه، رازیانه و دانه ارس، خام,انیسون، بادیان، گشنیز، زیره و رازیانه، خام,faostat-commodity term
faostat__Apples and products__consumption,سرانه مصرف سیب و فرآورده‌های آن,سیب و فرآورده‌های آن,faostat-commodity term
faostat__Apples and products__trade,صادرات و واردات سیب و فرآورده‌های آن,سیب و فرآورده‌های آن,faostat-commodity term
faostat__Apples__price,قیمت تولیدکننده سیب,سیب,faostat-commodity term
faostat__Apples__production,تولید، سطح زیر کشت و عملکرد سیب,سیب,faostat-commodity term
faostat__Apricots__price,قیمت تولیدکننده زردآلو,زردآلو,faostat-commodity term
faostat__Apricots__production,تولید، سطح زیر کشت و عملکرد زردآلو,زردآلو,faostat-commodity term
"faostat__Aquatic Animals, Others__consumption",سرانه مصرف سایر جانوران آبزی,سایر جانوران آبزی,faostat-commodity term
"faostat__Aquatic Animals, Others__trade",صادرات و واردات سایر جانوران آبزی,سایر جانوران آبزی,faostat-commodity term
faostat__Aquatic Plants__trade,صادرات و واردات گیاهان آبزی,گیاهان آبزی,faostat-commodity term
"faostat__Aquatic Products, Other__trade",صادرات و واردات سایر محصولات آبزی,سایر فرآورده‌های آبزی,faostat-commodity term
faostat__Artichokes__price,قیمت تولیدکننده کنگر فرنگی,کنگر فرنگی,faostat-commodity term
faostat__Artichokes__production,تولید، سطح زیر کشت و عملکرد کنگر فرنگی,کنگر فرنگی,faostat-commodity term
faostat__Asparagus__price,قیمت تولیدکننده مارچوبه,مارچوبه,faostat-commodity term
faostat__Asparagus__production,تولید، سطح زیر کشت و عملکرد مارچوبه,مارچوبه,faostat-commodity term
faostat__Asses__production,تولید، سطح زیر کشت و عملکرد الاغ,الاغ,faostat-commodity term
faostat__Bananas__consumption,سرانه مصرف موز,موز,faostat-commodity term
faostat__Bananas__price,قیمت تولیدکننده موز,موز,faostat-commodity term
faostat__Bananas__production,تولید، سطح زیر کشت و عملکرد موز,موز,faostat-commodity term
faostat__Bananas__trade,صادرات و واردات موز,موز,faostat-commodity term
faostat__Barley and products__consumption,سرانه مصرف جو و فرآورده‌های آن,جو و فرآورده‌های آن,faostat-commodity term
faostat__Barley and products__trade,صادرات و واردات جو و فرآورده‌های آن,جو و فرآورده‌های آن,faostat-commodity term
faostat__Barley__price,قیمت تولیدکننده جو,جو,faostat-commodity term
faostat__Barley__production,تولید، سطح زیر کشت و عملکرد جو,جو,faostat-commodity term
"faostat__Beans, dry__price",قیمت تولیدکننده لوبیا، خشک,لوبیا خشک,faostat-commodity term
"faostat__Beans, dry__production",تولید، سطح زیر کشت و عملکرد لوبیا، خشک,لوبیا خشک,faostat-commodity term
faostat__Beans__consumption,سرانه مصرف لوبیا,لوبیا,faostat-commodity term
faostat__Beans__trade,صادرات و واردات لوبیا,لوبیا,faostat-commodity term
"faostat__Beef and Buffalo Meat, primary__production",تولید، سطح زیر کشت و عملکرد گوشت گاو و گاومیش، اولیه,گوشت گاو و گاومیش، اولیه,faostat-commodity term
"faostat__Beer of barley, malted__production",تولید آبجو جو مالت‌شده (تن),آبجو از جو مالت‌شده,faostat-commodity term
faostat__Beer__consumption,سرانه مصرف آبجو,آبجو,faostat-commodity term
faostat__Beer__trade,صادرات و واردات آبجو,آبجو,faostat-commodity term
faostat__Bees__production,تولید، سطح زیر کشت و عملکرد زنبور عسل,زنبور عسل,faostat-commodity term
"faostat__Beverages, Fermented__consumption",سرانه مصرف نوشیدنی‌های تخمیری,نوشیدنی‌های تخمیری,faostat-commodity term
"faostat__Beverages, Fermented__trade",صادرات و واردات نوشیدنی‌های تخمیری,نوشیدنی‌های تخمیری,faostat-commodity term
faostat__Bovine Meat__consumption,سرانه مصرف گوشت گاوی,گوشت گاوی,faostat-commodity term
faostat__Bovine Meat__trade,صادرات و واردات گوشت گاوی,گوشت گاوی,faostat-commodity term
"faostat__Broad beans and horse beans, dry__production",تولید، سطح زیر کشت و عملکرد باقلا، خشک,باقلا خشک,faostat-commodity term
"faostat__Broad beans and horse beans, green__price",قیمت تولیدکننده باقلا، سبز,باقلا سبز,faostat-commodity term
"faostat__Broad beans and horse beans, green__production",تولید، سطح زیر کشت و عملکرد باقلا، سبز,باقلا سبز,faostat-commodity term
"faostat__Buffalo fat, unrendered__production",تولید، سطح زیر کشت و عملکرد چربی گاومیش، خام,چربی خام گاومیش,faostat-commodity term
faostat__Buffalo__production,تولید، سطح زیر کشت و عملکرد گاومیش,گاومیش,faostat-commodity term
