chart_id,verdict,merge_into,proposed_title,proposed_category,reason
faostat__Whole milk powder__production,retitle,,"Whole milk powder, production (tonnes)",,"Title claims 'Production, Area & Yield' but the materialized chart only contains a single Production series (t); title also uses an em dash. Retitled to match actual content and drop the em dash, consistent with the rows-800-1199 shard's handling of single-series FAOSTAT production charts."
"faostat__Whole milk, condensed__production",retitle,,"Whole milk, condensed, production (tonnes)",,"Title claims 'Production, Area & Yield' but the materialized chart only contains a single Production series (t); title also uses an em dash. Retitled to match actual content and drop the em dash, consistent with the rows-800-1199 shard's handling of single-series FAOSTAT production charts."
"faostat__Whole milk, evaporated__production",retitle,,"Whole milk, evaporated, production (tonnes)",,"Title claims 'Production, Area & Yield' but the materialized chart only contains a single Production series (t); title also uses an em dash. Retitled to match actual content and drop the em dash, consistent with the rows-800-1199 shard's handling of single-series FAOSTAT production charts."
"faostat__Alcohol, Non-Food__trade",retitle,,"Alcohol, Non-Food, imports and exports (1000 tonnes)",,"Title uses an em dash; house style requires commas. Import quantity / export quantity / domestic supply quantity are same-unit (1000 t) trade-and-supply facets of one commodity measure, correctly kept as a single chart (unlike the crop production/area/yield jam in the 800-1199 shard, these share one unit and one flow concept) - retitled only, no structural change."
faostat__Alcoholic Beverages__trade,retitle,,"Alcoholic Beverages, imports and exports (1000 tonnes)",,"Title uses an em dash; house style requires commas. Import quantity / export quantity / domestic supply quantity are same-unit (1000 t) trade-and-supply facets of one commodity measure, correctly kept as a single chart (unlike the crop production/area/yield jam in the 800-1199 shard, these share one unit and one flow concept) - retitled only, no structural change."
faostat__Animal fats__trade,retitle,,"Animal fats, imports and exports (1000 tonnes)",,"Title uses an em dash; house style requires commas. Import quantity / export quantity / domestic supply quantity are same-unit (1000 t) trade-and-supply facets of one commodity measure, correctly kept as a single chart (unlike the crop production/area/yield jam in the 800-1199 shard, these share one unit and one flow concept) - retitled only, no structural change."
faostat__Apples and products__trade,retitle,,"Apples and products, imports and exports (1000 tonnes)",,"Title uses an em dash; house style requires commas. Import quantity / export quantity / domestic supply quantity are same-unit (1000 t) trade-and-supply facets of one commodity measure, correctly kept as a single chart (unlike the crop production/area/yield jam in the 800-1199 shard, these share one unit and one flow concept) - retitled only, no structural change."
"faostat__Aquatic Animals, Others__trade",retitle,,"Aquatic Animals, Others, imports and exports (1000 tonnes)",,"Title uses an em dash; house style requires commas. Import quantity / export quantity / domestic supply quantity are same-unit (1000 t) trade-and-supply facets of one commodity measure, correctly kept as a single chart (unlike the crop production/area/yield jam in the 800-1199 shard, these share one unit and one flow concept) - retitled only, no structural change."
faostat__Aquatic Plants__trade,retitle,,"Aquatic Plants, imports and exports (1000 tonnes)",,"Title uses an em dash; house style requires commas. Import quantity / export quantity / domestic supply quantity are same-unit (1000 t) trade-and-supply facets of one commodity measure, correctly kept as a single chart (unlike the crop production/area/yield jam in the 800-1199 shard, these share one unit and one flow concept) - retitled only, no structural change."
"faostat__Aquatic Products, Other__trade",retitle,,"Aquatic Products, Other, imports and exports (1000 tonnes)",,"Title uses an em dash; house style requires commas. Import quantity / export quantity / domestic supply quantity are same-unit (1000 t) trade-and-supply facets of one commodity measure, correctly kept as a single chart (unlike the crop production/area/yield jam in the 800-1199 shard, these share one unit and one flow concept) - retitled only, no structural change."
