chart_id,verdict,merge_into,proposed_title,proposed_category,reason
wdi__SH.XPD.CHEX.GD,keep,,,,
wdi__GC.REV.XGRT.GD,keep,,,,
wdi__GC.XPN.TRFT,keep,,,,
wdi__FS.AST.CGOV.GD,keep,,,,
wdi__SE.PRM.PRS5.FE,keep,,,,
wdi__SP.POP.1564.TO,keep,,,,
wdi__DT.NFL.DPNG,merge_into,proposed__external_debt_net_flows_by_creditor_type,"External debt, net financial flows by creditor type",,"Single-creditor-type fragment (private nonguaranteed (PNG)) of the external-debt net-financial-flows breakdown; sibling creditor rows (multilateral, bilateral, IMF, IBRD, bonds, IFC) exist elsewhere in the registry -- fold into one parent chart with creditor type as a variant."
wdi__SP.POP.4044.FE,keep,,,,
wdi__SL.TLF.ADVN.FE,keep,,,,
wdi__TX.VAL.FOOD.ZS,keep,,,,
wdi__DT.ODA.ODAT.GN,retitle,,,Aid & Development Finance,"Net ODA received is aid financing, not debt; recategorized to match sibling DAC bilateral-aid-flow rows in this slice which use ""Aid & Development Finance"" rather than ""External Debt""."
wdi__SP.POP.0014.FE,keep,,,,
wdi__DT.NFL.WHOL,merge_into,proposed__net_official_flows_un_agencies,Net official flows from UN agencies,,"Single-agency fragment (WHO) of the UN-agencies net-official-flows breakdown; sibling agency rows exist elsewhere in the registry (WHO, UNICEF, UNDP, UNFPA, UNHCR, WFP, UNIDO, IAEA, ILO, UNAIDS, UNTA, SPRP) -- fold into one parent chart with agency as a variant, per doctrine's canonical FAO example."
wdi__per_sa_allsa.adq_pop_tot,keep,,,,
wdi__MS.MIL.TOTL.TF,keep,,,,
wdi__EG.ELC.ACCS,keep,,,,
wdi__TX.VAL.MRCH.CD,keep,,,,
wdi__DT.DOD.PVLX.GN,merge_into,wdi__DT.DOD.PVLX,,,"Same measure (present value of external debt) as wdi__DT.DOD.PVLX in this slice, differing only by unit (% of GNI vs current US$); per doctrine, unit-variants of one measure belong in a single chart as a toggle rather than two rows."
wdi__SH.STA.POIS.P5,keep,,,,
wdi__ER.H2O.FWAG,keep,,,,
wdi__GC.TAX.YPKG,keep,,,,
wdi__SH.STA.MALN.FE,keep,,,,
wdi__SH.MED.NUMW,keep,,,,
wdi__SE.TER.ENRL.TC,keep,,,,
wdi__SL.TLF.TOTL.FE,keep,,,,
wdi__SL.EMP.VULN.MA,keep,,,,
wdi__AG.LND.TOTL.RU,keep,,,,
wdi__TM.VAL.MRCH.CD,keep,,,,
wdi__SL.EMP.WORK,keep,,,,
wdi__TX.VAL.MRCH.WL,keep,,,,
wdi__IE.PPN.TRAN,retitle,,,Infrastructure (Transport),"Miscategorized under ""Infrastructure (Energy)"" despite being a transport-sector PPI indicator; sibling rail/transport rows in this slice use ""Infrastructure (Transport)""."
wdi__EG.ELC.NUCL,keep,,,,
wdi__EN.GHG.N2O.BU.MT.CE,keep,,,,
wdi__MS.MIL.TOTL,keep,,,,
wdi__NY.ADJ.DCO2,keep,,,,
wdi__SH.STA.STNT.ME.MA,keep,,,,
wdi__DT.NFL.MIBR,merge_into,proposed__external_debt_net_flows_by_creditor_type,"External debt, net financial flows by creditor type",,"Single-creditor-type fragment (IBRD) of the external-debt net-financial-flows breakdown; sibling creditor rows (multilateral, bilateral, IMF, IBRD, bonds, IFC) exist elsewhere in the registry -- fold into one parent chart with creditor type as a variant."
wdi__SM.POP.TOTL,keep,,,,
wdi__DT.TDS.DPPG.XP,keep,,,,
wdi__TM.VAL.INSF.ZS,keep,,,,
wdi__SE.SEC.ENRL.VO.FE,keep,,,,
wdi__SH.ANM.CHLD,keep,,,,
wdi__SE.XPD.SECO,keep,,,,
wdi__TX.VAL.MRCH.RS,keep,,,,
wdi__IS.RRS.TOTL,keep,,,,
wdi__SL.TLF.ACTI.MA,keep,,,,
wdi__SI.DST.04TH,keep,,,,
wdi__NY.GNS.ICTR.GN,keep,,,,
wdi__LP.LPI.CUST,keep,,,,
wdi__TM.VAL.MRCH.R1,keep,,,,
wdi__IS.RRS.PASG,keep,,,,
wdi__SP.POP.3539.MA,keep,,,,
wdi__DC.DAC.DNKL,merge_into,wdi__DC.DAC.TOTL,,,"Single-donor fragment (Denmark) of the DAC bilateral-aid-flows breakdown; a ""Total"" chart already exists in the registry (wdi__DC.DAC.TOTL) as the natural parent -- fold donor country in as a comparator/variant rather than standalone chart."
wdi__TM.UVI.MRCH.XD,keep,,,,
wdi__EN.GHG.CH4.MT.CE,keep,,,,
wdi__DT.NFL.UNFP,merge_into,proposed__net_official_flows_un_agencies,Net official flows from UN agencies,,"Single-agency fragment (UNFPA) of the UN-agencies net-official-flows breakdown; sibling agency rows exist elsewhere in the registry (WHO, UNICEF, UNDP, UNFPA, UNHCR, WFP, UNIDO, IAEA, ILO, UNAIDS, UNTA, SPRP) -- fold into one parent chart with agency as a variant, per doctrine's canonical FAO example."
wdi__DT.DOD.PVLX,keep,,,,
wdi__SH.XPD.GHED.PC,keep,,,,
wdi__EG.ELC.RNEW,keep,,,,
wdi__SL.TLF.ADVN,keep,,,,
wdi__NY.EXP.CAPM,keep,,,,
wdi__GC.AST.TOTL.GD,keep,,,,
wdi__SP.DYN.IMRT,keep,,,,
wdi__EN.POP.EL5M.UR,keep,,,,
wdi__DC.DAC.CANL,merge_into,wdi__DC.DAC.TOTL,,,"Single-donor fragment (Canada) of the DAC bilateral-aid-flows breakdown; a ""Total"" chart already exists in the registry (wdi__DC.DAC.TOTL) as the natural parent -- fold donor country in as a comparator/variant rather than standalone chart."
wdi__SE.SEC.CUAT.PO.MA,keep,,,,
wdi__EN.GHG.CO2.LU.DF.MT.CE,keep,,,,
wdi__EN.GHG.CO2.LU.OS.MT.CE,keep,,,,
wdi__PA.NUS.GDP,keep,,,,
wdi__SE.SEC.PRIV,keep,,,,
wdi__SL.TLF.INTM.FE,keep,,,,
wdi__SH.DYN.NCOM.MA,keep,,,,
wdi__TM.VAL.SERV.CD,keep,,,,
wdi__SP.POP.6064.MA,keep,,,,
wdi__SH.DTH.INJR,keep,,,,
wdi__SE.PRM.CUAT,keep,,,,
wdi__BN.TRF.CURR,keep,,,,
wdi__SE.TER.CUAT.MS.FE,keep,,,,
wdi__TM.TAX.MRCH.WM.AR,keep,,,,
wdi__NV.MNF.CHEM.ZS,keep,,,,
wdi__TM.TAX.MANF.WM.AR,keep,,,,
wdi__ER.GDP.FWTL.M3,keep,,,,
wdi__SP.DYN.TO65.MA,keep,,,,
wdi__DC.DAC.ITAL,merge_into,wdi__DC.DAC.TOTL,,,"Single-donor fragment (Italy) of the DAC bilateral-aid-flows breakdown; a ""Total"" chart already exists in the registry (wdi__DC.DAC.TOTL) as the natural parent -- fold donor country in as a comparator/variant rather than standalone chart."
wdi__DT.NFL.UNAI,merge_into,proposed__net_official_flows_un_agencies,Net official flows from UN agencies,,"Single-agency fragment (UNAIDS) of the UN-agencies net-official-flows breakdown; sibling agency rows exist elsewhere in the registry (WHO, UNICEF, UNDP, UNFPA, UNHCR, WFP, UNIDO, IAEA, ILO, UNAIDS, UNTA, SPRP) -- fold into one parent chart with agency as a variant, per doctrine's canonical FAO example."
wdi__SL.EMP.TOTL.SP,keep,,,,
wdi__TM.VAL.OTHR.ZS,keep,,,,
wdi__SP.POP.0509.FE,keep,,,,
wdi__GC.NFN.TOTL.GD,keep,,,,
wdi__SL.TLF.CACT.FM,keep,,,,
wdi__NY.ADJ.DNGY,keep,,,,
wdi__SE.PRM.ENRL.FE,keep,,,,
wdi__NY.TTF.GNFS,keep,,,,
wdi__TM.VAL.MRCH.RS,keep,,,,
wdi__GC.XPN.TOTL.GD,keep,,,,
wdi__EN.URB.LCTY.UR,keep,,,,
wdi__IE.PPI.TRAN,retitle,,,Infrastructure (Transport),"Miscategorized under ""Infrastructure (Energy)"" despite being a transport-sector private-participation investment indicator; sibling rail/transport rows in this slice use ""Infrastructure (Transport)""."
wdi__DC.DAC.GRCL,merge_into,wdi__DC.DAC.TOTL,,,"Single-donor fragment (Greece) of the DAC bilateral-aid-flows breakdown; a ""Total"" chart already exists in the registry (wdi__DC.DAC.TOTL) as the natural parent -- fold donor country in as a comparator/variant rather than standalone chart."
wdi__SE.PRM.OENR.FE,keep,,,,
wdi__SL.TLF.PART.MA,keep,,,,
wdi__BX.GSR.TRVL,keep,,,,
wdi__DT.NFL.UNCR,merge_into,proposed__net_official_flows_un_agencies,Net official flows from UN agencies,,"Single-agency fragment (UNHCR) of the UN-agencies net-official-flows breakdown; sibling agency rows exist elsewhere in the registry (WHO, UNICEF, UNDP, UNFPA, UNHCR, WFP, UNIDO, IAEA, ILO, UNAIDS, UNTA, SPRP) -- fold into one parent chart with agency as a variant, per doctrine's canonical FAO example."
wdi__TM.VAL.TRVL.ZS,keep,,,,
wdi__TX.VAL.MMTL.ZS,keep,,,,
wdi__SE.PRM.OENR,keep,,,,
wdi__SL.TLF.ACTI.FE,keep,,,,
wdi__SP.RUR,keep,,,,
wdi__NV.MNF.OTHR.ZS,keep,,,,
wdi__DC.DAC.USAL,merge_into,wdi__DC.DAC.TOTL,,,"Single-donor fragment (United States) of the DAC bilateral-aid-flows breakdown; a ""Total"" chart already exists in the registry (wdi__DC.DAC.TOTL) as the natural parent -- fold donor country in as a comparator/variant rather than standalone chart."
wdi__DT.DOD.MWBG,keep,,,,
wdi__SH.STA.MMRT,keep,,,,
wdi__SE.SEC.TCAQ.LO.FE,keep,,,,
wdi__NY.GDP.MKTP.CN,keep,,,,
wdi__GC.TAX.INTT,keep,,,,
wdi__BX.PEF.TOTL.CD,keep,,,,
wdi__DT.NFL.WFPG,merge_into,proposed__net_official_flows_un_agencies,Net official flows from UN agencies,,"Single-agency fragment (WFP) of the UN-agencies net-official-flows breakdown; sibling agency rows exist elsewhere in the registry (WHO, UNICEF, UNDP, UNFPA, UNHCR, WFP, UNIDO, IAEA, ILO, UNAIDS, UNTA, SPRP) -- fold into one parent chart with agency as a variant, per doctrine's canonical FAO example."
wdi__SL.EMP.TOTL.SP.MA.NE,keep,,,,
wdi__SH.ALC.PCAP.MA,keep,,,,
wdi__SE.PRM.UNER.FE,keep,,,,
wdi__SH.ANM.NPRG,keep,,,,
wdi__SP.DYN.CONU,keep,,,,
wdi__SE.PRM.NINT.MA,keep,,,,
wdi__SL.UEM.INTM.FE,keep,,,,
wdi__SH.STA.AIRP.MA,keep,,,,
wdi__SE.SEC.CUAT.LO.MA,keep,,,,
wdi__SH.XPD.CHEX.PP,keep,,,,
wdi__SP.DYN.TFRT,keep,,,,
wdi__SI.DST.10TH,keep,,,,
wdi__ER.LND.PTLD,keep,,,,
wdi__SE.SEC.ENRL.FE,keep,,,,
wdi__TX.VAL.FUEL.ZS,keep,,,,
wdi__SE.ENR.PRSC.FM,keep,,,,
wdi__SP.POP.65UP,keep,,,,
wdi__SE.PRM.ENRL.TC,keep,,,,
wdi__SM.POP.OPIP,keep,,,,
wdi__EN.GHG.CO2.AG.MT.CE,keep,,,,
wdi__SN.ITK.MSFI,keep,,,,
wdi__DT.NFL.UNIDO,merge_into,proposed__net_official_flows_un_agencies,Net official flows from UN agencies,,"Single-agency fragment (UNIDO) of the UN-agencies net-official-flows breakdown; sibling agency rows exist elsewhere in the registry (WHO, UNICEF, UNDP, UNFPA, UNHCR, WFP, UNIDO, IAEA, ILO, UNAIDS, UNTA, SPRP) -- fold into one parent chart with agency as a variant, per doctrine's canonical FAO example."
wdi__SE.TER,keep,,,,
wdi__SL.FAM.WORK.MA,keep,,,,
wdi__NY.GDP.DEFL.KD,keep,,,,
wdi__SE.TER.CUAT.ST.MA,keep,,,,
wdi__SH.STA.WASH,keep,,,,
wdi__SE.SEC.TCAQ.LO,keep,,,,
wdi__FX.OWN.TOTL.MA,retitle,,,Financial Sector (Banking Access),"Findex account-ownership indicator miscategorized under ""Exchange Rates"" (keyword collision on FX prefix); belongs with the other financial-access measures (ATMs, bank branches) in Financial Sector (Banking Access)."
wdi__SL.TLF.CACT.FE,keep,,,,
wdi__SL.EMP.MPYR,keep,,,,
wdi__SP.DYN.CONM,keep,,,,
wdi__SH.H2O.BASW.RU,keep,,,,
wdi__TX.VAL.OTHR.ZS,keep,,,,
wdi__SE.PRM.ENRR,keep,,,,
wdi__EN.GHG.CH4.ZG,keep,,,,
wdi__NY.ADJ.DFOR,keep,,,,
wdi__IT.NET.USER.FE,keep,,,,
wdi__SH.H2O.SMDW,keep,,,,
wdi__SE.SEC.TCAQ.UP.FE,keep,,,,
wdi__SI.DST.03RD,keep,,,,
wdi__NY.ADJ.AEDU.GN,keep,,,,
wdi__SH.STA.ODFC.UR,keep,,,,
wdi__SL.EMP.TOTL.SP.NE,keep,,,,
wdi__DC.DAC.FINL,merge_into,wdi__DC.DAC.TOTL,,,"Single-donor fragment (Finland) of the DAC bilateral-aid-flows breakdown; a ""Total"" chart already exists in the registry (wdi__DC.DAC.TOTL) as the natural parent -- fold donor country in as a comparator/variant rather than standalone chart."
wdi__SP.POP.0014,keep,,,,
wdi__NE.CON.PRVT.CN,keep,,,,
wdi__SH.SVR.WAST.MA,keep,,,,
wdi__TX.VAL.MRCH.HI,keep,,,,
wdi__SE.XPD.SECO.PC,keep,,,,
wdi__BN.RES.INCL,keep,,,,
wdi__SE.SEC.CUAT.UP.FE,keep,,,,
wdi__GC.TAX.OTHR,keep,,,,
wdi__NY.GDP.DEFL.KD.ZG,keep,,,,
wdi__SL.IND.EMPL.MA,keep,,,,
wdi__SL.EMP.SELF,keep,,,,
wdi__SL.EMP.1524.SP.FE,keep,,,,
wdi__SH.STA.STNT.ME.FE,keep,,,,
wdi__IT.MLT.MAIN,keep,,,,
wdi__SH.STA.WAST,keep,,,,
wdi__LP.LPI.ITRN,keep,,,,
wdi__SH.STA.ARIC,keep,,,,
wdi__BX.GRT.EXTA.CD,keep,,,,
wdi__SE.PRM.CUAT.MA,keep,,,,
wdi__IE.PPN.ENGY,keep,,,,
wdi__SH.STA.OWGH.ME.FE,keep,,,,
wdi__TM.VAL.AGRI.ZS,keep,,,,
wdi__CM.MKT.TRAD,keep,,,,
