chart_id,fa_verdict,proposed_title_fa,proposed_category_fa,reason
faostat__Whole milk powder__production,retitle,تولید، سطح زیر کشت و عملکرد شیر خشک کامل,,dash suffix: reworded to natural izafe word order (measure leads subject)
"faostat__Whole milk, condensed__production",retitle,تولید، سطح زیر کشت و عملکرد شیر کامل، غلیظ‌شده,,dash suffix: reworded to natural izafe word order (measure leads subject)
"faostat__Whole milk, evaporated__production",retitle,تولید، سطح زیر کشت و عملکرد شیر کامل، تبخیرشده,,dash suffix: reworded to natural izafe word order (measure leads subject)
"faostat__Alcohol, Non-Food__trade",retitle,صادرات و واردات الکل غیرخوراکی,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Alcoholic Beverages__trade,retitle,صادرات و واردات نوشیدنی‌های الکلی,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Animal fats__trade,retitle,صادرات و واردات چربی‌های حیوانی,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Apples and products__trade,retitle,صادرات و واردات سیب و فرآورده‌های آن,,dash suffix: reworded to natural izafe word order (measure leads subject)
"faostat__Aquatic Animals, Others__trade",retitle,صادرات و واردات سایر جانوران آبزی,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Aquatic Plants__trade,retitle,صادرات و واردات گیاهان آبزی,,dash suffix: reworded to natural izafe word order (measure leads subject)
"faostat__Aquatic Products, Other__trade",retitle,صادرات و واردات سایر محصولات آبزی,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Bananas__trade,retitle,صادرات و واردات موز,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Barley and products__trade,retitle,صادرات و واردات جو و فرآورده‌های آن,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Beans__trade,retitle,صادرات و واردات لوبیا,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Beer__trade,retitle,صادرات و واردات آبجو,,dash suffix: reworded to natural izafe word order (measure leads subject)
"faostat__Beverages, Alcoholic__trade",skip_merged,,,status=merged
"faostat__Beverages, Fermented__trade",retitle,صادرات و واردات نوشیدنی‌های تخمیری,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Bovine Meat__trade,retitle,صادرات و واردات گوشت گاوی,,dash suffix: reworded to natural izafe word order (measure leads subject)
"faostat__Butter, Ghee__trade",retitle,صادرات و واردات کره و روغن حیوانی,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Cassava and products__trade,retitle,صادرات و واردات کاساوا و فرآورده‌های آن,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Cephalopods__trade,retitle,صادرات و واردات سرپایان,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Cereals - Excluding Beer__trade,retitle,صادرات و واردات غلات (به‌جز آبجو),,dash suffix: reworded to natural izafe word order (measure leads subject)
"faostat__Cereals, Other__trade",retitle,صادرات و واردات سایر غلات,,dash suffix: reworded to natural izafe word order (measure leads subject); word order: سایر moved before noun (consistency with other n.e.c./other items in slice)
"faostat__Cereals, other__trade",skip_merged,,,status=merged
"faostat__Citrus, Other__trade",retitle,صادرات و واردات سایر مرکبات,,dash suffix: reworded to natural izafe word order (measure leads subject); word order: سایر moved before noun (consistency with other n.e.c./other items in slice)
faostat__Cloves__trade,retitle,صادرات و واردات میخک,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Cocoa Beans and products__trade,retitle,صادرات و واردات دانه کاکائو و فرآورده‌های آن,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Coconut Oil__trade,retitle,صادرات و واردات روغن نارگیل,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Coconuts - Incl Copra__trade,retitle,صادرات و واردات نارگیل (شامل کوپرا),,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Coffee and products__trade,retitle,صادرات و واردات قهوه و فرآورده‌های آن,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Cottonseed__trade,retitle,صادرات و واردات پنبه‌دانه,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Cottonseed Oil__trade,retitle,صادرات و واردات روغن پنبه‌دانه,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Cream__trade,retitle,صادرات و واردات خامه,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Crustaceans__trade,retitle,صادرات و واردات سخت‌پوستان,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Dates__trade,retitle,صادرات و واردات خرما,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Demersal Fish__trade,retitle,صادرات و واردات ماهیان کف‌زی,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Eggs__trade,retitle,صادرات و واردات تخم‌مرغ,,dash suffix: reworded to natural izafe word order (measure leads subject)
"faostat__Fats, Animals, Raw__trade",retitle,صادرات و واردات چربی‌های حیوانی، خام,,dash suffix: reworded to natural izafe word order (measure leads subject)
"faostat__Fish, Body Oil__trade",retitle,صادرات و واردات روغن بدن ماهی,,dash suffix: reworded to natural izafe word order (measure leads subject)
"faostat__Fish, Liver Oil__trade",retitle,صادرات و واردات روغن جگر ماهی,,dash suffix: reworded to natural izafe word order (measure leads subject)
"faostat__Fish, Seafood__trade",retitle,صادرات و واردات ماهی و غذاهای دریایی,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Freshwater Fish__trade,retitle,صادرات و واردات ماهیان آب شیرین,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Fruits - Excluding Wine__trade,retitle,صادرات و واردات میوه‌ها (به‌جز شراب),,dash suffix: reworded to natural izafe word order (measure leads subject)
"faostat__Fruits, other__trade",retitle,صادرات و واردات سایر میوه‌ها,,dash suffix: reworded to natural izafe word order (measure leads subject); word order: سایر moved before noun (consistency with other n.e.c./other items in slice)
faostat__Grapefruit and products__trade,retitle,صادرات و واردات گریپ‌فروت و فرآورده‌های آن,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Grapes and products (excl wine)__trade,retitle,صادرات و واردات انگور و فرآورده‌های آن (به‌جز شراب),,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Groundnut Oil__trade,retitle,صادرات و واردات روغن بادام‌زمینی,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Groundnuts__trade,retitle,صادرات و واردات بادام‌زمینی,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Groundnuts (Shelled Eq)__trade,retitle,صادرات و واردات بادام‌زمینی (معادل پوست‌کنده),,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Honey__trade,retitle,صادرات و واردات عسل,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Infant food__trade,retitle,صادرات و واردات غذای کودک,,dash suffix: reworded to natural izafe word order (measure leads subject)
"faostat__Lemons, Limes and products__trade",retitle,صادرات و واردات لیموترش، لایم و فرآورده‌های آن,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Maize Germ Oil__trade,retitle,صادرات و واردات روغن جوانه ذرت,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Maize and products__trade,retitle,صادرات و واردات ذرت و فرآورده‌های آن,,dash suffix: reworded to natural izafe word order (measure leads subject)
"faostat__Marine Fish, Other__trade",retitle,صادرات و واردات سایر ماهیان دریایی,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Meat__trade,retitle,صادرات و واردات گوشت,,dash suffix: reworded to natural izafe word order (measure leads subject)
"faostat__Meat, Other__trade",retitle,صادرات و واردات سایر گوشت,,dash suffix: reworded to natural izafe word order (measure leads subject); word order: سایر moved before noun (consistency with other n.e.c./other items in slice)
faostat__Milk - Excluding Butter__trade,retitle,صادرات و واردات شیر (به‌جز کره),,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Millet and products__trade,retitle,صادرات و واردات ارزن و فرآورده‌های آن,,dash suffix: reworded to natural izafe word order (measure leads subject)
faostat__Miscellaneous__trade,retitle,صادرات و واردات متفرقه,,dash suffix: reworded to natural izafe word order (measure leads subject)
