chart_id,fa_verdict,proposed_title_fa,proposed_category_fa,reason
wdi__SP.REG.BRTH.RU,keep,,,
wdi__SE.PRE.ENRR,keep,,,
wdi__EG.CFT.ACCS,keep,,,
wdi__SP.POP.80UP.FE,keep,,,
wdi__TM.TAX.TCOM.SM.FN,keep,,,
wdi__GOV_WGI_RQ,retitle,امتیاز حکمرانی: کیفیت مقررات (0 تا 100),,"dash suffix: ""X - Governance score"" restructured to lead with measure concept (امتیاز حکمرانی), colon instead of dash"
wdi__FM.LBL.BMNY,keep,,,
wdi__SH.STA.ODFC,keep,,,
wdi__SP.REG.BRTH.UR,keep,,,
wdi__NY.GDP.MKTP,keep,,,
wdi__NY.GNP.MKTP.CN,keep,,,
wdi__SP.POP.TOTL.FE,keep,,,
wdi__SE.PRM.NINT,keep,,,
wdi__SP.POP.1014.MA,keep,,,
wdi__EG.ELC.ACCS.RU,keep,,,
wdi__SL.EMP.SELF.MA,keep,,,
wdi__EG.ELC.NGAS,keep,,,
wdi__IP.JRN.ARTC,keep,,,
wdi__AG.LND.ARBL,keep,,,
wdi__SL.EMP.WORK.MA,keep,,,
wdi__TX.VAL.TRAN.ZS,keep,,,
wdi__AG.LND.AGRI,keep,,,
wdi__SE.SEC.CMPT.LO,keep,,,
wdi__DT.NFL.NIFC,keep,,,
wdi__SL.UEM.TOTL.FE.NE,keep,,,
wdi__SH_UHC_FH40,keep,,,
wdi__BX.GSR.GNFS,keep,,,
wdi__TM.TAX.TCOM.SM.AR,keep,,,
wdi__EN.GHG.CH4.BU.MT.CE,keep,,,
wdi__BX.GRT.TECH.CD,keep,,,
wdi__SH.XPD.PVTD.CH,keep,,,
wdi__ST.INT.TRNX,keep,,,
wdi__SH.SGR.IRSK,keep,,,
wdi__DC.DAC.FRAL,keep,,,
wdi__SH.STA.BASS.RU,keep,,,
wdi__DC.DAC.TOTL,keep,,,
wdi__AG.CON.FERT,keep,,,
wdi__NV.MNF.TECH.ZS,keep,,,
wdi__MS.MIL.XPND,keep,,,
wdi__SL.UEM.NEET,keep,,,
wdi__EN.GHG.ALL.MT.CE,keep,,,
wdi__TX.VAL.MRCH.AL,keep,,,
wdi__DC.DAC.NORL,keep,,,
wdi__SL.EMP.MPYR.MA,keep,,,
wdi__TM.TAX.MRCH.SM.AR,keep,,,
wdi__SH.DYN.NCOM.FE,keep,,,
wdi__NV.IND.TOTL.KD,keep,,,
wdi__SE.XPD.TERT,keep,,,
wdi__NY.ADJ.SVNX,keep,,,
wdi__DC.DAC.JPNL,keep,,,
wdi__SL.EMP.VULN,keep,,,
wdi__SH.STA.MALN,keep,,,
wdi__EG.USE.COMM.FO,keep,,,
wdi__TM.VAL.MRCH.R2,keep,,,
wdi__HD_HCIP_OVRL,keep,,,
wdi__SL.UEM.ADVN,keep,,,
wdi__EN.CLC.MDAT,keep,,,
wdi__DC.DAC.IRLL,keep,,,
wdi__DT.DOD.DSTC.IR,keep,,,
wdi__VC.IDP,keep,,,
wdi__SL.TLF.CACT.FE.NE,keep,,,
wdi__SH.STA.DIAB,keep,,,
wdi__SE.PRM.PRSL.MA,keep,,,
wdi__TX.VAL.MANF.ZS,keep,,,
wdi__AG.PRD.CROP,keep,,,
wdi__DT.TDS.DPPG,keep,,,
wdi__EG.USE.ELEC.KH,keep,,,
wdi__SP.POP.0004.MA,keep,,,
wdi__SH.MED.PHYS,keep,,,
wdi__SH.STA.SMSS.UR,keep,,,
wdi__SE.TER.CUAT.MS,keep,,,
wdi__BM.GSR.GNFS,keep,,,
wdi__NY.TRF.NCTR,keep,,,
wdi__NY.TAX.NIND,keep,,,
