chart_id,verdict,merge_into,proposed_title,proposed_category,reason
wdi__DT.NFL.FAOG,merge_into,proposed__net_official_flows_un_agencies,Net official flows from UN agencies,,"Single-agency fragment (FAO) of the UN-agencies net-official-flows breakdown; sibling agency rows exist elsewhere in the registry (WHO, UNICEF, UNDP, UNFPA, UNHCR, WFP, UNIDO, IAEA, ILO, UNAIDS, UNTA, SPRP) -- fold into one parent chart with agency as a variant, per doctrine's canonical FAO example."
wdi__CM.MKT.LCAP.GD,keep,,,,
wdi__SE.PRM.PRIV,keep,,,,
wdi__BX.TRF.PWKR.CD,keep,,,,
wdi__TX.VAL.MRCH.R5,keep,,,,
wdi__SP.POP.TECH.RD,keep,,,,
wdi__BX.GSR.TRAN,keep,,,,
wdi__SL.TLF.CACT,keep,,,,
wdi__SE.SEC.UNER.LO.FE,keep,,,,
wdi__FI.RES.TOTL,keep,,,,
wdi__ST.INT.TVLX,keep,,,,
wdi__EN.GHG.ALL.PC.CE,keep,,,,
wdi__SL.UEM.NEET.ME,keep,,,,
wdi__DT.NFL.PROP,merge_into,proposed__external_debt_net_flows_by_creditor_type,"External debt, net financial flows by creditor type",,"Single-creditor-type fragment (other private creditors) of the external-debt net-financial-flows breakdown; sibling creditor rows (multilateral, bilateral, IMF, IBRD, bonds, IFC) exist elsewhere in the registry -- fold into one parent chart with creditor type as a variant."
wdi__GC.REV.XGRT,keep,,,,
wdi__TM.VAL.MMTL.ZS,keep,,,,
wdi__TM.QTY.MRCH.XD,keep,,,,
wdi__GC.NFN.TOTL,keep,,,,
wdi__BM.GSR.TOTL,keep,,,,
wdi__NY.ADJ.NNTY.KD,keep,,,,
wdi__SL.TLF.ACTI.1524.MA,keep,,,,
wdi__ER.PTD.TOTL,keep,,,,
wdi__SI.SPR.PCAP,keep,,,,
wdi__SH.XPD.GHED.PP,keep,,,,
wdi__SP.POP.4044.MA,keep,,,,
wdi__SL.TLF.BASC.FE,keep,,,,
wdi__NV.SRV.TOTL,keep,,,,
wdi__SE.SEC.NENR,keep,,,,
wdi__SP.M18.2024.FE,keep,,,,
wdi__SL.AGR.EMPL.FE,keep,,,,
wdi__ST.INT.TVLR,keep,,,,
wdi__TT.PRI.MRCH.XD,keep,,,,
wdi__EN.GHG.CO2.TR.MT.CE,keep,,,,
wdi__BX.TRF.PWKR.DT.GD,keep,,,,
wdi__SP.POP.6064.FE,keep,,,,
wdi__IP.IDS,keep,,,,
wdi__SL.EMP.1524.SP.MA,keep,,,,
wdi__SP.POP.65UP.FE,keep,,,,
wdi__SE.LPV.PRIM.LD,keep,,,,
wdi__SE.SEC.CUAT.UP.MA,keep,,,,
wdi__SP.POP.DPND,keep,,,,
wdi__NY.GNP.PCAP,keep,,,,
wdi__SE.PRM.TENR,keep,,,,
wdi__IE.PPI.ICTI,keep,,,,
wdi__GB.XPD.RSDV.GD,keep,,,,
wdi__SE.ADT.1524.LT,keep,,,,
wdi__NE.GDI.FTOT,keep,,,,
wdi__SH.H2O.BASW.UR,keep,,,,
wdi__HD_HCIP_EDUC,keep,,,,
wdi__SH.MMR,keep,,,,
wdi__ER.H2O.FWIN,keep,,,,
wdi__MS.MIL.XPND.GD,keep,,,,
wdi__SE.PRM,keep,,,,
wdi__SE.SEC.CUAT.LO.FE,keep,,,,
wdi__DC.DAC.ESPL,merge_into,wdi__DC.DAC.TOTL,,,"Single-donor fragment (Spain) of the DAC bilateral-aid-flows breakdown; a ""Total"" chart already exists in the registry (wdi__DC.DAC.TOTL) as the natural parent -- fold donor country in as a comparator/variant rather than standalone chart."
wdi__BM.KLT.DINV.WD.GD,keep,,,,
wdi__TM.TAX.MANF.SM.AR,keep,,,,
wdi__SI.POV,keep,,,,
wdi__FM.AST.DOMS,keep,,,,
wdi__SP.POP.2024.FE,keep,,,,
wdi__DT.DOD.DECT.GN,keep,,,,
wdi__SE.PRM.GINT.MA,keep,,,,
wdi__NY.ADJ.AEDU,keep,,,,
wdi__SL.TLF.PART,keep,,,,
wdi__SL.GDP.PCAP.EM,keep,,,,
wdi__TX.VAL.TRVL.ZS,keep,,,,
wdi__PA.NUS.PRVT,keep,,,,
wdi__GC.LBL.TOTL.GD,keep,,,,
wdi__TM.VAL.MRCH.XD,keep,,,,
wdi__EN.BIR.THRD,keep,,,,
wdi__GC.TAX.IMPT,keep,,,,
wdi__SH.ANM.ALLW,keep,,,,
wdi__SP.POP.1519.MA,keep,,,,
wdi__SE.SEC.ENRL.TC,keep,,,,
wdi__FX.OWN.TOTL.FE,retitle,,,Financial Sector (Banking Access),"Findex account-ownership indicator miscategorized under ""Exchange Rates"" (keyword collision on FX prefix); belongs with the other financial-access measures (ATMs, bank branches) in Financial Sector (Banking Access)."
wdi__NE.CON.TOTL,keep,,,,
wdi__SH.STA.STNT.ME,keep,,,,
wdi__SE.SEC.PROG.FE,keep,,,,
wdi__SE.SEC.ENRL.UP.TC,keep,,,,
wdi__SL.FAM.WORK.FE,keep,,,,
