country_iso3,marketing_year_apr_mar,total_cereal_mt,maize_mt,wheat_mt,barley_mt,rice_mt,notes,brief_reference_date,source
IRN,2010/11,6.6,,1.5,,,significantly lower than the previous two drought years,2011-02-11,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2010/11,,,1.7,,,"earlier forecast for wheat only, from an earlier brief -- see 2011-02-11 for the revised 1.5 Mt figure",2010-11-09,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2011/12,5.7,,1.3,,,following the good 2011 wheat harvest,2012-02-14,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2011/12,5.7,,,,,"preliminary estimate, similar to 2010/11 level",2011-05-30,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2012/13,7.3,,1.7,,,preliminary forecast,2012-04-19,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2012/13,7.5,,1.7,,,"revised forecast, some 10% below the previous year",2012-10-18,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2013/14,9.4,,2.0,,,early-season forecast,2013-07-30,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2013/14,11.0,4.0,4.0,1.2,1.5,revised up from the 9.4 Mt / 2.0 Mt-wheat figures in the 2013-07-30 brief; about 25% less than 2012/13's high level but still 8% above the 5-year average,2013-09-28,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2014/15,12.6,4.8,6.0,1.0,1.6,about 14% more than 2013/14 and some 34% above the 5-year average,2014-08-21,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2015/16,14.9,5.3,6.3,1.7,1.6,"early-season forecast, about 30% above the 5-year average",2015-06-29,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2015/16,10.0,5.3,2.2,1.4,1.2,"revised down sharply from the 14.9 Mt / 6.3 Mt-wheat figures in the 2015-06-29 brief, reflecting the above-average 2015 wheat harvest becoming clear; about 12% below the 5-year average",2016-02-19,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2016/17,9.9,5.3,2.2,1.4,1.1,about 18% below the previous year and the 5-year average,2016-09-26,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2017/18,11.3,8.5,2.0,1.2,1.3,"about 9% above the previous year, 12% below the 5-year average",2017-06-26,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2018/19,12.4,7.5,1.0,2.5,1.4,about 10% above the previous year's low level,2018-07-04,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2024/25,,,1.3,,,"wheat only; less than half the 5-year average, driven by the above-average 2024 harvest",2025-04-30,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2025/26,22.0,,,,,"nearly 30% above the 5-year average, driven by higher wheat and maize imports",2026-06-10,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2026/27,,11.0,3.0,,,"preliminary forecast; wheat about 25% below average (abundant carryover stocks), maize about 9% above average",2026-06-10,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
