country_iso3,crop_year,crop,value_million_tonnes,status,notes,brief_reference_date,source
IRN,2010,wheat,14.5,estimated,recovering from reduced 2009 harvest,2010-11-09,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2010,wheat,14.5,estimated,recovering from reduced 2009 harvest,2011-02-11,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2010,rice,2.5,estimated,"about 11% up from 2009, still below average",2010-11-09,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2011,wheat,13.5,estimated,similar to 2010,2011-05-30,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2011,wheat,13.8,estimated,"some 11% below the record harvest a year earlier (2010) -- NOTE: differs from the 13.5 Mt figure in the 2011-05-30 brief for the same crop year; both preserved, not reconciled",2012-02-14,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2012,wheat,13.5,forecast (preliminary),"below 2011 harvest, about the 5-year average",2012-04-19,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2012,wheat,13.8,forecast (preliminary),some 2% above 2011,2012-10-18,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2013,wheat,14.5,forecast (preliminary),exceeding 2012 by about 5%,2013-07-30,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2013,wheat,14.0,forecast (preliminary),slightly exceeding the above-average 2012 harvest -- revised down from the 14.5 Mt figure in the 2013-07-30 brief,2013-09-28,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2013,wheat,14.0,forecast (preliminary),slightly exceeding the above-average 2012 harvest,2014-01-28,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2014,wheat,13.0,forecast (preliminary),7% lower than 2013 due to drought,2014-08-21,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2015,wheat,13.0,forecast (FAO preliminary),"similar to 2014, slightly below average",2015-06-29,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2015,wheat,11.5,estimated (Government),"8% above the 2014 harvest of 10.6 Mt, 16% above the 5-year average -- NOTE: both this and the 2015-06-29 brief's 13.0 Mt FAO forecast concern the same 2015 crop year and diverge materially; both preserved, not reconciled",2016-02-19,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2016,wheat,12.5,estimated,"9% above the 2015 harvest, 28% above the 5-year average",2016-09-26,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2018,wheat,13.4,estimated (preliminary official),,2018-07-04,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2020,wheat,14.0,forecast (national authorities),about 3% below the 2019 level,2020-07-20,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2020,cereal_total,21.5,forecast (national authorities),"close-to-average, about the same as the previous year",2020-07-20,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2018,cereal_total,20.0,estimated,"similar to 2017, about 10% above average",2018-07-04,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2024,cereal_total,26.0,estimated,"about 22% above average, due to abundant rainfall and strong government support",2025-04-30,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2025,wheat,12.5,estimated,"about 12% below average, completed last July",2025-11-24,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2025,cereal_total,20.0,estimated,nearly 10% below the 5-year average,2025-11-24,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2025,rice,3.8,estimated,"near-average, completed last September",2025-11-24,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2025,wheat,12.0,estimated,about 16% below average -- revised down slightly from the 12.5 Mt figure in the 2025-11-24 brief,2026-06-10,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2025,cereal_total,19.5,estimated,more than 10% below the 5-year average -- revised down slightly from the 20.0 Mt figure in the 2025-11-24 brief,2026-06-10,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
IRN,2025,rice,3.9,estimated,about 2% above average -- revised up slightly from the 3.8 Mt figure in the 2025-11-24 brief,2026-06-10,"FAO GIEWS Country Brief: Iran (Islamic Republic of), archive PDF"
