date,country,event_type,title,title_fa,description,description_fa,economic_domains,source_url,source_name
1913-12-23,USA,institutional-change,Federal Reserve Act signed,امضای قانون فدرال رزرو,"President Wilson signs the act creating the Federal Reserve System, the US central bank, ending decades of debate following the Panic of 1907 and establishing the institution that would later conduct 20th-century monetary policy.",رئیس‌جمهور ویلسون قانون تأسیس نظام فدرال رزرو، بانک مرکزی آمریکا، را امضا کرد که به دهه‌ها بحث پس از بحران مالی 1907 پایان داد و نهادی را تأسیس کرد که بعدها سیاست پولی قرن بیستم را هدایت می‌کرد.,banking;fiscal,https://www.federalreservehistory.org/essays/federal-reserve-act-signed,Federal Reserve History
1929-10-29,USA,catastrophe,Wall Street Crash (Black Tuesday),سقوط بورس وال‌استریت (سه‌شنبه سیاه),"Stock prices collapse on the New York Stock Exchange, wiping out billions in market value and marking the onset of the Great Depression.",قیمت سهام در بورس اوراق بهادار نیویورک سقوط کرد و میلیاردها دلار از ارزش بازار را نابود کرد و آغازگر رکود بزرگ شد.,banking;fiscal,https://www.britannica.com/event/stock-market-crash-of-1929,Encyclopaedia Britannica
1930-06-17,USA,policy-enacted,Smoot-Hawley Tariff Act signed,امضای قانون تعرفه اسموت-هاولی,"Hoover signs a protectionist tariff raising duties on over 20,000 imported goods despite a petition from 1,000+ economists urging a veto; trading partners retaliate, and global trade falls roughly 65%, deepening the Great Depression.","هوور تعرفه‌ای حمایت‌گرایانه که عوارض بیش از 20,000 کالای وارداتی را افزایش می‌داد، امضا کرد، با وجود دادخواست بیش از 1000 اقتصاددان برای وتوی آن؛ شرکای تجاری با اقدامات تلافی‌جویانه پاسخ دادند و تجارت جهانی حدود 65 درصد کاهش یافت که رکود بزرگ را تشدید کرد.",trade;fiscal,https://www.britannica.com/topic/Smoot-Hawley-Tariff-Act,Encyclopaedia Britannica
1933-03-09,USA,policy-enacted,Emergency Banking Act,قانون اضطراری بانکی,"Congress passes emergency legislation within days of Roosevelt's inauguration to stabilize the banking system after a nationwide bank holiday, the opening act of the New Deal.",کنگره ظرف چند روز پس از مراسم تحلیف روزولت قانونی اضطراری برای تثبیت نظام بانکی پس از تعطیلی سراسری بانک‌ها تصویب کرد؛ نخستین اقدام برنامه نیو دیل.,banking;fiscal,https://www.federalreservehistory.org/essays/bank-holiday-of-1933,Federal Reserve History
1933-04-05,USA,policy-enacted,Executive Order 6102 — gold standard exit,فرمان اجرایی 6102؛ خروج از استاندارد طلا,"Roosevelt orders private gold coin, bullion and certificates surrendered to the Federal Reserve at $20.67/oz, taking the US off the domestic gold standard as part of New Deal reflation efforts.",روزولت دستور تحویل سکه، شمش و گواهی‌های طلای خصوصی به فدرال رزرو با نرخ 20.67 دلار در هر اونس را صادر کرد و آمریکا را از استاندارد طلای داخلی، بخشی از تلاش‌های تورم‌زایی مجدد نیو دیل، خارج ساخت.,fx;fiscal,https://www.presidency.ucsb.edu/documents/executive-order-6102-forbidding-the-hoarding-gold-coin-gold-bullion-and-gold-certificates,The American Presidency Project (UC Santa Barbara)
1933-06-16,USA,policy-enacted,Glass-Steagall Act (Banking Act of 1933),قانون گلس-استیگال (قانون بانکداری 1933),"Separates commercial from investment banking and creates the FDIC to insure bank deposits, a central pillar of New Deal financial regulation.",بانکداری تجاری را از بانکداری سرمایه‌گذاری جدا و شرکت بیمه سپرده فدرال (اف‌دی‌آی‌سی) را برای بیمه سپرده‌های بانکی تأسیس کرد؛ رکنی اصلی از مقررات مالی نیو دیل.,banking,https://www.federalreservehistory.org/essays/glass-steagall-act,Federal Reserve History
1935-08-14,USA,policy-enacted,Social Security Act signed,امضای قانون تأمین اجتماعی,"Roosevelt signs New Deal legislation creating old-age benefits, unemployment insurance, and aid for dependents and the disabled, establishing the modern US social-insurance system.",روزولت قانون نیو دیل را که مزایای سالمندی، بیمه بیکاری و کمک به افراد تحت تکفل و ناتوان را ایجاد می‌کرد، امضا کرد و نظام نوین بیمه اجتماعی آمریکا را تأسیس کرد.,fiscal;labor,https://www.archives.gov/milestone-documents/social-security-act,US National Archives — Milestone Documents
1944-07-22,USA,institutional-change,Bretton Woods Agreement signed,امضای توافق برتون وودز,"44 Allied nations meeting in New Hampshire agree on a US dollar/gold-anchored fixed exchange-rate system and create the IMF and World Bank, cementing the dollar's postwar reserve-currency role.",44 کشور متفق در گردهمایی نیوهمپشایر بر نظام نرخ ثابت ارز مبتنی بر دلار آمریکا و طلا توافق کردند و صندوق بین‌المللی پول و بانک جهانی را تأسیس کردند که نقش دلار را به‌عنوان ارز ذخیره پس از جنگ تثبیت کرد.,fx;trade,https://www.federalreservehistory.org/essays/bretton-woods-agreement,Federal Reserve History
1948-04-03,USA,policy-enacted,Marshall Plan (Economic Cooperation Act) signed,امضای طرح مارشال (قانون همکاری اقتصادی),"Truman signs legislation funding roughly $13.3bn in postwar reconstruction aid to Western Europe, cementing the dollar-centered postwar economic order alongside Bretton Woods.",ترومن قانونی را امضا کرد که حدود 13.3 میلیارد دلار کمک بازسازی پس از جنگ به اروپای غربی را تأمین مالی می‌کرد و نظم اقتصادی متمرکز بر دلار پس از جنگ را در کنار برتون وودز تثبیت کرد.,fiscal;trade,https://www.archives.gov/milestone-documents/marshall-plan,US National Archives — Milestone Documents
1965-07-30,USA,policy-enacted,Medicare and Medicaid created,تأسیس مدیکر و مدیکید,"Johnson signs the Social Security Amendments of 1965, creating federal health insurance for the elderly (Medicare) and the poor/disabled (Medicaid), a major expansion of the US fiscal welfare state.",جانسون اصلاحیه‌های قانون تأمین اجتماعی 1965 را امضا کرد و بیمه سلامت فدرال برای سالمندان (مدیکر) و فقرا/ناتوانان (مدیکید) را تأسیس کرد؛ گسترشی بزرگ در دولت رفاه مالی آمریکا.,fiscal,https://www.archives.gov/milestone-documents/medicare-and-medicaid-act,US National Archives — Milestone Documents
1971-08-15,USA,policy-enacted,Nixon imposes domestic wage-price controls,نیکسون کنترل دستمزد و قیمت را در داخل کشور اعمال می‌کند,"Alongside suspending dollar-gold convertibility (the globally significant 'Nixon Shock', recorded separately under GLOBAL), Nixon invokes the Economic Stabilization Act to freeze US wages and prices for 90 days to curb domestic inflation.",در کنار تعلیق قابلیت تبدیل دلار به طلا («شوک نیکسون» با اهمیت جهانی که به‌طور جداگانه در مدخل جهانی ثبت شده)، نیکسون قانون تثبیت اقتصادی را برای انجماد دستمزدها و قیمت‌های آمریکا به مدت 90 روز و مهار تورم داخلی به کار گرفت.,inflation;fiscal,https://www.federalreservehistory.org/essays/nixon-and-the-end-of-bretton-woods,Federal Reserve History
1975-12-22,USA,policy-enacted,Energy Policy and Conservation Act — Strategic Petroleum Reserve created,قانون سیاست انرژی و صرفه‌جویی؛ تأسیس ذخیره راهبردی نفت,"Responding to the 1973 oil embargo, Congress establishes the Strategic Petroleum Reserve (up to 1 billion barrels) and CAFE fuel-economy standards, the core of post-embargo US energy-security policy.",در واکنش به تحریم نفتی 1973، کنگره ذخیره راهبردی نفت (تا یک میلیارد بشکه) و استانداردهای مصرف سوخت کافه را تأسیس کرد؛ هسته سیاست امنیت انرژی آمریکا پس از تحریم.,oil;fiscal,https://en.wikipedia.org/wiki/Energy_Policy_and_Conservation_Act,Wikipedia — Energy Policy and Conservation Act (cross-check)
1979-10-06,USA,policy-enacted,"Volcker's ""Saturday Night Special"" — Fed shifts to reserve targeting",«عملیات ویژه شنبه‌شب» ولکر؛ فدرال رزرو به هدف‌گذاری ذخایر روی می‌آورد,"Federal Reserve Chair Paul Volcker announces the FOMC will target bank reserves rather than the federal funds rate directly, opening the monetarist experiment"" that drives interest rates toward 20% and breaks 1970s inflation at the cost of the 1981-82 recession.""",پل ولکر، رئیس فدرال رزرو، اعلام کرد کمیته بازار آزاد فدرال به‌جای هدف‌گذاری مستقیم نرخ بهره وجوه فدرال، ذخایر بانکی را هدف قرار خواهد داد؛ آغازگر «آزمایش پول‌گرایانه‌ای» که نرخ بهره را به سمت 20 درصد سوق داد و تورم دهه 1970 را با هزینه رکود 1981-1982 مهار کرد.,banking;inflation,https://www.frbsf.org/research-and-insights/publications/economic-letter/2004/12/october-6-1979/,Federal Reserve Bank of San Francisco
1980-03-31,USA,policy-enacted,Depository Institutions Deregulation and Monetary Control Act signed,امضای قانون مقررات‌زدایی مؤسسات سپرده‌پذیر و کنترل پولی,"Carter signs legislation phasing out Regulation Q interest-rate ceilings on deposits, raising deposit insurance to $100,000, and extending Fed reserve requirements to all depository institutions — the opening act of 1980s financial deregulation.","کارتر قانونی را امضا کرد که سقف نرخ بهره مقرره Q بر سپرده‌ها را به‌تدریج حذف، بیمه سپرده را به 100,000 دلار افزایش و الزامات ذخیره فدرال رزرو را به تمام مؤسسات سپرده‌پذیر تعمیم داد؛ آغازگر مقررات‌زدایی مالی دهه 1980.",banking,https://www.federalreservehistory.org/essays/monetary-control-act-of-1980,Federal Reserve History
