date,country,event_type,title,title_fa,description,description_fa,economic_domains,source_url,source_name
1914-08-01,SUN,catastrophe,Russian Empire enters World War I,ورود امپراتوری روسیه به جنگ جهانی اول,"Russia's general mobilization and Germany's subsequent declaration of war (1 August 1914) draw the empire into a war that conscripts roughly 15 million men, disrupts grain exports and rail-based supply chains, and drives runaway inflation and urban food shortages by 1916-17 -- economic strains that fed directly into the food riots and troop mutinies of the February and October 1917 revolutions (see separate entries).",بسیج عمومی روسیه و اعلام جنگ متعاقب آلمان (1 اوت 1914) امپراتوری را به جنگی کشاند که حدود 15 میلیون مرد را به خدمت گرفت، صادرات غله و زنجیره‌های تأمین ریلی را مختل کرد و تا سال‌های 1916-1917 به تورم افسارگسیخته و کمبود غذا در شهرها انجامید؛ فشارهای اقتصادی‌ای که مستقیماً به شورش‌های نان و طغیان سربازان در انقلاب‌های فوریه و اکتبر 1917 دامن زد (نک: مدخل‌های جداگانه).,fiscal;labor;trade,https://www.britannica.com/event/World-War-I,Encyclopaedia Britannica — World War I
1917-11-07,SUN,political-event,October Revolution — Bolsheviks seize power,انقلاب اکتبر؛ تصرف قدرت به دست بلشویک‌ها,"Lenin's Bolsheviks depose Russia's Provisional Government and proclaim Soviet power, the founding event of the state economy that would dominate this timeline for the next 74 years.",بلشویک‌های لنین دولت موقت روسیه را برکنار و قدرت شوراها را اعلام کردند؛ رویداد بنیان‌گذار اقتصاد دولتی‌ای که 74 سال بعد بر این گاه‌شمار سایه انداخت.,fiscal;institutional,https://www.britannica.com/event/Russian-Revolution,Encyclopaedia Britannica
1918-06-28,SUN,policy-enacted,War Communism — large-scale industry nationalized,کمونیسم جنگی؛ ملی شدن صنایع بزرگ,"Council of People's Commissars decree nationalizes all large-scale industrial enterprises (coal, iron and copper-ore mining and similar sectors), formalizing the War Communism"" program of nationalized industry and forced grain requisitioning that lasts until the 1921 New Economic Policy.""",فرمان شورای کمیسرهای خلق تمام بنگاه‌های صنعتی بزرگ (زغال‌سنگ، استخراج سنگ‌آهن و سنگ مس و بخش‌های مشابه) را ملی کرد و برنامه «کمونیسم جنگی» مبتنی بر صنعت ملی‌شده و مصادره اجباری غله را رسمیت بخشید؛ برنامه‌ای که تا سیاست اقتصادی نوین در سال 1921 ادامه یافت.,fiscal;food,https://www.britannica.com/money/War-Communism,Encyclopaedia Britannica Money
1921-03-21,SUN,policy-enacted,New Economic Policy (NEP) introduced,معرفی سیاست اقتصادی نوین (نپ),"Tenth Party Congress replaces War Communism's grain requisitioning with a tax in kind and permits limited private trade and small-scale enterprise, reviving the economy after the civil war.",دهمین کنگره حزب، مصادره غله در دوره کمونیسم جنگی را با مالیات جنسی جایگزین کرد و تجارت خصوصی محدود و بنگاه‌های کوچک را مجاز شمرد و اقتصاد را پس از جنگ داخلی احیا کرد.,fiscal;trade,https://www.britannica.com/money/New-Economic-Policy-Soviet-history,Encyclopaedia Britannica Money
1922-12-30,SUN,institutional-change,USSR formally established,تأسیس رسمی اتحاد جماهیر شوروی,"Congress of Soviets of Russia, Ukraine, Belarus and the Transcaucasian SFSR approves the Treaty on the Creation of the USSR, establishing the federal structure — including unified citizenship and centralized budget authority — that governs the Soviet economy until 1991.",کنگره شوراهای روسیه، اوکراین، بلاروس و جمهوری فدراتیو ماوراء قفقاز، معاهده تأسیس اتحاد جماهیر شوروی را تصویب کرد و ساختار فدرالی، شامل شهروندی یکپارچه و اختیار متمرکز بودجه، را بنا نهاد که تا سال 1991 بر اقتصاد شوروی حاکم بود.,fiscal;institutional,https://blogs.loc.gov/law/2013/01/treaty-on-the-creation-of-the-soviet-union-signed-sealed-and-delivered/,US Library of Congress — Law Library of Congress blog
1928-10-01,SUN,policy-enacted,First Five-Year Plan launched,آغاز نخستین برنامه پنج‌ساله,"Stalin's plan for rapid state-directed industrialization goes into operation (formally adopted April 1929), prioritizing heavy industry over consumer goods and ending the NEP's mixed economy.",برنامه استالین برای صنعتی‌سازی شتابان به هدایت دولت اجرایی شد (رسماً در آوریل 1929 تصویب شد) که صنایع سنگین را بر کالاهای مصرفی اولویت داد و به اقتصاد مختلط سیاست اقتصادی نوین پایان داد.,fiscal;labor,https://www.britannica.com/topic/First-Five-Year-Plan-Soviet-economics,Encyclopaedia Britannica
1930-01-05,SUN,policy-enacted,Wholesale collectivization of agriculture ordered,فرمان اشتراکی‌سازی گسترده کشاورزی,Central Committee resolution orders mass collectivization of peasant farms into kolkhozes and the 'liquidation of the kulaks as a class'; targets are repeatedly accelerated through 1930 amid violent peasant resistance.,قطعنامه کمیته مرکزی فرمان اشتراکی‌سازی گسترده مزارع دهقانی در قالب کلخوزها و «انحلال کولاک‌ها به‌عنوان یک طبقه» را صادر کرد؛ اهداف در طول سال 1930 در بحبوحه مقاومت خشونت‌بار دهقانان بارها شتاب گرفت.,food;fiscal;labor,https://www.britannica.com/topic/Five-Year-Plans,Encyclopaedia Britannica Money
1932-01-01,SUN,catastrophe,Soviet famine of 1931-34,قحطی شوروی در سال‌های 1931 تا 1934,"Forced collectivization and grain requisitioning trigger mass starvation across Ukraine, Kazakhstan, the North Caucasus and the Volga region; Britannica estimates at least 5 million deaths Soviet-wide, with death-toll and intent (including the 'Holodomor' framing specific to Ukraine) still debated among historians.",اشتراکی‌سازی اجباری و مصادره غله گرسنگی گسترده‌ای را در اوکراین، قزاقستان، شمال قفقاز و منطقه ولگا برانگیخت؛ بریتانیکا دست‌کم 5 میلیون مرگ در سراسر شوروی را برآورد می‌کند، در حالی که شمار تلفات و مسئله عمدی بودن آن (از جمله چارچوب «هولودومور» که ویژه اوکراین است) همچنان میان تاریخ‌نگاران محل بحث است.,food,https://www.britannica.com/event/Soviet-famine-1931-34,Encyclopaedia Britannica
1933-01-01,SUN,policy-enacted,Second Five-Year Plan launched,آغاز دومین برنامه پنج‌ساله,"Continuing the First Plan's priorities, the second plan (1933-37) again favors heavy industry; gross industrial production more than doubles over the period, though coal and oil targets are missed.",برنامه دوم (1933-1937) در ادامه اولویت‌های برنامه نخست، بار دیگر صنایع سنگین را در اولویت گذاشت؛ تولید ناخالص صنعتی در این دوره بیش از دو برابر شد، هرچند اهداف زغال‌سنگ و نفت محقق نشد.,fiscal,https://www.britannica.com/money/Five-Year-Plans,Encyclopaedia Britannica Money
1941-06-22,SUN,catastrophe,German invasion triggers total-war economy,حمله آلمان اقتصاد جنگ تمام‌عیار را برمی‌انگیزد,"Operation Barbarossa forces wholesale mobilization of Soviet industry, including evacuation of factories east of the Urals; the war effort costs an estimated 27 million Soviet lives and devastates the western USSR's capital stock.",عملیات بارباروسا بسیج سراسری صنعت شوروی، از جمله انتقال کارخانه‌ها به شرق کوه‌های اورال را ناگزیر کرد؛ برآورد می‌شود این جنگ 27 میلیون جان شوروی را گرفت و موجودی سرمایه غرب اتحاد شوروی را ویران کرد.,fiscal;labor,https://www.britannica.com/event/Operation-Barbarossa,Encyclopaedia Britannica
1947-12-16,SUN,policy-enacted,1947 currency reform and end of wartime rationing,اصلاح پولی 1947 و پایان جیره‌بندی دوران جنگ,"Government exchanges old-pattern rubles for new ones at 10:1 and abolishes the wartime rationing system in favor of uniform reduced state retail prices, the first postwar normalization of the Soviet consumer economy.",دولت روبل‌های الگوی قدیم را با نرخ 10 به 1 با روبل‌های جدید تعویض کرد و نظام جیره‌بندی دوران جنگ را به نفع قیمت‌های خرده‌فروشی دولتی یکسان و کاهش‌یافته لغو کرد؛ نخستین عادی‌سازی اقتصاد مصرفی شوروی پس از جنگ.,fx;inflation;food,https://soviethistory.msu.edu/1947/end-of-rationing/end-of-rationing-texts/currency-reform-and-the-end-of-rationing/,Seventeen Moments in Soviet History (Michigan State University)
1953-03-05,SUN,political-event,Death of Stalin,مرگ استالین,"Stalin dies after a stroke, triggering a Communist Party leadership struggle from which Nikita Khrushchev emerges, opening the door to the Thaw"" and eventual de-Stalinization of economic administration.""",استالین در پی سکته درگذشت و کشمکشی بر سر رهبری حزب کمونیست را برانگیخت که نیکیتا خروشچف از آن سربرآورد و راه را برای «ذوب» و در نهایت استالین‌زدایی از اداره اقتصاد گشود.,fiscal,https://www.britannica.com/biography/Joseph-Stalin,Encyclopaedia Britannica
1957-05-07,SUN,policy-enacted,Sovnarkhoz reform — regional economic decentralization,اصلاح سوونارخوز؛ تمرکززدایی اقتصادی منطقه‌ای,"Khrushchev's address to the Supreme Soviet abolishes most all-Union industrial ministries and creates roughly 105 regional economic councils (sovnarkhozy) to decentralize planning, reversed in 1965 after proving difficult to coordinate.",سخنرانی خروشچف در شورای عالی، بیشتر وزارتخانه‌های صنعتی سراسری را منحل و حدود 105 شورای اقتصادی منطقه‌ای (سوونارخوز) را برای تمرکززدایی از برنامه‌ریزی ایجاد کرد؛ این اصلاح در سال 1965 پس از آنکه هماهنگی آن دشوار از آب درآمد، لغو شد.,fiscal;institutional,https://en.wikipedia.org/wiki/1957_Soviet_economic_reform,Wikipedia — 1957 Soviet economic reform (cross-check)
1961-01-01,SUN,policy-enacted,1961 ruble redenomination,حذف صفر از روبل در سال 1961,"Fifth Soviet monetary reform redenominates the ruble 10:1 and devalues it against the US dollar; the resulting ruble remains in circulation for over 37 years, the longest-lived Soviet currency incarnation.",پنجمین اصلاح پولی شوروی روبل را با نسبت 10 به 1 تغییر واحد داد و ارزش آن را در برابر دلار آمریکا کاهش داد؛ روبل حاصل بیش از 37 سال در گردش ماند، طولانی‌عمرترین شکل پول شوروی.,fx,"https://en.wikipedia.org/wiki/Monetary_reform_in_the_Soviet_Union,_1961","Wikipedia — Monetary reform in the Soviet Union, 1961 (cross-check)"
1965-09-27,SUN,policy-proposed,Kosygin economic reform announced,اعلام اصلاحات اقتصادی کاسیگین,"Premier Alexei Kosygin outlines a decentralizing reform at the Central Committee Plenum, replacing many mandatory output targets with profit and sales indicators for enterprises; implementation stalls after the 1968 Prague Spring hardens conservative resistance.",الکسی کاسیگین، نخست‌وزیر، در نشست عمومی کمیته مرکزی اصلاحاتی تمرکززدا را تشریح کرد که بسیاری از اهداف تولیدی الزامی را با شاخص‌های سود و فروش برای بنگاه‌ها جایگزین می‌کرد؛ اجرای آن پس از آنکه بهار پراگ در سال 1968 مقاومت محافظه‌کاران را سخت‌تر کرد، متوقف ماند.,fiscal;labor,https://www.britannica.com/biography/Aleksey-Nikolayevich-Kosygin,Encyclopaedia Britannica
1979-12-24,SUN,catastrophe,Soviet invasion of Afghanistan,تهاجم شوروی به افغانستان,"Soviet troops invade to prop up the communist government in Kabul, beginning a nine-year war the CIA estimated had cost roughly 18 billion rubles by 1986 (on the order of $1-2bn/year), straining the Soviet budget through the 1980s.",نیروهای شوروی برای حمایت از دولت کمونیستی کابل وارد افغانستان شدند و جنگی نه‌ساله را آغاز کردند که به برآورد سازمان سیا تا سال 1986 حدود 18 میلیارد روبل (در حدود 1 تا 2 میلیارد دلار در سال) هزینه داشت و بودجه شوروی را در سراسر دهه 1980 تحت فشار قرار داد.,fiscal,https://www.britannica.com/event/Soviet-invasion-of-Afghanistan,Encyclopaedia Britannica
1985-04-23,SUN,institutional-change,Gorbachev launches perestroika,گورباچف پرسترویکا را آغاز می‌کند,"Newly elected General Secretary Mikhail Gorbachev's April Plenum speech introduces 'uskoreniye' (acceleration) and lays the groundwork for perestroika (restructuring) and glasnost (openness), the reform program that restructures the Soviet economy over the following six years.",سخنرانی میخائیل گورباچف، دبیرکل تازه‌منتخب، در نشست عمومی آوریل، مفهوم «اوسکورنیه» (شتاب‌بخشی) را معرفی و زمینه پرسترویکا (بازسازی) و گلاسنوست (فضای باز) را فراهم کرد؛ برنامه اصلاحی‌ای که اقتصاد شوروی را طی شش سال بعد بازسازی کرد.,fiscal,https://www.britannica.com/place/Russia/The-Gorbachev-era-perestroika-and-glasnost,Encyclopaedia Britannica
1991-08-19,SUN,political-event,August Coup attempt against Gorbachev,کودتای اوت علیه گورباچف,"Communist hardliners (KGB, military, party conservatives) briefly seize power to block a new union treaty and preserve central planning; the coup's collapse fatally undermines Gorbachev and accelerates the USSR's dissolution four months later.",تندروهای کمونیست (کا.گ.ب، ارتش و محافظه‌کاران حزبی) برای جلوگیری از معاهده اتحاد جدید و حفظ برنامه‌ریزی متمرکز، کوتاه‌مدت قدرت را در دست گرفتند؛ ناکامی کودتا ضربه‌ای مهلک به گورباچف زد و فروپاشی شوروی را چهار ماه بعد شتاب بخشید.,fiscal;institutional,https://www.britannica.com/topic/1991-Soviet-coup-attempt,Encyclopaedia Britannica
1991-12-26,RUS,political-event,Dissolution of the USSR — Russia inherits the Soviet economy,فروپاشی اتحاد شوروی؛ روسیه اقتصاد شوروی را به ارث می‌برد,"The Soviet Union formally dissolves into 15 successor states (see GLOBAL entry); the Russian Federation inherits most Soviet economic institutions, foreign debt, and the UN Security Council seat, and begins market transition weeks later.",اتحاد جماهیر شوروی رسماً به 15 کشور جانشین تجزیه شد (نک: مدخل جهانی)؛ فدراسیون روسیه بیشتر نهادهای اقتصادی شوروی، بدهی خارجی و کرسی شورای امنیت سازمان ملل را به ارث برد و چند هفته بعد گذار به اقتصاد بازار را آغاز کرد.,fiscal;fx,https://www.britannica.com/event/dissolution-of-the-Soviet-Union,Encyclopaedia Britannica
1992-01-02,RUS,policy-enacted,Gaidar 'shock therapy' price liberalization,آزادسازی قیمت‌ها در «درمان شوکی» گایدار,"Acting PM Yegor Gaidar's government frees prices on most goods overnight, ending Soviet-era price controls; consumer prices rise roughly 2,500% over 1992 as pent-up shortages give way to hyperinflation.",دولت یگور گایدار، سرپرست نخست‌وزیری، یک‌شبه قیمت بیشتر کالاها را آزاد کرد و به کنترل قیمت‌های دوران شوروی پایان داد؛ قیمت‌های مصرف‌کننده در طول سال 1992 حدود 2500 درصد افزایش یافت، چراکه کمبودهای انباشته به ابرتورم انجامید.,fx;inflation;food,https://www.elibrary.imf.org/view/journals/001/1992/092/article-A001-en.xml,IMF Working Paper 92/92 — Price Liberalization in Russia: The Early Record
1992-10-01,RUS,policy-enacted,Voucher privatization program begins,آغاز برنامه خصوصی‌سازی کوپنی,"Deputy PM Anatoly Chubais's program issues privatization vouchers (nominal value 10,000 rubles) to 144 million citizens to buy shares in state enterprises, the centerpiece of Russia's mass-privatization drive that gave rise to the 1990s oligarchs.","برنامه آناتولی چوبایس، معاون نخست‌وزیر، کوپن‌های خصوصی‌سازی (به ارزش اسمی 10,000 روبل) را میان 144 میلیون شهروند برای خرید سهام بنگاه‌های دولتی توزیع کرد؛ محور اصلی خصوصی‌سازی گسترده روسیه که به پیدایش الیگارش‌های دهه 1990 انجامید.",fiscal;banking,https://www.upi.com/Archives/1992/08/21/Russia-launches-privatization-checks/5093714369600/,UPI Archives (contemporaneous wire report)
1993-09-21,RUS,political-event,1993 constitutional crisis,بحران قانون اساسی 1993,Yeltsin's decree dissolving parliament triggers a ten-day standoff and armed clashes that kill over 180 people before tanks shell the White House; the crisis clears the way for Yeltsin's market-reform-entrenching December 1993 constitution.,فرمان یلتسین برای انحلال پارلمان بن‌بستی ده‌روزه و درگیری‌های مسلحانه‌ای را برانگیخت که پیش از گلوله‌باران کاخ سفید با تانک، بیش از 180 کشته بر جای گذاشت؛ این بحران راه را برای قانون اساسی دسامبر 1993 یلتسین که اصلاحات بازار را تثبیت می‌کرد، هموار کرد.,fiscal;institutional,https://en.wikipedia.org/wiki/1993_Russian_constitutional_crisis,Wikipedia — 1993 Russian constitutional crisis (cross-check)
1995-11-01,RUS,policy-enacted,Loans-for-shares privatization auctions,مزایده‌های خصوصی‌سازی «وام در برابر سهام»,"Commercial banks lend the cash-strapped government roughly $800m against collateral stakes in major state firms (Norilsk Nickel, Yukos, Sibneft and others); the government's 1996 default on the loans transfers these assets to bank owners at deep discounts, creating Russia's first generation of oligarchs.",بانک‌های تجاری حدود 800 میلیون دلار به دولت کم‌نقدینه وام دادند و در ازای آن سهام بنگاه‌های بزرگ دولتی (نوریلسک نیکل، یوکوس، سیبنفت و دیگران) را به وثیقه گرفتند؛ نکول دولت در بازپرداخت این وام‌ها در سال 1996 این دارایی‌ها را با تخفیف‌های هنگفت به مالکان بانک‌ها منتقل کرد و نخستین نسل الیگارش‌های روسیه را پدید آورد.,fiscal;banking,https://en.wikipedia.org/wiki/Loans_for_shares_scheme,Wikipedia — Loans for shares scheme (cross-check)
