date,country,event_type,title,title_fa,description,description_fa,economic_domains,source_url,source_name
1930-09-06,ARG,political-event,"Uriburu coup begins the ""Infamous Decade""",,General José Félix Uriburu overthrows President Hipólito Yrigoyen amid Depression-driven unemployment and fiscal retrenchment; the coup opens 13 years of military-dominated rule marked by electoral fraud and sets the template for 20th-century Argentine coups.,,institutional;fiscal,https://en.wikipedia.org/wiki/1930_Argentine_coup_d%27%C3%A9tat,Wikipedia — 1930 Argentine coup d'état (cross-check)
1943-06-04,ARG,political-event,1943 military coup ends civilian rule,,"The United Officers' Group (GOU), a secret military lodge that included Juan Perón, overthrows President Ramón Castillo, ending the fraud-tainted ""Infamous Decade"" and opening the period of chronic military intervention in Argentine politics that shaped economic policy for the rest of the century.",,institutional;fiscal,https://www.britannica.com/biography/Juan-Peron,Encyclopaedia Britannica — Juan Perón
1946-02-24,ARG,political-event,Juan Perón elected president,,"Perón wins Argentina's presidency with roughly 54-56% of the vote on a labor-populist platform, launching the economic-nationalist model — state trading monopolies, nationalization of foreign-owned infrastructure, import substitution — that defines Peronism.",,institutional;fiscal,https://www.history.com/this-day-in-history/february-24/peron-elected-in-argentina,History.com
1946-05-28,ARG,institutional-change,IAPI (state foreign-trade monopoly) created,,"Decree-law establishes the Instituto Argentino de Promoción del Intercambio, which buys agricultural exports (grain, meat, hides) from producers at fixed prices and sells abroad, effectively nationalizing Argentina's foreign trade until its dissolution after the 1955 coup.",,trade;fiscal,https://jdperon.gob.ar/28-de-mayo-de-1946-creacion-del-iapi-instituto-argentino-para-la-promocion-del-intercambio/,Instituto Nacional Juan Domingo Perón (official)
1948-03-01,ARG,policy-enacted,British-owned railways nationalized,,"Argentina purchases the seven British- and three French-owned railway companies, folding them into the state holding company Ferrocarriles Argentinos as part of Perón's First Five-Year Plan economic-nationalist program.",,fiscal;trade,https://en.wikipedia.org/wiki/Railway_nationalisation_in_Argentina,Wikipedia — Railway nationalisation in Argentina (cross-check)
1955-09-19,ARG,political-event,Revolución Libertadora overthrows Perón,,"Juan Perón is overthrown by an army-navy revolt and flees to Paraguay, ending his first period in power amid growing discontent over inflation, corruption and economic mismanagement; the following decades saw alternating civilian and military governments contest Peronism's economic legacy.",,institutional;fiscal,https://www.britannica.com/biography/Juan-Peron,Encyclopaedia Britannica — Juan Perón
1958-12-02,ARG,institutional-change,Argentina's first IMF Stand-By Arrangement,,"President Arturo Frondizi signs Argentina's first IMF Stand-By Arrangement (about US$75 million), two years after Argentina joined the Fund (1956), beginning a pattern of recurrent IMF engagement — over 20 arrangements to date — driven by chronic balance-of-payments and inflation crises.",,fiscal,https://en.wikipedia.org/wiki/Argentina_and_the_International_Monetary_Fund,Wikipedia — Argentina and the International Monetary Fund (cross-check; consistent with IMF's own country page imf.org/en/countries/arg)
1962-03-29,ARG,political-event,Frondizi overthrown by military coup,,"Military ousts President Arturo Frondizi after he allows Peronist candidates to contest and win provincial elections; power passes to civilian Senate president José María Guido rather than the military directly, an unusual constitutional workaround.",,institutional;fiscal,https://en.wikipedia.org/wiki/Frondizi,Wikipedia — Arturo Frondizi (cross-check)
1966-06-28,ARG,political-event,"Onganía coup — ""Argentine Revolution""",,General Juan Carlos Onganía overthrows President Arturo Illia and establishes a self-styled permanent (not transitional) military regime; liberal economy minister Krieger Vasena's policies raise foreign ownership of industry from 14% (1957) to 59% (1969) while real wages fall 8%.,,institutional;fiscal;trade,https://www.britannica.com/topic/history-of-Argentina/Military-government-1966-73,Encyclopaedia Britannica
1975-06-04,ARG,economic-event,"""Rodrigazo"" devaluation and inflation shock",,"Economy Minister Celestino Rodrigo devalues the peso 150%, unifies exchange rates, and raises utility/fuel prices 100-200% under President Isabel Perón; monthly inflation surges past 20%, annual inflation rises from 24% (1974) to 182% (1975), and the shock fractures Peronist labor support ahead of the 1976 coup.",,fx;inflation,https://en.wikipedia.org/wiki/Rodrigazo,Wikipedia — Rodrigazo (cross-check)
1976-03-24,ARG,political-event,1976 military coup begins Process of National Reorganization,,"A military junta led by Jorge Rafael Videla overthrows President Isabel Perón. The new economy minister, José Alfredo Martínez de Hoz (appointed 29 March 1976), launches a sweeping market-liberalization program — deregulating prices, unifying and devaluing the exchange rate, and opening trade — while the dictatorship (1976-1983) wages the ""Dirty War"" against political opponents.",,institutional;fiscal;trade,https://www.britannica.com/event/Dirty-War-Argentina,Encyclopaedia Britannica — Dirty War (Argentina)
1978-12-20,ARG,policy-enacted,"""Tablita"" pre-announced exchange-rate schedule introduced",,"Economy Minister Martínez de Hoz publishes a declining monthly-devaluation timetable to anchor inflation expectations; the peso becomes badly overvalued as local inflation outruns the schedule, and the policy collapses in a sharp February 1981 devaluation.",,fx;inflation,https://www.cambridge.org/core/journals/latin-american-research-review/article/return-of-international-finance-and-the-martinez-de-hoz-plan-in-argentina-19761978/6CB3CA811207F9FF044A164403D88311,Latin American Research Review — Cambridge University Press
1980-03-01,ARG,catastrophe,1980 banking crisis (Banco de Intercambio Regional collapse),,"Failure of Banco de Intercambio Regional, one of Argentina's largest private banks, forces central-bank intervention in three more major banks within days; 71 financial institutions are ultimately liquidated over the following two years amid the Martínez de Hoz-era financial liberalization.",,banking,https://www.elibrary.imf.org/display/book/9781557751874/ch02.xml,"IMF — ""The Argentine Banking Crisis of 1980"" (Banking Crises volume)"
1982-06-14,ARG,political-event,Falklands War ends in Argentine surrender,,Britain recaptures Port Stanley after a 74-day war launched by the military junta partly to distract from economic crisis and unrest; the defeat discredits the junta (which had devalued the peso 23% that year alone) and leads to the 1983 return of civilian rule.,,fx;fiscal,https://www.history.com/this-day-in-history/june-14/falkland-islands-war-ends,History.com
1985-06-14,ARG,policy-enacted,Austral Plan currency reform,,"Economy Minister Sourrouille launches a heterodox stabilization plan under President Alfonsín, replacing the peso argentino with a new currency (the austral, at 1,000:1) alongside a wage-price-exchange-rate freeze; monthly inflation drops from over 30% to near 2% before the plan unravels by late 1986.",,fx;inflation,https://www.argentina.gob.ar/noticias/14-de-junio-de-1985-lanzamiento-del-plan-austral,Government of Argentina — official announcement retrospective
1989-07-08,ARG,economic-event,Hyperinflation forces Alfonsín's early resignation,,"Monthly inflation reaches roughly 200% by July 1989 (annualized well into four digits) amid riots and looting; President Raúl Alfonsín resigns six months early, handing power to president-elect Carlos Menem on 8 July 1989 in Argentina's first hyperinflationary collapse of the modern era.",,inflation;fx,https://en.wikipedia.org/wiki/1989_hyperinflation_in_Argentina,Wikipedia — 1989 hyperinflation in Argentina (cross-check)
1990-01-03,ARG,policy-enacted,Plan Bonex — forced deposit-to-bond conversion,,"Following 1989's roughly 3,080% annual hyperinflation, the Menem government forcibly converts most bank time deposits (about US$3bn) into 10-year ""Bonex 89"" dollar bonds, leaving depositors only a small cash portion — a precedent later echoed by the 2001 corralito.",,banking;inflation,https://en.wikipedia.org/wiki/BONEX_Plan,Wikipedia — BONEX Plan (cross-check)
1991-04-01,ARG,policy-enacted,Convertibility Plan pegs peso 1:1 to US dollar,,"Economy Minister Domingo Cavallo's Convertibility Law (Ley 23.928) takes effect, establishing a currency-board regime that fixes the new peso at parity with the US dollar and backs the monetary base with reserves; annual inflation falls from 2,314% in 1990 to about 17% in 1991 and below 5% for the rest of the decade.",,fx;inflation,https://www.elibrary.imf.org/display/book/9781589063808/ch001.xml,"IMF Independent Evaluation Office — ""The IMF and Argentina, 1991-2001"""
1995-01-01,ARG,economic-event,"""Tequila Effect"" bank run",,"Contagion from Mexico's December 1994 peso devaluation triggers deposit withdrawals across Argentina's convertibility-era banking system; GDP falls 4.4% and unemployment reaches 18.6% in 1995 despite the currency board holding, exposing the system's vulnerability to external shocks.",,banking;fx,https://www.federalreserve.gov/econres/ifdp/the-tequila-effect-theory-and-evidence-from-argentina.htm,Federal Reserve Board — International Finance Discussion Papers
1999-12-10,ARG,political-event,De la Rúa inaugurated amid recession,,"Fernando de la Rúa's Alliance government takes office as Argentina enters its fourth year of recession under the rigid Convertibility peg, a slide that culminates in the December 2001 corralito and sovereign default.",,fiscal;fx,https://en.wikipedia.org/wiki/Fernando_de_la_R%C3%BAa,Wikipedia — Fernando de la Rúa (cross-check)
2001-12-01,ARG,policy-enacted,Corralito bank-deposit freeze imposed,,"Economy Minister Domingo Cavallo imposes the ""corralito,"" freezing most bank deposits and capping weekly cash withdrawals at 250 pesos to stop a bank run, immobilizing an estimated US$70-85 billion in deposits as the Convertibility-era financial system collapses.",,banking;fx,https://www.batimes.com.ar/news/argentina/argentines-recall-nations-worst-ever-crisis-20-years-on.phtml,Buenos Aires Times — 20th-anniversary retrospective on the 2001 crisis
2001-12-20,ARG,political-event,De la Rúa resigns amid crisis,,"President Fernando de la Rúa resigns after two days of deadly riots and looting (39 people killed) under the protest slogan ""Que se vayan todos"" (""all of them must go""), triggering a period of political chaos in which five people held the presidency within two weeks.",,institutional;fiscal,https://www.voanews.com/a/a-13-a-2001-12-20-22-argentine-66431937/550326.html,"VOA News — ""Argentine President Submits his Resignation"" (2001-12-20)"
2002-01-06,ARG,policy-enacted,Convertibility abandoned; peso floated,,"Congress passes the Public Emergency and Exchange-Rate Reform Law (Ley 25.561) under President Eduardo Duhalde, ending a decade of dollar convertibility, devaluing and floating the peso, and ""pesifying"" dollar-denominated bank deposits and debts at asymmetric rates — the peso falls from 1:1 to roughly 3.8 per dollar by September 2002.",,fx;inflation,https://biblioteca.afip.gob.ar/dcp/LEY_C_025561_2002_01_06,AFIP (Argentina federal tax administration) — full text of Ley 25.561
2003-05-25,ARG,political-event,Néstor Kirchner takes office,,"Kirchner's inauguration marks the start of a post-crisis recovery built on a competitive floated peso, debt restructuring, and rejection of IMF-style structural-adjustment conditionality.",,fiscal;fx,https://en.wikipedia.org/wiki/N%C3%A9stor_Kirchner,Wikipedia — Néstor Kirchner (cross-check)
2005-03-18,ARG,economic-event,2005 sovereign debt restructuring,,"Argentina announces that holders of about 76% of its defaulted bonds (from the 2001 default, then the largest in history) have accepted a restructuring offer with steep principal haircuts; litigation from ""holdout"" creditors delays final settlement of the exchange until 2 June 2005.",,fiscal,https://www.everycrsreport.com/reports/RL32637.html,"Congressional Research Service — ""Argentina's Sovereign Debt Restructuring"""
2006-01-03,ARG,economic-event,Argentina prepays entire IMF debt,,"Kirchner government pays off Argentina's remaining roughly $9.5bn IMF debt in a single payment from central-bank reserves, ending Fund conditionality and formally closing the crisis chapter opened in 2001-02.",,fiscal;fx,https://en.wikipedia.org/wiki/Argentina_and_the_International_Monetary_Fund,Wikipedia — Argentina and the International Monetary Fund (cross-check)
2007-01,ARG,institutional-change,INDEC intervention begins,,"Secretary of Domestic Trade Guillermo Moreno pressures INDEC to remove CPI director Graciela Bevacqua and alter consumer-price-index methodology after she refuses to lower reported inflation figures, beginning nine years (2007-2015) of politically manipulated official statistics that Moreno was later criminally convicted over.",,inflation,https://www.fiscales.gob.ar/fiscalias/manipulacion-de-datos-en-el-indec-solicitan-penas-de-hasta-cuatro-anos-de-prision-para-guillermo-moreno-y-tres-funcionarias-del-organismo/,Argentina Public Prosecutor's Office (Fiscales.gob.ar) — prosecution filing on INDEC data manipulation
2008-10-21,ARG,policy-enacted,Private pension funds (AFJP) nationalized,,"Government renationalizes the ten private AFJP pension-fund managers created in 1993, transferring roughly $30bn in assets to state administration and partially nationalizing 42 listed companies whose shares the AFJPs had held.",,fiscal;banking,https://www.npr.org/2008/10/31/96369325/argentina-to-nationalize-pensions,NPR
2013-02-01,ARG,institutional-change,IMF issues first-ever declaration of censure over data quality,,"The IMF Executive Board adopts a formal Declaration of Censure against Argentina — the first in Fund history — for failing to provide accurate CPI and GDP data as required under Article VIII, giving Argentina until September 2013 to comply or face further sanctions up to suspension of voting rights or expulsion.",,inflation,https://www.bloomberg.com/news/articles/2013-02-01/argentina-becomes-first-nation-censured-by-imf-on-inflation-data,"Bloomberg — ""Argentina Is First Nation Censured by IMF for Economic Data"""
2014-07-31,ARG,economic-event,"Second default — ""vulture fund"" holdout ruling",,Argentina defaults on $29bn in restructured debt after US Judge Thomas Griesa blocks payment to bondholders who accepted 2005/2010 haircuts unless holdout hedge funds (led by NML Capital and Aurelius) are paid in full — a legal standoff that keeps Argentina locked out of international bond markets until a 2016 settlement.,,fiscal,https://www.commondreams.org/news/2014/07/31/argentina-default-vulture-funds-demand-predatory-payment,Common Dreams (contemporaneous reporting)
