date,country,event_type,title,title_fa,description,description_fa,economic_domains,source_url,source_name
1901-05-28,IRN,policy-enacted,D'Arcy Oil Concession,امتیاز نفتی دارسی,"William Knox D'Arcy granted a 60-year concession to explore for oil across most of Persia, the origin of the country's oil economy.",ویلیام ناکس دارسی امتیاز اکتشاف نفت را برای شصت سال در بیشتر قلمرو پارس به دست آورد؛ این امتیاز خاستگاه اقتصاد نفتی کشور بود.,oil;fiscal,https://www.iranicaonline.org/articles/darcy-oil-concession,Encyclopaedia Iranica
1907-11,IRN,institutional-change,First Majlis approves Persia's first national budget,نخستین بودجه ملی ایران در مجلس اول,"Following the 1906 Constitutional Revolution, the first Majlis passes Persia's first modern national budget and blocks a proposed GBP 400,000 Anglo-Russian loan pending legislative approval, establishing parliamentary control over public finance and proposing new consumption taxes (sugar, tea) to fund domestic infrastructure.",پس از انقلاب مشروطه ۱۹۰۶، مجلس اول نخستین بودجه ملی نوین ایران را تصویب کرد و وام پیشنهادی ۴۰۰ هزار پوندی مشترک انگلیس و روسیه را تا تأیید قانونی متوقف ساخت؛ این اقدام کنترل پارلمانی بر مالیه عمومی را برقرار کرد و مالیات‌های جدیدی بر مصرف قند و چای برای تأمین مالی زیرساخت‌های داخلی پیشنهاد داد.,fiscal;institutional,https://www.britannica.com/topic/Constitutional-Revolution,Encyclopaedia Britannica — Constitutional Revolution
1908-05-26,IRN,economic-event,First major oil strike at Masjed Soleyman,نخستین اکتشاف بزرگ نفت در مسجد سلیمان,"Discovery of commercially viable oil deposits in Khuzestan, leading to the founding of the Anglo-Persian Oil Company in 1909.",کشف ذخایر نفتی قابل بهره‌برداری تجاری در خوزستان، که به تأسیس شرکت نفت انگلیس و پارس در سال 1909 میلادی انجامید.,oil,https://www.britannica.com/place/Iran/Oil-concessions,Encyclopaedia Britannica
1911-05/1911-12,IRN,institutional-change,Morgan Shuster's American financial mission and expulsion,مأموریت مالی آمریکایی مورگان شوستر و اخراج او,"At the Majlis's invitation, American financier William Morgan Shuster arrives in May 1911 as Treasurer-General to reorganize Persia's tax collection and treasury; Russian military pressure forces his expulsion that December despite the Majlis's objections, ending an early attempt at independent, foreign-assisted fiscal reform.",به دعوت مجلس، مالی‌دان آمریکایی ویلیام مورگان شوستر در مه ۱۹۱۱ به عنوان خزانه‌دار کل برای سامان‌دهی نظام مالیات‌گیری و خزانه‌داری ایران وارد کشور شد؛ فشار نظامی روسیه در دسامبر همان سال، علی‌رغم مخالفت مجلس، به اخراج او انجامید و به تلاشی زودهنگام برای اصلاحات مالی مستقل با کمک خارجی پایان داد.,fiscal;institutional,https://www.britannica.com/biography/William-Morgan-Shuster,Encyclopaedia Britannica
1917-01-01,IRN,catastrophe,Great Persian Famine and 1918 influenza pandemic,قحطی بزرگ ایران و همه‌گیری آنفلوانزای 1918,"Wartime allied grain requisitioning, blockade and disrupted trade routes during World War I trigger severe famine across Iran from 1917, compounded by the 1918-19 influenza pandemic, cholera and typhus under the weakened, occupied Qajar government; mainstream scholarship estimates roughly 2 million excess deaths (Mohammad Gholi Majd has argued for far higher tolls of 8-10 million, a figure not widely accepted among historians), devastating the rural agricultural labor force.",مصادره غله توسط متفقین در زمان جنگ، محاصره و اختلال مسیرهای تجاری در جریان جنگ جهانی اول، از سال 1917 قحطی شدیدی را در سراسر ایران برانگیخت که با همه‌گیری آنفلوانزای 1918-1919، وبا و تیفوس، تحت حکومت ضعیف و اشغال‌شده قاجار تشدید شد؛ پژوهش اصلی حدود 2 میلیون مرگ مازاد را برآورد می‌کند (محمدقلی مجد ارقام بسیار بالاتری در حدود 8 تا 10 میلیون را مطرح کرده که میان تاریخ‌نگاران پذیرش گسترده‌ای ندارد)، رویدادی که نیروی کار کشاورزی روستایی را از میان برد.,food;labor;trade,https://en.wikipedia.org/wiki/Persian_famine_of_1917%E2%80%931919,"Wikipedia — Persian famine of 1917-1919 (cross-checked against Encyclopaedia Iranica's ""Influenza"" article and academic literature on death-toll estimates)"
1919-08-09,IRN,policy-proposed,Anglo-Persian Agreement signed,امضای قرارداد ۱۹۱۹ ایران و انگلیس,"British Foreign Secretary Curzon's agreement would have given Britain control over Persia's military organization, customs tariffs, and finances in exchange for a GBP 2m loan at 7% interest; it proves so unpopular domestically and internationally that the Majlis never ratifies it, and it is formally denounced in 1921.",قراردادی که وزیر خارجه بریتانیا، لرد کرزن، پیشنهاد داد، در ازای وامی دو میلیون پوندی با بهره ۷ درصد، کنترل بریتانیا بر سازمان نظامی، تعرفه‌های گمرکی و مالیه ایران را به دنبال می‌داشت؛ این قرارداد چنان در داخل و خارج نامحبوب بود که مجلس هرگز آن را تصویب نکرد و سرانجام در ۱۹۲۱ رسماً لغو شد.,fiscal;institutional,https://www.iranicaonline.org/articles/anglo-persian-agreement-1919/,Encyclopaedia Iranica
1921-02-21,IRN,political-event,1921 Persian coup centralizes state authority,کودتای ۱۲۹۹ و تمرکز قدرت دولتی,"Reza Khan and journalist Seyyed Zia'eddin Tabatabaei march Cossack troops into Tehran and install a new government, beginning the consolidation of central military and fiscal authority away from Qajar provincial power-brokers that culminates in Reza Khan's 1925 coronation as Shah.",رضاخان به همراه روزنامه‌نگار سید ضیاءالدین طباطبایی نیروهای قزاق را وارد تهران کرد و دولتی تازه بر سر کار آورد؛ این رویداد آغاز تمرکز قدرت نظامی و مالی مرکزی به دور از قدرت‌های محلی دوران قاجار بود که سرانجام به تاج‌گذاری رضاخان به عنوان شاه در ۱۹۲۵ انجامید.,institutional;fiscal,https://www.iranicaonline.org/articles/coup-detat-of-1299-1921/,Encyclopaedia Iranica
1925-01-01,IRN,policy-enacted,Sugar and tea consumption tax enacted,وضع مالیات بر مصرف قند و چای,"Majlis approves indirect consumption taxes on sugar and tea, the principal domestic revenue source used to finance construction of the state-built Trans-Iranian Railway without foreign loans.",مجلس مالیات‌های غیرمستقیم بر مصرف قند و چای را تصویب کرد، منبع اصلی درآمد داخلی برای تأمین مالی ساخت راه‌آهن سراسری ایران بدون وام خارجی.,fiscal;trade,https://www.iranicaonline.org/articles/fiscal-system-v-pahlavi-period/,Encyclopaedia Iranica (Fiscal System v. Pahlavi Period)
1925-12-15,IRN,institutional-change,Pahlavi dynasty founded,تأسیس سلسله پهلوی,"Reza Khan crowned Reza Shah Pahlavi, beginning a state-led modernization and industrialization program.",رضاخان به‌عنوان رضاشاه پهلوی تاجگذاری کرد و برنامه نوسازی و صنعتی‌سازی دولت‌محور را آغاز کرد.,fiscal;institutional,https://www.britannica.com/biography/Reza-Shah-Pahlavi,Encyclopaedia Britannica
1927-01-01,IRN,institutional-change,Bank Melli Iran established,تأسیس بانک ملی ایران,"Iran's first national bank founded, taking over currency-issuing functions previously held by the British Imperial Bank of Persia.",نخستین بانک ملی ایران تأسیس شد و وظیفه انتشار پول را که پیش از آن بر عهده بانک شاهنشاهی انگلیس در پارس بود، بر عهده گرفت.,banking;fiscal,https://www.iranicaonline.org/articles/bank-melli-iran,Encyclopaedia Iranica
