era_id,country,start_date,end_date,title,title_fa,description,description_fa,kind,source_url,source_name
iran_ww2_occupation,IRN,1941-08-25,1946-05-09,Anglo-Soviet Occupation,اشغال ایران توسط متفقین,"Allied invasion and occupation of Iran; Reza Shah abdicates, wartime supply corridor to the USSR, severe inflation and food shortages.","حمله و اشغال ایران توسط متفقین؛ کناره‌گیری رضاشاه، مسیر ارسال تدارکات به شوروی، تورم شدید و کمبود مواد غذایی.",war,https://www.britannica.com/event/Anglo-Soviet-invasion-of-Iran,Encyclopaedia Britannica
iran_oil_nationalization_crisis,IRN,1951-04-28,1954-08-05,Oil Nationalisation and the Abadan Crisis,ملی‌شدن نفت و بحران آبادان,"Nationalisation of the Anglo-Iranian Oil Company under Mossadegh, the British embargo and blockade of Iranian oil exports, and the collapse of oil revenue until the 1954 Consortium Agreement.","ملی‌شدن شرکت نفت ایران و انگلیس در دولت مصدق، تحریم و محاصره صادرات نفت ایران توسط بریتانیا و سقوط درآمد نفتی تا قرارداد کنسرسیوم ۱۹۵۴.",policy_era,https://www.britannica.com/event/Iran-oil-crisis-of-1951-1954,Encyclopaedia Britannica
iran_white_revolution,IRN,1963-01-26,1979-02-11,White Revolution Reform Era,دوران اصلاحات انقلاب سفید,"Mohammad Reza Shah's reform programme: land reform, literacy corps, industrialisation and state-led modernisation.","برنامه اصلاحات محمدرضا شاه: اصلاحات ارضی، سپاه دانش، صنعتی‌سازی و نوسازی دولت‌محور.",policy_era,https://www.britannica.com/event/White-Revolution,Encyclopaedia Britannica
global_oil_shock_1973,GLOBAL,1973-10-16,1974-03-18,First Oil Shock,نخستین شوک نفتی,"OPEC embargo quadruples crude prices; a windfall for Iranian oil revenue and the trigger for the mid-1970s spending boom.","تحریم اوپک قیمت نفت خام را چهار برابر کرد؛ جهش درآمد نفتی ایران و آغاز رونق مخارج در میانه دهه ۱۹۷۰.",shock,https://history.state.gov/milestones/1969-1976/oil-embargo,US State Dept, Office of the Historian
iran_revolution,IRN,1978-01-07,1979-04-01,Islamic Revolution,انقلاب اسلامی,"Mass strikes (including the oil-workers' strike), collapse of the Pahlavi state, capital flight and a near-total halt of oil exports; the Islamic Republic is proclaimed in April 1979.","اعتصابات گسترده (از جمله اعتصاب کارگران نفت)، فروپاشی حکومت پهلوی، فرار سرمایه و توقف تقریبی صادرات نفت؛ جمهوری اسلامی در فروردین ۱۳۵۸ اعلام شد.",revolution,https://www.britannica.com/event/Iranian-Revolution,Encyclopaedia Britannica
global_oil_shock_1979,GLOBAL,1979-01-01,1980-12-31,Second Oil Shock,دومین شوک نفتی,"The Iranian Revolution removes Iranian crude from world markets and prices spike again.","انقلاب ایران نفت خام ایران را از بازار جهانی خارج کرد و قیمت‌ها دوباره جهش یافت.",shock,https://www.federalreservehistory.org/essays/oil-shock-of-1978-79,Federal Reserve History
iran_iraq_war,IRN,1980-09-22,1988-08-20,Iran-Iraq War,جنگ ایران و عراق,"Eight-year war: destruction of Khuzestan's oil and industrial infrastructure, war-economy rationing, conscription, and heavy diversion of the budget to defence.","جنگ هشت‌ساله: تخریب زیرساخت‌های نفتی و صنعتی خوزستان، جیره‌بندی اقتصاد جنگی، سربازگیری و تخصیص سنگین بودجه به دفاع.",war,https://www.britannica.com/event/Iran-Iraq-War,Encyclopaedia Britannica
iran_reconstruction,IRN,1989-01-01,1997-08-02,Post-War Reconstruction (Rafsanjani),دوران بازسازی پس از جنگ (رفسنجانی),"First and Second Development Plans: reconstruction, partial liberalisation, exchange-rate unification attempts and a sharp rise in external debt.","برنامه‌های اول و دوم توسعه: بازسازی، آزادسازی نسبی، تلاش برای یکسان‌سازی نرخ ارز و افزایش شدید بدهی خارجی.",policy_era,https://iranprimer.usip.org/,USIP Iran Primer
iran_nuclear_sanctions,IRN,2006-12-23,2015-07-14,Nuclear-Programme Sanctions,تحریم‌های برنامه هسته‌ای,"Escalating UN, US and EU sanctions, culminating in the 2012 oil embargo and exclusion from SWIFT: oil exports, the rial and access to foreign reserves all collapse.","تشدید تحریم‌های سازمان ملل، آمریکا و اتحادیه اروپا، با اوج تحریم نفتی ۲۰۱۲ و قطع دسترسی به سوئیفت: سقوط صادرات نفت، ریال و ذخایر ارزی.",sanctions,https://www.armscontrol.org/factsheets/Timeline-of-Nuclear-Diplomacy-With-Iran,Arms Control Association
iran_jcpoa_window,IRN,2016-01-16,2018-05-08,JCPOA Sanctions Relief,دوره تعلیق تحریم‌ها (برجام),"Implementation Day to US withdrawal: sanctions relief, a rebound in oil exports and a brief period of disinflation and recovery.","از روز اجرا تا خروج آمریکا: رفع تحریم‌ها، بازگشت صادرات نفت و دوره‌ای کوتاه از کاهش تورم و بهبود اقتصادی.",policy_era,https://www.armscontrol.org/factsheets/Timeline-of-Nuclear-Diplomacy-With-Iran,Arms Control Association
iran_maximum_pressure,IRN,2018-05-08,2021-01-20,US "Maximum Pressure" Sanctions,تحریم‌های «فشار حداکثری» آمریکا,"US withdrawal from the JCPOA and reimposition of secondary sanctions: oil exports fall sharply, the parallel rial collapses and inflation accelerates.","خروج آمریکا از برجام و بازگرداندن تحریم‌های ثانویه: افت شدید صادرات نفت، سقوط ریال در بازار آزاد و شتاب تورم.",sanctions,https://www.armscontrol.org/factsheets/Timeline-of-Nuclear-Diplomacy-With-Iran,Arms Control Association
global_covid,GLOBAL,2020-03-11,2021-12-31,COVID-19 Pandemic,همه‌گیری کووید-۱۹,"Global demand collapse and an oil-price crash, compounded in Iran by one of the region's most severe outbreaks.","سقوط تقاضای جهانی و ریزش قیمت نفت، همراه با یکی از شدیدترین شیوع‌ها در منطقه برای ایران.",shock,https://www.who.int/europe/emergencies/situations/covid-19,World Health Organization
