date,country,event_type,title,title_fa,description,description_fa,economic_domains,source_url,source_name
1943-03-13,VEN,policy-enacted,Hydrocarbons Law of 1943,,"President Medina Angarita's reform requires foreign oil companies to share profits roughly 50-50 with the state and unifies concession terms at a uniform 40-year duration; government oil income rises sixfold within five years, the first major step toward state control of the sector.",,oil;fiscal,https://en.wikipedia.org/wiki/History_of_the_Venezuelan_oil_industry,Wikipedia — History of the Venezuelan oil industry (cross-check)
1948-11-24,VEN,political-event,Military coup overthrows Rómulo Gallegos,,"Officers led by Marcos Pérez Jiménez overthrow Venezuela's first democratically elected president months after he signed a sweeping land-reform bill, beginning a decade of military dictatorship.",,fiscal,https://en.wikipedia.org/wiki/1948_Venezuelan_coup_d%27%C3%A9tat,Wikipedia — 1948 Venezuelan coup d'état (cross-check)
1958-01-23,VEN,political-event,Pérez Jiménez dictatorship overthrown,,"A military-civilian uprising ousts dictator Marcos Pérez Jiménez, who had relied heavily on oil revenue to fund urbanization and modernization spending, opening the transition back to democracy.",,oil;fiscal,https://en.wikipedia.org/wiki/1958_Venezuelan_coup_d%27%C3%A9tat,Wikipedia — 1958 Venezuelan coup d'état (cross-check)
1958-10-31,VEN,institutional-change,Punto Fijo Pact signed,,"Leaders of Venezuela's three main non-communist parties agree to respect election results and share power, founding the stable two-party democratic system that governs oil-revenue distribution for the next four decades.",,fiscal,https://en.wikipedia.org/wiki/Puntofijo_Pact,Wikipedia — Puntofijo Pact (cross-check)
1960-04-19,VEN,institutional-change,Corporación Venezolana del Petróleo (CVP) created,,"Decree establishes Venezuela's first state-owned oil company, tasked with exploration, refining and trading hydrocarbons alongside the still-dominant foreign concessionaires; CVP later merges into PDVSA's structure.",,oil;fiscal,http://www.petroguia.com/pet/noticias/petr%C3%B3leo/la-cvp-cumple-60-a%C3%B1os-la-empresa-que-precedi%C3%B3-pdvsa,PetroGuia — La CVP cumple 60 años
1971-07-26,VEN,policy-enacted,Hydrocarbons Reversion Law,,"Law mandates that all oil-company assets, plants and equipment revert to the state without compensation when concessions expire in 1983, and requires companies to deposit 10% of assets as a maintenance guarantee — a key legal stepping-stone to full nationalization.",,oil;fiscal,https://www.cambridge.org/core/journals/international-legal-materials/article/abs/venezuela-hydrocarbons-reversion-law/EDDD38E2B9111031FF2CF628FEE4D5E1,International Legal Materials — Cambridge University Press
1974-01-01,VEN,economic-event,Oil-boom windfall revenue surge,,"Quadrupled global oil prices following the 1973 Arab oil embargo flood Venezuela with fiscal revenue, fueling a decade of state spending expansion that later collapses under debt when prices fall.",,oil;fiscal,https://www.britannica.com/place/Venezuela/Economy,Encyclopaedia Britannica
1975-08-29,VEN,policy-enacted,Oil nationalization law signed,,"President Carlos Andrés Pérez signs the framework law reserving the hydrocarbons industry to the state, effective 1 January 1976; a companion law creates Petróleos de Venezuela (PDVSA) as the operating state company (see 1976 entry).",,oil;fiscal,https://www.caracaschronicles.com/2018/08/29/how-the-oil-debate-changed-venezuela-after-august-29-1975/,Caracas Chronicles
1976-01-01,VEN,policy-enacted,Oil industry nationalized,,"PDVSA created as the state oil company, nationalizing Venezuela's petroleum sector.",,oil;fiscal,https://www.britannica.com/place/Venezuela/Economy,Encyclopaedia Britannica
1983-02-18,VEN,economic-event,"""Black Friday"" devaluation",,"Collapse of the bolívar's fixed exchange rate after a decade of oil-boom overspending, ending Venezuela's era of currency stability and introducing exchange controls (RECADI).",,fx;fiscal,https://en.wikipedia.org/wiki/Viernes_Negro,Wikipedia — Viernes Negro (cross-check)
