country_id,country_iso3_code,year,export_value,import_value
4,AFG,1980,35600000,143800000
4,AFG,1981,31900000,163100000
4,AFG,1982,49000000,140400000
4,AFG,1983,49700000,150600000
4,AFG,1984,33400000,196200000
4,AFG,1985,40000000,154100000
4,AFG,1986,29300000,181300000
4,AFG,1987,35600000,156300000
4,AFG,1988,69600000,120000000
4,AFG,1989,8200000,103400000
4,AFG,1990,0,0
4,AFG,1991,0,0
4,AFG,1992,0,0
4,AFG,1993,0,0
4,AFG,1994,0,0
4,AFG,1995,0,0
4,AFG,1996,0,0
4,AFG,1997,0,0
4,AFG,1998,0,0
4,AFG,1999,0,0
4,AFG,2000,0,0
4,AFG,2001,0,0
4,AFG,2002,0,0
4,AFG,2003,0,0
4,AFG,2004,0,0
4,AFG,2005,0,0
4,AFG,2006,0,0
4,AFG,2007,0,0
4,AFG,2008,1290614791,1285939561
4,AFG,2009,1701821055,1472548913
4,AFG,2010,2130237964,2005127483
4,AFG,2011,2597475713,2392016965
4,AFG,2012,1853330146,2400184359
4,AFG,2013,877409158,1534839599
4,AFG,2014,1343599249,1772563717
4,AFG,2015,839440780,1472091583
4,AFG,2016,521795634,1226725948
4,AFG,2017,368933133,1275422775
4,AFG,2018,734229353,1451448164
4,AFG,2019,651924336,1305314230
4,AFG,2020,699571420,1150689284
4,AFG,2021,0,0
4,AFG,2022,0,0
4,AFG,2023,0,0
4,AFG,2024,0,0
8,ALB,1980,10900000,17500000
8,ALB,1981,12000000,19400000
8,ALB,1982,13200000,22100000
8,ALB,1983,13000000,22100000
8,ALB,1984,15400000,19100000
8,ALB,1985,15000000,17900000
8,ALB,1986,16000000,19700000
8,ALB,1987,22300000,20000000
8,ALB,1988,29600000,26200000
8,ALB,1989,40200000,27900000
8,ALB,1990,31500000,29100000
8,ALB,1991,9200000,33400000
8,ALB,1992,20300000,89100000
8,ALB,1993,77600000,161900000
8,ALB,1994,79100000,132500000
8,ALB,1995,98800000,156500000
8,ALB,1996,129200000,189400000
8,ALB,1997,8480000,115212500
8,ALB,1998,36460000,129250000
8,ALB,1999,297800000,163100000
8,ALB,2000,459300000,429300000
8,ALB,2001,548700000,444100000
8,ALB,2002,582000000,590210000
8,ALB,2003,746054345,802615530
8,ALB,2004,1100785352,1056702154
8,ALB,2005,1266654421,1382890404
8,ALB,2006,1645948961,1573356057
8,ALB,2007,2104555789,1924437206
8,ALB,2008,2736356949,2385170682
8,ALB,2009,2657736059,2232567281
8,ALB,2010,2584937403,2020389981
8,ALB,2011,2813850471,2325517587
8,ALB,2012,2432303929,1897234685
8,ALB,2013,2282506743,1979736340
8,ALB,2014,2492332715,2068770733
8,ALB,2015,2248731004,1666903819
8,ALB,2016,2650667814,1770873915
8,ALB,2017,3242551087,2020184284
8,ALB,2018,3621039818,2309306039
8,ALB,2019,3807653931,2393721347
8,ALB,2020,2552262107,1342861970
8,ALB,2021,4116368743,1995919701
8,ALB,2022,5016148557,2512777696
8,ALB,2023,7106962043,3487823601
8,ALB,2024,8031895336,3839728704
12,DZA,1980,476357998,2715084236
12,DZA,1981,473839393,2721622254
12,DZA,1982,528070293,2671273521
12,DZA,1983,679293351,2436936185
12,DZA,1984,598790980,2583389771
12,DZA,1985,531445165,2574088070
12,DZA,1986,549303712,2035592385
12,DZA,1987,565390940,1455541446
12,DZA,1988,470348225,1347474964
12,DZA,1989,495757519,1232559388
12,DZA,1990,497906319,1329722458
12,DZA,1991,392846268,1172475860
12,DZA,1992,0,0
12,DZA,1993,0,0
12,DZA,1994,0,0
12,DZA,1995,0,0
12,DZA,1996,0,0
12,DZA,1997,0,0
12,DZA,1998,0,0
12,DZA,1999,0,0
12,DZA,2000,0,0
12,DZA,2001,0,0
12,DZA,2002,0,0
12,DZA,2003,0,0
12,DZA,2004,0,0
12,DZA,2005,2507000000,4823000000
12,DZA,2006,2564000000,4837000000
12,DZA,2007,2839210803,6795522079
12,DZA,2008,3481857647,11088122210
12,DZA,2009,2934754182,11634437041
12,DZA,2010,3489359714,11847590715
12,DZA,2011,3607795208,12586338089
12,DZA,2012,3748971944,10873360994
12,DZA,2013,3772725254,10794635232
12,DZA,2014,3553345533,11807321608
12,DZA,2015,3456144198,11029027741
12,DZA,2016,3429915247,10879459440
12,DZA,2017,3111226276,11272716129
12,DZA,2018,3263800801,11804621909
12,DZA,2019,3238634546,9938816644
12,DZA,2020,2986921395,7439805752
12,DZA,2021,3217634296,6892092676
12,DZA,2022,3534091978,7902158964
12,DZA,2023,3870542544,8211749989
12,DZA,2024,4219598821,9134040087
16,ASM,1980,0,0
16,ASM,1981,0,0
16,ASM,1982,0,0
16,ASM,1983,0,0
16,ASM,1984,0,0
16,ASM,1985,0,0
16,ASM,1986,0,0
16,ASM,1987,0,0
16,ASM,1988,0,0
16,ASM,1989,0,0
16,ASM,1990,0,0
16,ASM,1991,0,0
16,ASM,1992,0,0
16,ASM,1993,0,0
16,ASM,1994,0,0
16,ASM,1995,0,0
16,ASM,1996,0,0
16,ASM,1997,0,0
16,ASM,1998,0,0
16,ASM,1999,0,0
16,ASM,2000,0,0
16,ASM,2001,0,0
16,ASM,2002,0,0
16,ASM,2003,0,0
16,ASM,2004,0,0
16,ASM,2005,0,0
16,ASM,2006,0,0
16,ASM,2007,0,0
16,ASM,2008,0,0
