country_id,country_iso3_code,year,export_value,import_value,eci,coi,diversity,growth_proj
4,AFG,1962,78274664,110247406,-0.801,-0.649,26,
4,AFG,1963,89837928,100896403,-0.98,-0.779,25,
4,AFG,1964,75526683,118047926,-0.948,-0.795,25,
4,AFG,1965,86201075,124720461,-0.862,-0.778,27,
4,AFG,1966,100961028,163282826,-1.081,-0.89,25,
4,AFG,1967,81319415,138438761,-1.026,-0.82,29,
4,AFG,1968,100160782,120194622,-0.666,-0.847,35,
4,AFG,1969,99884277,117675687,-0.547,-0.726,32,
4,AFG,1970,99213834,111553182,-0.52,-0.825,38,
4,AFG,1971,125839257,125227923,-0.364,-0.78,35,
4,AFG,1972,123100537,169712913,-0.627,-0.841,38,
4,AFG,1973,162344981,133562465,-0.627,-0.929,40,
4,AFG,1974,233804404,231564572,-0.562,-0.764,46,
4,AFG,1975,215886393,292051530,-0.617,-0.863,51,
4,AFG,1976,281292225,304182543,-0.463,-0.757,57,
4,AFG,1977,347468255,478411322,-0.447,-0.753,64,
4,AFG,1978,183985088,323224893,-0.161,-0.649,57,
4,AFG,1979,247585400,353340456,-0.026,-0.507,63,
4,AFG,1980,212454529,302056813,-0.282,-0.724,57,
4,AFG,1981,206548984,278645068,-0.385,-0.689,56,
4,AFG,1982,170505840,283369531,-0.438,-0.685,47,
4,AFG,1983,139093596,315334703,-0.488,-0.881,36,
4,AFG,1984,132937084,287417893,-0.543,-0.866,45,
4,AFG,1985,123639780,307450858,-0.26,-0.792,44,
4,AFG,1986,118581571,407305555,-0.814,-0.876,43,
4,AFG,1987,136228427,498692382,-0.455,-0.735,43,
4,AFG,1988,131157872,424605282,-0.45,-0.798,38,
4,AFG,1989,107631943,365321398,-0.496,-0.887,37,
4,AFG,1990,116936404,417628064,-0.532,-0.807,36,
4,AFG,1991,101781011,391467057,-0.47,-0.851,47,
4,AFG,1992,72913538,372569220,-0.208,-0.556,58,
4,AFG,1993,61103745,358068075,-0.402,-0.536,64,
4,AFG,1994,86042610,288160147,-0.392,-0.717,45,
4,AFG,1995,95857389,321377621,-0.453,-0.32,76,
4,AFG,1996,110933052,465359443,-0.501,-0.787,60,
4,AFG,1997,137591091,409803835,-0.133,-0.515,65,
4,AFG,1998,145194234,357924578,-0.469,-0.647,61,
4,AFG,1999,121702519,407105961,-0.483,-0.676,63,
4,AFG,2000,136222893,592652591,-0.407,-0.719,66,
4,AFG,2001,88098496,511575548,-0.121,-0.414,73,
4,AFG,2002,89699497,986898444,-0.225,-0.28,86,
