country_id,country_iso3_code,year,export_value,import_value,eci,coi,diversity,growth_proj
4,AFG,2022,1525000968,7488357307,-1.301,-1.022,76,4.252
4,AFG,2023,1494815869,6923026262,-1.196,-1.086,78,4.016
4,AFG,2024,1463824389,5727949050,-0.765,-1.023,69,3.36
8,ALB,2022,4486490659,7653105506,-0.214,0.022,174,1.558
8,ALB,2023,3988885673,9259744693,-0.111,0.134,191,1.807
8,ALB,2024,3703230505,9054139449,0.054,0.141,191,1.939
10,ATA,2022,11559581,33210591,0.688,-0.315,49,
10,ATA,2023,7903875,49057332,1.322,-0.154,46,
10,ATA,2024,2705887,41546626,0.955,-0.567,23,
12,DZA,2022,52811942456,35657731816,-0.901,-1.214,27,1.889
12,DZA,2023,45699778780,41482660278,-1.158,-1.235,32,1.936
12,DZA,2024,39108601722,43424702230,-1.099,-1.233,33,1.801
16,ASM,2022,16235833,244582184,0.751,0.074,83,
16,ASM,2023,20293294,202703374,0.651,-0.12,81,
16,ASM,2024,27282759,256024796,0.821,-0.233,56,
20,AND,2022,118789099,1874777205,1.116,0.625,120,
20,AND,2023,141684479,1972466908,1.051,0.689,126,0.643
20,AND,2024,96595212,1882112713,1.166,0.82,100,
24,AGO,2022,45606184876,14776775441,-1.037,-1.157,18,4.097
24,AGO,2023,39109281537,13425520185,-1.2,-1.182,16,3.26
24,AGO,2024,35089255242,12531828939,-0.745,-1.137,16,3.614
28,ATG,2022,169542816,1720191041,0.435,-0.272,65,
28,ATG,2023,112504866,1654863618,0.206,-0.273,76,1.735
28,ATG,2024,186105748,1256193620,0.39,-0.096,70,
31,AZE,2022,33511139586,13333467541,-0.729,-1.245,33,1.309
31,AZE,2023,25771299104,14967580893,-0.484,-1.221,36,2.259
31,AZE,2024,22562147795,20235749655,-0.386,-1.158,47,3.475
32,ARG,2022,84904468859,73455624647,0.019,-0.278,148,0.703
32,ARG,2023,66654565887,67883767970,0.037,-0.028,164,0.831
32,ARG,2024,77087880670,57176584928,-0.017,-0.173,158,0.406
36,AUS,2022,347332910115,273356764758,0.096,-0.373,112,1.248
36,AUS,2023,316339623933,269845931621,0.068,-0.294,120,0.982
36,AUS,2024,294433104927,259972634969,0.117,-0.006,130,1.238
40,AUT,2022,196263831457,205902369039,1.365,0.451,397,1.114
40,AUT,2023,199871685262,201076279398,1.379,0.435,387,1.124
40,AUT,2024,191537745041,187879462057,1.254,0.472,394,1.224
44,BHS,2022,2372492198,9915075673,0.297,-0.598,41,
44,BHS,2023,2875426705,9105118087,0.086,-0.801,36,0.04
44,BHS,2024,2629448781,9968159566,0.664,-0.242,56,
48,BHR,2022,17787661598,17048542671,0.577,-0.61,78,2.221
48,BHR,2023,15861058949,18536056749,0.65,-0.415,92,2.152
48,BHR,2024,12501023986,14776897262,0.25,-0.749,68,1.948
50,BGD,2022,53464861964,87863276851,-0.622,-1.03,90,3.036
50,BGD,2023,46734307633,70164504170,-0.609,-1.039,89,3.135
50,BGD,2024,47773965580,66269426704,-0.439,-1.025,85,4.164
51,ARM,2022,5551557277,8728491100,0.662,-0.04,149,3.632
51,ARM,2023,9034865031,10321503807,0.717,-0.177,144,3.408
51,ARM,2024,13058068611,14267308655,0.587,-0.296,133,3.543
52,BRB,2022,320656019,1722397068,0.506,0.336,140,
52,BRB,2023,303967320,1940079751,0.47,0.232,129,1.135
52,BRB,2024,325963528,2158700853,0.475,0.293,124,
56,BEL,2022,457913235126,463124553664,1.079,1.219,349,1.431
56,BEL,2023,392008139915,416576268888,1.09,1.115,373,1.414
56,BEL,2024,373098873049,383790422589,0.988,1.297,384,1.334
60,BMU,2022,62194302,1703125093,1.306,0.938,100,
60,BMU,2023,219600017,1411489330,0.756,-0.528,31,0.617
60,BMU,2024,189775856,3002698162,0.893,-0.382,29,
64,BTN,2022,451526773,1387794970,-0.386,-0.875,51,
64,BTN,2023,518581491,1232729739,-0.606,-0.98,41,
64,BTN,2024,442197940,1441153095,-0.325,-0.926,36,
68,BOL,2022,13081479526,8292277069,-1.363,-1.025,78,1.92
68,BOL,2023,10456082793,7903718566,-1.272,-0.93,90,1.803
68,BOL,2024,9508133221,6587479478,-1.098,-0.722,93,2.214
70,BIH,2022,9222255931,12453678563,0.606,0.671,224,2.595
70,BIH,2023,8840916970,12604011567,0.603,0.645,233,2.595
70,BIH,2024,8631232227,13673857906,0.684,0.815,240,2.513
72,BWA,2022,6772610516,7192494753,-0.317,-1.265,29,2.267
72,BWA,2023,5442440739,6471487305,-0.514,-1.247,36,2.06
72,BWA,2024,3459175067,6508392548,-0.327,-1.112,35,2.731
74,BVT,2022,921834,662221,0.612,-0.913,13,
74,BVT,2023,555752,5760969,1.076,-0.678,18,
74,BVT,2024,810986,591438,1.652,-0.469,19,
76,BRA,2022,324076311468,256179391436,0.458,0.326,180,1.757
76,BRA,2023,328837890325,237143417269,0.402,0.31,175,1.494
76,BRA,2024,329451264735,264700099131,0.359,0.173,168,1.664
84,BLZ,2022,324610276,1617033309,-0.147,-0.479,84,
84,BLZ,2023,280032500,1681508953,-0.117,-0.494,84,3.38
84,BLZ,2024,323477035,1515555740,-0.024,-0.445,78,
90,SLB,2022,458356231,551653976,-2.163,-1.125,26,
90,SLB,2023,449079712,596666737,-1.93,-1.137,31,2.1
90,SLB,2024,545909554,567074277,-2.009,-1.122,29,
92,VGB,2022,176938624,1177208357,1.028,-0.332,44,
92,VGB,2023,264102425,1063929768,0.556,-0.613,39,
92,VGB,2024,199795049,1098803245,0.35,-0.447,51,
96,BRN,2022,14003156522,6729676956,0.093,-0.933,10,
96,BRN,2023,10811924367,6381106392,0.195,-0.865,14,-0.12
96,BRN,2024,10854796792,7405175986,0.302,-0.79,18,
100,BGR,2022,47813547855,52196110983,0.785,1.397,314,1.621
100,BGR,2023,45458419442,50390274846,0.832,1.396,320,1.654
100,BGR,2024,46584303362,50912216815,0.811,1.506,331,1.707
104,MMR,2022,25494050065,27767933505,-1.03,-0.337,141,3.63
104,MMR,2023,21646934880,24022682185,-1.043,-0.159,154,3.549
104,MMR,2024,19879908917,19954118461,-0.947,-0.228,142,3.99
108,BDI,2022,155071785,814439653,-0.805,-0.963,58,
108,BDI,2023,205141812,728189194,-0.63,-0.615,68,2.502
108,BDI,2024,55085072,485687388,-1.318,-0.869,48,
112,BLR,2022,9799267936,12751461026,0.835,0.223,191,2.46
112,BLR,2023,6526512032,18115883899,0.838,0.221,184,2.425
112,BLR,2024,5426806011,16627963354,0.765,0.286,188,2.19
116,KHM,2022,28015046354,40171237323,-0.249,-0.462,133,3.499
116,KHM,2023,28797888301,30706429407,-0.068,-0.467,136,3.636
116,KHM,2024,32443211213,36667326473,0.036,-0.428,136,3.906
120,CMR,2022,6687109744,8628451912,-1.206,-1.155,57,3.009
120,CMR,2023,5735996559,8931951025,-1.129,-1.141,65,2.465
120,CMR,2024,5584450142,8373013588,-1.581,-1.19,43,2.842
124,CAN,2022,600069694691,545512415936,0.868,1.135,252,2.034
124,CAN,2023,572857916781,537639439556,0.83,1.293,268,1.973
124,CAN,2024,569528258171,552419453577,0.783,1.454,276,1.384
132,CPV,2022,102543943,1029383591,0.154,-0.735,66,
