year,metric,value,unit,source,notes
1931,book_titles_published,200,titles per year (approx),"Springer/Publishing Research Quarterly, Nashaat 2019 'Dynamic History of Iranian Book Publishing in Political and Social Settings', citing Azarang statistics","'late 1930s' stated as approx 200 titles/yr in the source; placed at 1931 as the earliest year in that description. Approximate, not exact."
1941,book_titles_published,328,titles,"Springer/Publishing Research Quarterly, Nashaat 2019, citing Azarang statistics","Year Reza Shah was overthrown (Anglo-Soviet invasion)."
1943,book_titles_published,193,titles,"Springer/Publishing Research Quarterly, Nashaat 2019, citing Azarang statistics","Decline attributed to high cost and paper scarcity 2 years after Reza Shah's fall."
1951,book_titles_published,538,titles,"Springer/Publishing Research Quarterly, Nashaat 2019, citing Azarang statistics",""
1956,book_titles_published,570,titles,"Springer/Publishing Research Quarterly, Nashaat 2019, citing Azarang statistics",""
1966,book_titles_published,2137,titles,"Springer/Publishing Research Quarterly, Nashaat 2019, citing Azarang statistics","Same year PM Amir Abbas Hoveyda established the prepublication/pre-distribution censorship system, per same source."
1971,book_titles_published,3474,titles,"Springer/Publishing Research Quarterly, Nashaat 2019, citing Azarang statistics","Peak of the Pahlavi-era rising trend per source; 1 year after the Shah's 2500-year Persian Empire celebration."
1977,book_titles_published,1689,titles,"Springer/Publishing Research Quarterly, Nashaat 2019, citing Azarang statistics","Sharp fall attributed to intensifying late-Pahlavi censorship/suppression."
2009,book_titles_published,64600,titles,"peace-mark.org (Human Rights Activists archive), Reza Najafi 'The Mystery of Book Counting in Iran', citing Iran Book House (Khaneh Ketab) institution statistics","Roughly double the number from 'the beginning to the end of the 1980s' per source."
2018,book_titles_published,102691,titles,"Web search aggregation citing Iran Book House statistics (secondary compilation, not independently verified against a primary Khaneh Ketab table)","Placed Iran among top-10 countries globally for annual book titles per this figure."
2019,book_titles_published,105000,titles,"Tehran Times (state media, labeled per project source policy), 'Over 105,000 titles published in Iran over past year' -- figure for Iranian year 1398 (20 Mar 2019 - 20 Mar 2020)","Of which 75,644 titles by Iranian authors and 29,941 translated titles per the same figure; routine official statistic reported via state media, not regime-serving editorializing, therefore usable per docs/bookkeeping.md rule 4."
1979,book_circulation_avg_copies_per_title,11363,copies,"peace-mark.org, Reza Najafi article, citing Iran Book House statistics","Iranian year 1358 SH (year after the Revolution) -- described in source as the historical HIGH point for average print-run size, one year after the revolution's victory."
1985,total_books_published,228550000,copies (total, all titles combined),"peace-mark.org, Reza Najafi article, citing Iran Book House statistics","Iranian year 1364 SH. Source figure given as '228.55 million'."
1989,total_books_published,198600000,copies (total, all titles combined),"peace-mark.org, Reza Najafi article, citing Iran Book House statistics","Iranian year 1368 SH. Source figure given as '198.6 million' -- a decline of approx 30 million copies from 1985 despite the number of TITLES roughly doubling over the same span, i.e. shorter print runs per title."
2001,book_circulation_avg_copies_per_title,5234,copies,"peace-mark.org, Reza Najafi article, citing Iran Book House statistics","Source gives only the Persian solar year as '80' (elliptical for 1380 SH); converted here as 1380 SH ~= 21 Mar 2001-20 Mar 2002, recorded at the Gregorian start-year 2001. Original Persian digits preserved in this note for traceability."
2012,book_circulation_avg_copies_per_title,2768,copies,"peace-mark.org, Reza Najafi article, citing Iran Book House statistics","Source gives the Persian solar year as '91' (elliptical for 1391 SH) and specifies 'the first 9 months of 91', i.e. roughly Mar-Dec 2012; converted here as Gregorian 2012. Source states this is a 49% decrease from the 1380 SH (2001) figure above."
2013,book_circulation_avg_copies_per_title_lowest_year,2075,copies,"peace-mark.org, Reza Najafi article, citing Iran Book House statistics","Iranian year 1392 SH (2013/14) -- described in source as the lowest average circulation year on record at time of writing (article published 2015)."
2013,average_daily_reading_time_national_survey,5,minutes per day (non-textbook reading),"Springer/Publishing Research Quarterly, Nashaat 2019, citing a 2011 national survey (~1600 urban/rural survey points)","Excludes textbooks and religious/professional reading; a widely-cited proxy for the gap between rising title counts and actual reading engagement."
