category,1962/63,1963/64,1964/65,1965/66,1966/67,1967/68,1968/69,1969/70,budget_estimate_1970/71,revised_estimate_1970/71,draft_budget_1971/72
Direct Taxes,4.7,5.9,5.4,8.3,9.2,10.7,13.7,16.7,19.9,20.8,24.6
Indirect Taxes,12.7,15.5,18.1,20.3,25.8,29.6,36.8,40.7,51.0,47.1,57.1
Revenues from Monopolies and Other Government Agencies,7.2,7.3,5.9,6.4,8.7,9.3,9.8,10.1,11.1,11.4,12.5
Receipts of Government Services,0.6,0.8,1.1,2.4,2.4,2.6,3.1,3.2,3.9,3.7,
Other Revenue,4.0,3.6,1.4,2.1,2.7,2.5,3.1,3.1,3.1,4.0,
Receipts of Government Services and Other Revenue (combined; source merges these two lines into a single bracketed figure for this column only),,,,,,,,,,,9.8
Sub-Total,29.2,33.1,31.9,40.0,48.8,54.7,66.5,73.8,89.9,87.0,104.2
Oil Revenue,23.7,27.7,36.4,39.5,47.4,54.0,61.8,70.1,85.2,86.6,137.6
Oil Bonus Receipt,,,,13.9,0.4,,,,,,
TOTAL,52.9,60.8,68.3,93.9,96.2,108.7,128.3,143.9,177.1,173.6,241.8
