Average expenses and percentage distribution	Expenditure quintile	Expenditure codes (2 digits)	Period	Total
Average expenditure per household	Total	Overall index	2023	32,616.66
Average expenditure per household	Total	Overall index	2022	31,567.71
Average expenditure per household	Total	Overall index	2021	29,243.61
Average expenditure per household	Total	Overall index	2020	26,995.76
Average expenditure per household	Total	Overall index	2019	30,242.76
Average expenditure per household	Total	Overall index	2018	29,871.28
Average expenditure per household	Total	Overall index	2017	29,188.19
Average expenditure per household	Total	Overall index	2016	28,199.88
Average expenditure per household	Total	Overall index	2015	27,473.04
Average expenditure per household	Total	Overall index	2014	27,089.83
Average expenditure per household	Total	Overall index	2013	27,150.75
Average expenditure per household	Total	Overall index	2012	28,197.00
Average expenditure per household	Total	Overall index	2011	29,187.00
Average expenditure per household	Total	Overall index	2010	29,492.15
Average expenditure per household	Total	Overall index	2009	30,245.09
Average expenditure per household	Total	Overall index	2008	31,772.62
Average expenditure per household	Total	Overall index	2007	31,701.36
Average expenditure per household	Total	Overall index	2006	30,278.78
Average expenditure per household	Total	01 Food and non-alcoholic beverages	2023	5,333.49
Average expenditure per household	Total	01 Food and non-alcoholic beverages	2022	5,050.24
Average expenditure per household	Total	01 Food and non-alcoholic beverages	2021	4,805.82
Average expenditure per household	Total	01 Food and non-alcoholic beverages	2020	4,578.87
Average expenditure per household	Total	01 Food and non-alcoholic beverages	2019	4,286.00
Average expenditure per household	Total	01 Food and non-alcoholic beverages	2018	4,223.33
Average expenditure per household	Total	01 Food and non-alcoholic beverages	2017	4,107.61
Average expenditure per household	Total	01 Food and non-alcoholic beverages	2016	4,123.28
Average expenditure per household	Total	01 Food and non-alcoholic beverages	2015	4,125.43
Average expenditure per household	Total	01 Food and non-alcoholic beverages	2014	4,028.21
Average expenditure per household	Total	01 Food and non-alcoholic beverages	2013	4,098.35
Average expenditure per household	Total	01 Food and non-alcoholic beverages	2012	4,140.68
Average expenditure per household	Total	01 Food and non-alcoholic beverages	2011	4,149.20
Average expenditure per household	Total	01 Food and non-alcoholic beverages	2010	4,192.12
Average expenditure per household	Total	01 Food and non-alcoholic beverages	2009	4,317.23
Average expenditure per household	Total	01 Food and non-alcoholic beverages	2008	4,576.92
Average expenditure per household	Total	01 Food and non-alcoholic beverages	2007	4,459.67
Average expenditure per household	Total	01 Food and non-alcoholic beverages	2006	4,308.67
Average expenditure per household	Total	02 Alcoholic beverages and tobacco	2023	473.61
Average expenditure per household	Total	02 Alcoholic beverages and tobacco	2022	480.75
Average expenditure per household	Total	02 Alcoholic beverages and tobacco	2021	495.63
Average expenditure per household	Total	02 Alcoholic beverages and tobacco	2020	510.21
Average expenditure per household	Total	02 Alcoholic beverages and tobacco	2019	516.29
Average expenditure per household	Total	02 Alcoholic beverages and tobacco	2018	518.88
Average expenditure per household	Total	02 Alcoholic beverages and tobacco	2017	536.25
Average expenditure per household	Total	02 Alcoholic beverages and tobacco	2016	536.36
Average expenditure per household	Total	02 Alcoholic beverages and tobacco	2015	522.22
Average expenditure per household	Total	02 Alcoholic beverages and tobacco	2014	509.35
Average expenditure per household	Total	02 Alcoholic beverages and tobacco	2013	533.43
