country_iso3,source_table,table_title,series,year,value
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1850,2040375.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1850,3.04
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1850,2172331.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1850,2.98
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1851,2071501.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1851,3.09
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1851,2204135.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1851,3.03
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1852,2165796.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1852,3.23
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1852,2311283.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1852,3.17
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1853,2183484.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1853,3.25
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1853,2319063.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1853,3.18
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1854,2223323.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1854,3.31
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (millones pts. 1995),1854,2345698.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB p.m. (1995=100),1854,3.22
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (millones pts. 1995),1855,2335683.0
ESP,Cuadro 17.6,"El PIB a precios constantes, 1850-2000 (millones de pesetas de 1995)",PIB c.f. (1995=100),1855,3.48
