date_gregorian,date_jalali,open,low,high,close,change_direction,change_abs,change_pct,unit,source,country_iso3
2010/04/04,1389/01/15,2680000.0,2680000.0,2680000.0,2680000.0,,,,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/04/05,1389/01/16,2680000.0,2680000.0,2680000.0,2680000.0,,,,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/04/06,1389/01/17,2680000.0,2680000.0,2680000.0,2680000.0,low,30000.0,1.12,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/04/07,1389/01/18,2710000.0,2710000.0,2710000.0,2710000.0,low,6000.0,0.22,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/04/09,1389/01/20,2740000.0,2690000.0,2792000.0,2726000.0,low,24000.0,0.88,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/04/11,1389/01/22,2750000.0,2750000.0,2750000.0,2750000.0,low,10000.0,0.36,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/04/12,1389/01/23,2760000.0,2760000.0,2760000.0,2760000.0,high,10000.0,0.36,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/04/13,1389/01/24,2750000.0,2750000.0,2750000.0,2750000.0,high,5000.0,0.18,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/04/14,1389/01/25,2745000.0,2745000.0,2745000.0,2745000.0,high,300.0,0.01,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/04/17,1389/01/28,2720000.0,2720000.0,2720000.0,2720000.0,high,5000.0,0.18,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/04/18,1389/01/29,2715000.0,2715000.0,2715000.0,2715000.0,high,5000.0,0.18,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/04/19,1389/01/30,2710000.0,2710000.0,2710000.0,2710000.0,,,,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/04/20,1389/01/31,2710000.0,2710000.0,2710000.0,2710000.0,low,20000.0,0.74,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/04/21,1389/02/01,2730000.0,2730000.0,2730000.0,2730000.0,low,7000.0,0.26,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/04/24,1389/02/04,2770000.0,2770000.0,2770000.0,2770000.0,high,7000.0,0.25,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/04/26,1389/02/06,2750000.0,2750000.0,2750000.0,2750000.0,low,100000.0,3.64,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/04/27,1389/02/07,2850000.0,2850000.0,2850000.0,2850000.0,high,70000.0,2.52,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/04/28,1389/02/08,2780000.0,2780000.0,2780000.0,2780000.0,,,,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/05/01,1389/02/11,2830000.0,2830000.0,2830000.0,2830000.0,,,,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/05/02,1389/02/12,2830000.0,2830000.0,2830000.0,2830000.0,high,10000.0,0.35,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/05/03,1389/02/13,2820000.0,2820000.0,2820000.0,2820000.0,low,5000.0,0.18,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/05/04,1389/02/14,2825000.0,2825000.0,2825000.0,2825000.0,low,45000.0,1.59,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/05/05,1389/02/15,2870000.0,2870000.0,2870000.0,2870000.0,high,11000.0,0.38,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/05/08,1389/02/18,2900000.0,2900000.0,2900000.0,2900000.0,high,10000.0,0.35,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/05/09,1389/02/19,2890000.0,2890000.0,2890000.0,2890000.0,high,20000.0,0.7,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/05/10,1389/02/20,2870000.0,2870000.0,2870000.0,2870000.0,low,10000.0,0.35,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/05/11,1389/02/21,2880000.0,2880000.0,2880000.0,2880000.0,low,70000.0,2.43,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/05/12,1389/02/22,2950000.0,2950000.0,2950000.0,2950000.0,,,,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/05/14,1389/02/24,2949000.0,2907000.0,2983000.0,2944000.0,high,8000.0,0.27,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/05/15,1389/02/25,2934000.0,2913000.0,2995000.0,2936000.0,high,16000.0,0.55,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/05/18,1389/02/28,2920000.0,2920000.0,2920000.0,2920000.0,,,,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/05/19,1389/02/29,2920000.0,2920000.0,2920000.0,2920000.0,high,11000.0,0.38,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/05/22,1389/03/01,2880000.0,2880000.0,2880000.0,2880000.0,,,,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/05/23,1389/03/02,2880000.0,2880000.0,2880000.0,2880000.0,low,20000.0,0.69,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/05/24,1389/03/03,2900000.0,2900000.0,2900000.0,2900000.0,low,10000.0,0.34,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/05/25,1389/03/04,2910000.0,2910000.0,2910000.0,2910000.0,low,40000.0,1.37,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/05/26,1389/03/05,2950000.0,2950000.0,2950000.0,2950000.0,,,,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/05/29,1389/03/08,2970000.0,2970000.0,2970000.0,2970000.0,,,,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/05/30,1389/03/09,2970000.0,2970000.0,2970000.0,2970000.0,low,10000.0,0.34,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/05/31,1389/03/10,2980000.0,2980000.0,2980000.0,2980000.0,low,20000.0,0.67,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/06/01,1389/03/11,3000000.0,3000000.0,3000000.0,3000000.0,low,40000.0,1.33,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/06/02,1389/03/12,3040000.0,3040000.0,3040000.0,3040000.0,high,16000.0,0.53,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/06/06,1389/03/16,3015000.0,3015000.0,3015000.0,3015000.0,low,5000.0,0.17,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/06/07,1389/03/17,3020000.0,3020000.0,3020000.0,3020000.0,low,50000.0,1.66,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/06/08,1389/03/18,3070000.0,3070000.0,3070000.0,3070000.0,low,30000.0,0.98,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
2010/06/09,1389/03/19,3100000.0,3100000.0,3100000.0,3100000.0,,,,IRR_per_coin,"TGJU.org (Emami coin, sekee), tgju.org/profile/sekee",IRN
