date_gregorian,date_jalali,open,low,high,close,change_direction,change_abs,change_pct,unit,source,country_iso3
2013/07/22,1392/04/31,10000000.0,10000000.0,10000000.0,10000000.0,low,150000.0,1.5,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/07/23,1392/05/01,10150000.0,10150000.0,10150000.0,10150000.0,high,100000.0,1.0,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/07/24,1392/05/02,10050000.0,10050000.0,10050000.0,10050000.0,low,42000.0,0.42,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/07/27,1392/05/05,10350000.0,10350000.0,10350000.0,10350000.0,,,,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/07/28,1392/05/06,10350000.0,10350000.0,10350000.0,10350000.0,high,27000.0,0.26,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/07/31,1392/05/09,10300000.0,10300000.0,10300000.0,10300000.0,low,130000.0,1.26,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/08/03,1392/05/12,10450000.0,10450000.0,10450000.0,10450000.0,high,150000.0,1.46,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/08/04,1392/05/13,10300000.0,10300000.0,10300000.0,10300000.0,,,,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/08/05,1392/05/14,10300000.0,10300000.0,10300000.0,10300000.0,low,50000.0,0.49,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/08/06,1392/05/15,10350000.0,10350000.0,10350000.0,10350000.0,low,50000.0,0.48,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/08/07,1392/05/16,10400000.0,10400000.0,10400000.0,10400000.0,low,30000.0,0.29,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/08/11,1392/05/20,10450000.0,10450000.0,10450000.0,10450000.0,high,100000.0,0.97,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/08/12,1392/05/21,10350000.0,10350000.0,10350000.0,10350000.0,high,50000.0,0.49,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/08/13,1392/05/22,10300000.0,10300000.0,10300000.0,10300000.0,low,50000.0,0.49,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/08/14,1392/05/23,10350000.0,10350000.0,10350000.0,10350000.0,,,,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/08/17,1392/05/26,10450000.0,10450000.0,10450000.0,10450000.0,high,100000.0,0.97,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/08/18,1392/05/27,10350000.0,10350000.0,10350000.0,10350000.0,high,150000.0,1.47,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/08/19,1392/05/28,10550000.0,10200000.0,10550000.0,10200000.0,high,50000.0,0.49,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/08/20,1392/05/29,10250000.0,10120000.0,10250000.0,10150000.0,low,150000.0,1.48,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/08/21,1392/05/30,10270000.0,10270000.0,10350000.0,10300000.0,low,30000.0,0.29,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/08/24,1392/06/02,10350000.0,10300000.0,10350000.0,10350000.0,,,,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/08/25,1392/06/03,10350000.0,10330000.0,10350000.0,10350000.0,low,250000.0,2.42,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/08/26,1392/06/04,10350000.0,10350000.0,10600000.0,10600000.0,low,500000.0,4.72,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/08/27,1392/06/05,11000000.0,10950000.0,11190000.0,11100000.0,high,200000.0,1.83,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/08/28,1392/06/06,10750000.0,10750000.0,10900000.0,10900000.0,,,,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/08/31,1392/06/09,10800000.0,10800000.0,10850000.0,10850000.0,,,,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/09/01,1392/06/10,10850000.0,10850000.0,10850000.0,10850000.0,low,350000.0,3.23,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/09/03,1392/06/12,11100000.0,11100000.0,11200000.0,11200000.0,,,,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/09/04,1392/06/13,11150000.0,11150000.0,11200000.0,11200000.0,,,,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/09/05,1392/06/14,11200000.0,11200000.0,11200000.0,11200000.0,high,200000.0,1.82,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/09/07,1392/06/16,10950000.0,10950000.0,11000000.0,11000000.0,high,50000.0,0.46,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/09/08,1392/06/17,11000000.0,10950000.0,11050000.0,10950000.0,high,400000.0,3.79,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
2013/09/09,1392/06/18,10950000.0,10550000.0,10950000.0,10550000.0,high,100000.0,0.96,IRR_per_coin,"TGJU.org (Bahar Azadi coin, sekeb), tgju.org/profile/sekeb",IRN
