group,line_item,1958/59,unit
Direct taxes,Income tax,3410.0,million rials
Direct taxes,Other,315.5,million rials
Direct taxes,Subtotal,3725.5,million rials
Indirect taxes,Customs,7434.8,million rials
Indirect taxes,Petroleum tax,1376.2,million rials
Indirect taxes,Revenue of tobacco monopoly,3364.8,million rials
Indirect taxes,Other,756.5,million rials
Indirect taxes,Subtotal,12932.3,million rials
Others,Post and Telegraph,514.2,million rials
Others,Exchange differential,473.1,million rials
Others,Profits from sale of industrial alcohol,501.4,million rials
Others,Profits from sale of sugar,600.0,million rials
Others,Profits from sale of opium,113.1,million rials
Others,Profits of Govt. banks & companies,94.2,million rials
Others,Other,485.2,million rials
Others,Subtotal,2781.2,million rials
Tax and other revenue,Subtotal (Direct + Indirect + Others),19439.0,million rials
Non-tax transfers,Government share of oil revenues,6781.8,million rials
Non-tax transfers,Transfer from NIOC,1000.0,million rials
Non-tax transfers,Transfer from Plan Organization,1000.0,million rials
Grand total,Total actual budget revenues 1958/59,28220.8,million rials
