date,country,event_type,title,title_fa,description,description_fa,economic_domains,source_url,source_name
1907-11,IRN,institutional-change,First Majlis approves Persia's first national budget,نخستین بودجه ملی ایران در مجلس اول,"Following the 1906 Constitutional Revolution, the first Majlis passes Persia's first modern national budget and blocks a proposed GBP 400,000 Anglo-Russian loan pending legislative approval, establishing parliamentary control over public finance and proposing new consumption taxes (sugar, tea) to fund domestic infrastructure.",پس از انقلاب مشروطه ۱۹۰۶، مجلس اول نخستین بودجه ملی نوین ایران را تصویب کرد و وام پیشنهادی ۴۰۰ هزار پوندی مشترک انگلیس و روسیه را تا تأیید قانونی متوقف ساخت؛ این اقدام کنترل پارلمانی بر مالیه عمومی را برقرار کرد و مالیات‌های جدیدی بر مصرف قند و چای برای تأمین مالی زیرساخت‌های داخلی پیشنهاد داد.,fiscal;institutional,https://www.britannica.com/topic/Constitutional-Revolution,Encyclopaedia Britannica — Constitutional Revolution
1911-05/1911-12,IRN,institutional-change,Morgan Shuster's American financial mission and expulsion,مأموریت مالی آمریکایی مورگان شوستر و اخراج او,"At the Majlis's invitation, American financier William Morgan Shuster arrives in May 1911 as Treasurer-General to reorganize Persia's tax collection and treasury; Russian military pressure forces his expulsion that December despite the Majlis's objections, ending an early attempt at independent, foreign-assisted fiscal reform.",به دعوت مجلس، مالی‌دان آمریکایی ویلیام مورگان شوستر در مه ۱۹۱۱ به عنوان خزانه‌دار کل برای سامان‌دهی نظام مالیات‌گیری و خزانه‌داری ایران وارد کشور شد؛ فشار نظامی روسیه در دسامبر همان سال، علی‌رغم مخالفت مجلس، به اخراج او انجامید و به تلاشی زودهنگام برای اصلاحات مالی مستقل با کمک خارجی پایان داد.,fiscal;institutional,https://www.britannica.com/biography/William-Morgan-Shuster,Encyclopaedia Britannica
1919-08-09,IRN,policy-proposed,Anglo-Persian Agreement signed,امضای قرارداد ۱۹۱۹ ایران و انگلیس,"British Foreign Secretary Curzon's agreement would have given Britain control over Persia's military organization, customs tariffs, and finances in exchange for a GBP 2m loan at 7% interest; it proves so unpopular domestically and internationally that the Majlis never ratifies it, and it is formally denounced in 1921.",قراردادی که وزیر خارجه بریتانیا، لرد کرزن، پیشنهاد داد، در ازای وامی دو میلیون پوندی با بهره ۷ درصد، کنترل بریتانیا بر سازمان نظامی، تعرفه‌های گمرکی و مالیه ایران را به دنبال می‌داشت؛ این قرارداد چنان در داخل و خارج نامحبوب بود که مجلس هرگز آن را تصویب نکرد و سرانجام در ۱۹۲۱ رسماً لغو شد.,fiscal;institutional,https://www.iranicaonline.org/articles/anglo-persian-agreement-1919/,Encyclopaedia Iranica
1921-02-21,IRN,political-event,1921 Persian coup centralizes state authority,کودتای ۱۲۹۹ و تمرکز قدرت دولتی,"Reza Khan and journalist Seyyed Zia'eddin Tabatabaei march Cossack troops into Tehran and install a new government, beginning the consolidation of central military and fiscal authority away from Qajar provincial power-brokers that culminates in Reza Khan's 1925 coronation as Shah.",رضاخان به همراه روزنامه‌نگار سید ضیاءالدین طباطبایی نیروهای قزاق را وارد تهران کرد و دولتی تازه بر سر کار آورد؛ این رویداد آغاز تمرکز قدرت نظامی و مالی مرکزی به دور از قدرت‌های محلی دوران قاجار بود که سرانجام به تاج‌گذاری رضاخان به عنوان شاه در ۱۹۲۵ انجامید.,institutional;fiscal,https://www.iranicaonline.org/articles/coup-detat-of-1299-1921/,Encyclopaedia Iranica
1983-08,IRN,policy-enacted,Usury-free Islamic banking law enacted,تصویب قانون بانکداری بدون ربا,"Parliament passes the Law for Usury (Interest)-Free Banking, taking effect 20 March 1984, restructuring the entire banking system around profit-and-loss-sharing contracts (mosharekat, mozarebeh) rather than fixed interest, with Bank Markazi thereafter setting minimum/maximum expected profit-share rates in place of interest rates.",مجلس قانون عملیات بانکی بدون ربا (بهره) را تصویب کرد که از ۲۹ اسفند ۱۳۶۲ (۲۰ مارس ۱۹۸۴) اجرایی شد و کل نظام بانکی را بر پایه قراردادهای مشارکت در سود و زیان مانند مشارکت و مضاربه، به‌جای بهره ثابت، بازسازی کرد؛ از آن پس بانک مرکزی به‌جای نرخ بهره، حداقل و حداکثر نرخ سود مورد انتظار را تعیین می‌کند.,banking;fiscal,https://irandataportal.syr.edu/law-for-usury-interest-free-banking,Iran Data Portal (Syracuse University)
1993,IRN,economic-event,External debt crisis forces payment moratorium,بحران بدهی خارجی و توقف پرداخت‌ها,"After the postwar reconstruction boom's heavy short-term borrowing (foreign debt reaching roughly $28bn) collides with weaker oil prices, the Central Bank effectively halts most external debt-service payments and new borrowing dries up; imports are cut nearly in half in 1994 and external debt peaks at 36.2% of GDP in March 1994, ending the postwar boom.",پس از آن‌که استقراض کوتاه‌مدت سنگین دوران رونق بازسازی پس از جنگ (بدهی خارجی که به نزدیک ۲۸ میلیارد دلار رسید) با افت قیمت نفت همراه شد، بانک مرکزی عملاً بیشتر بازپرداخت‌های بدهی خارجی را متوقف کرد و استقراض جدید متوقف شد؛ واردات در سال ۱۹۹۴ تقریباً نصف شد و بدهی خارجی در مارس ۱۹۹۴ به اوج ۳۶.۲ درصد تولید ناخالص داخلی رسید و به رونق پس از جنگ پایان داد.,fiscal;fx;trade,https://iranhumanrights.org/2013/04/the-rafsanjani-period-1989-1997/,Center for Human Rights in Iran — 'The Rafsanjani Period (1989-1997)'
2007-01,IRN,policy-enacted,Mehr Housing Scheme launched,آغاز طرح مسکن مهر,"President Ahmadinejad launches the Maskan-e Mehr affordable-housing program, aiming to build millions of subsidized units on state land for low-income families; the Central Bank is directed to print money to fund the scheme, expanding the monetary base and contributing to a roughly nine-fold rise in housing prices and double-digit inflation through the following years.",محمود احمدی‌نژاد، رئیس‌جمهور وقت، طرح مسکن مهر را برای ساخت میلیون‌ها واحد مسکونی یارانه‌ای بر زمین‌های دولتی برای خانوارهای کم‌درآمد آغاز کرد؛ بانک مرکزی مأمور چاپ پول برای تأمین مالی این طرح شد که پایه پولی را افزایش داد و در سال‌های بعد به افزایش نزدیک به نه‌برابری قیمت مسکن و تورم دو رقمی دامن زد.,fiscal;inflation,https://en-humanities.tau.ac.il/iranian/publications/irans_pulse/2007-10,"Alliance Center for Iranian Studies, Tel Aviv University"
2016-12-11,IRN,economic-event,Boeing signs $16.6bn Iran Air jet deal,امضای قرارداد ۱۶.۶ میلیارد دلاری بوئینگ با ایران‌ایر,"Boeing and Iran Air agree to a deal for 80 aircraft (737 MAX, 777-300ER, 777-9) worth $16.6bn at list prices under a US government export license, following a parallel 100-aircraft Airbus order earlier in 2016; the deals collapse after the US withdraws from the JCPOA in 2018, with no Boeing jets ever delivered.",بوئینگ و ایران‌ایر توافقی برای خرید ۸۰ فروند هواپیما (۷۳۷ مکس، ۷۷۷-۳۰۰ ای‌آر و ۷۷۷-۹) به ارزش ۱۶.۶ میلیارد دلار بر اساس مجوز صادراتی دولت آمریکا امضا کردند، در پی سفارش موازی ۱۰۰ فروندی ایرباس در همان سال؛ این قراردادها پس از خروج آمریکا از برجام در ۲۰۱۸ لغو شدند و هیچ هواپیمای بوئینگی هرگز تحویل داده نشد.,trade;fx,https://www.npr.org/sections/thetwo-way/2016/12/11/505172167/boeing-and-iran-air-sign-jetliner-contract-worth-16-6-billion,NPR
2017-10,IRN,economic-event,"Unlicensed credit institutions collapse, sparking depositor protests",ورشکستگی مؤسسات اعتباری غیرمجاز و اعتراضات سپرده‌گذاران,"A wave of unregulated and quasi-regulated credit institutions (including Caspian and, months later, Ayandeh Bank) default on depositors after years of unsustainable interest promises and bad loans; recurring protests break out across dozens of cities through 2018-19, and the government later earmarks roughly $800m to address the fallout -- an early tremor of the banking-sector fragility that fed the December 2017 nationwide protests.",موجی از مؤسسات اعتباری غیرمجاز یا نیمه‌مجاز (از جمله کاسپین و ماه‌ها بعد بانک آینده) پس از سال‌ها وعده سودهای غیرقابل‌تداوم و وام‌های معوق، در پرداخت به سپرده‌گذاران درماندند؛ اعتراضات پیاپی در ده‌ها شهر طی ۱۳۹۶ تا ۱۳۹۸ رخ داد و دولت بعدها نزدیک به ۸۰۰ میلیون دلار برای مدیریت پیامدهای آن اختصاص داد، رویدادی که از پیش‌لرزه‌های شکنندگی نظام بانکی و از عوامل زمینه‌ساز اعتراضات سراسری دی‌ماه ۱۳۹۶ بود.,banking;fiscal,https://en.radiofarda.com/a/iran-budgets-huge-sum-to-deal-with-illegal-banks/29697188.html,Radio Farda (RFE/RL Persian Service)
2020-08-09,IRN,economic-event,Tehran Stock Exchange bubble peaks then bursts,اوج‌گیری و ترکیدن حباب بورس تهران,"Encouraged by the government to invest amid rial depreciation and sanctions, retail investors pour over $900m into the Tehran Stock Exchange; the main index peaks above 2 million points on 9 August 2020 before crashing roughly 40% over the following months, wiping out many small investors' savings and triggering public anger at perceived market manipulation.",سرمایه‌گذاران خرد که دولت آنان را برای مقابله با کاهش ارزش ریال و تحریم‌ها به سرمایه‌گذاری در بورس تشویق کرده بود، بیش از ۹۰۰ میلیون دلار وارد بورس تهران کردند؛ شاخص اصلی در ۹ اوت ۲۰۲۰ از مرز دو میلیون واحد گذشت و سپس طی ماه‌های بعد نزدیک به ۴۰ درصد سقوط کرد، پس‌اندازهای بسیاری از سرمایه‌گذاران خرد را از بین برد و خشم عمومی نسبت به دستکاری ادعایی بازار را برانگیخت.,fiscal;fx,https://en.radiofarda.com/a/iran-s-stock-market-begins-to-fall-after-an-astronomical-rise-in-four-months/30787776.html,Radio Farda (RFE/RL Persian Service)
