year,metric,value,unit,source,notes
1962,foreign_tourist_arrivals,80000,persons,"WebSearch synthesis of multiple secondary sources on 'Iran's golden age of tourism' historiography (Journal of Tourism History academic literature, cross-cited in general secondary sources)","Given as 'fewer than 80,000' -- recorded as the upper bound of that qualifier. PRE-DATES the World Bank WDI tourism series already in data/processed/macro_wdi.csv (ST.INT.ARVL), which only starts in 1995 -- this is a genuine Pahlavi-era anchor point WDI cannot provide"
1968,unesco_undp_tourism_development_aid_package,4000000,US_dollars,"Ajam Media Collective, 'Destination Persia: The Development of Iran's Tourism Strategy in the 1960s' (academic-adjacent history blog, citing archival/academic sources including Luke & Leeson's research)","~$35 million in 2023-inflation-adjusted terms per the same source. Landmark agreement between the Iranian government, UNESCO, and UNDP to develop tourism infrastructure, part of the Plan Organisation's push to market Iran internationally"
1971,esfahan_hotel_count,27,count,"Ajam Media Collective, 'Destination Persia'","Breakdown given: 1 deluxe, 2 three-star, 8 two-star hotels, remainder lower-rated -- from a contemporary tourist guide to Esfahan, illustrating the mid-sized provincial-capital hotel infrastructure of the tourism-boom years"
1977,foreign_tourist_arrivals,700000,persons,"WebSearch synthesis of multiple secondary sources on Pahlavi-era tourism historiography","Given as 'nearly 700,000' -- the Pahlavi-era PEAK, representing roughly 8.75x growth over the 1962 baseline in 15 years. This 1962-1977 pair is the single clearest quantitative anchor for the 'golden age of tourism' phenomenon located in this pass"
2003,hotel_count,640,count,"Wikipedia: Tourism in Iran, citing early-2000s Iranian tourism-sector data","Late 2003 figure"
2003,hotel_bed_count,63000,count,"Wikipedia: Tourism in Iran","Paired with hotel count above"
2004,foreign_tourist_arrivals,1659000,persons,"Wikipedia: Tourism in Iran","CROSS-CHECKED against data/processed/macro_wdi.csv indicator ST.INT.ARVL for IRN, year 2004: both give exactly 1,659,000 -- confirms this Wikipedia figure traces to the same underlying WDI/UNWTO data, recorded here mainly for the paired receipts figure below which WDI's raw extract also has (ST.INT.RCPT.CD) but is included for reader convenience alongside the Pahlavi-era rows"
2004,tourism_receipts,917000000,US_dollars,"Wikipedia: Tourism in Iran","Note: WDI's own ST.INT.RCPT.CD for Iran 2004 is not identical to this figure in the raw WDI extract -- both are retained as independently sourced without forcing reconciliation, per no-fabrication policy"
2013,foreign_tourist_arrivals,4760000,persons,"Wikipedia: Tourism in Iran","Alternative/rounded figure to WDI's 4,769,000 for the same year -- consistent, minor rounding difference only"
2013,tourism_revenue,2000000000,US_dollars,"Wikipedia: Tourism in Iran","'more than US$2 billion'"
2023,tourism_share_of_gdp,3,percent,"Wikipedia: Tourism in Iran","Post-WDI-coverage-window anchor (WDI's own ST.INT.ARVL series in this database currently runs through 2020) -- fills part of the 2021-2025 gap"
2024,foreign_tourist_arrivals,7000000,persons,"Wikipedia: Tourism in Iran, 'over 7 million tourists visited the country in 2024'","Most recent available figure, well past WDI's 2020 cutoff in this database's current extract -- a genuinely useful post-pandemic-recovery anchor point"
