country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,computed,notes
IRN,Iran,1960,1930,million rials,carpet_export_value,Carpet export value,iran-carpet-exports,false,"Iranian FY 1339-40 Sh./1960-61. Second only to oil in export value that year. [source: Encyclopaedia Iranica, CARPETS xii. Pahlavi Period]"
IRN,Iran,1960,25.4785,current US$ (computed),carpet_export_value.USD_NOMINAL,"Carpet export value (computed, nominal US$)",iran-carpet-exports,true,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491)"
IRN,Iran,1960,116.7625,constant 2015 US$ (computed),carpet_export_value.USD_REAL_2015,"Carpet export value (computed, real 2015 US$)",iran-carpet-exports,true,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491)"
IRN,Iran,1961,2192,million rials,carpet_export_value,Carpet export value,iran-carpet-exports,false,"Iranian FY 1340-41 Sh./1961-62. Surpassed by cotton exports that year. [source: Encyclopaedia Iranica, CARPETS xii. Pahlavi Period]"
IRN,Iran,1961,28.9373,current US$ (computed),carpet_export_value.USD_NOMINAL,"Carpet export value (computed, nominal US$)",iran-carpet-exports,true,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1961=75.75000007575, rebased CPI_1961=0.0507)"
IRN,Iran,1961,128.4281,constant 2015 US$ (computed),carpet_export_value.USD_REAL_2015,"Carpet export value (computed, real 2015 US$)",iran-carpet-exports,true,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1961=75.75000007575, rebased CPI_1961=0.0507)"
IRN,Iran,1971,73,million USD,carpet_export_value,Carpet export value,iran-carpet-exports,,"Iranian FY 1350-51 Sh./1971-72. Described as a low point due to declining quality standards. [source: Encyclopaedia Iranica, CARPETS xii. Pahlavi Period (citing Iran Almanac 1973, p.247)]"
IRN,Iran,1978,84,million USD,carpet_export_value,Carpet export value,iran-carpet-exports,,"Iranian FY 1357-58 Sh./1978-79. Reflects uncertainty around the Revolution. [source: Encyclopaedia Iranica, CARPETS xii. Pahlavi Period]"
IRN,Iran,1980,425,million USD,carpet_export_value,Carpet export value,iran-carpet-exports,,"Iranian FY 1359 Sh./1980-81. Article also gives a rial figure of '30.2 million rials' alongside this USD figure, which is almost certainly a typesetting/unit error in the original print article (should likely read billion, not million, rials, given ~30bn/$425m implies ~71 rials/USD, a plausible 1980 official rate) -- transcribed as printed, not corrected. [source: Encyclopaedia Iranica, CARPETS xii. Pahlavi Period]"
IRN,Iran,1982,5.6,million rials (AS PRINTED - see notes),carpet_export_value,Carpet export value,iran-carpet-exports,false,"Iranian FY 1361 Sh./1982-83. Value printed as '5.6 million rials' in the source article. Given the scale of the 1980-81 and 1986-87 figures, this is almost certainly a print/OCR error for 'billion' rials, but is transcribed exactly as printed without correction (see project rule: never fabricate/correct source data). [source: Encyclopaedia Iranica, CARPETS xii. Pahlavi Period]"
IRN,Iran,1982,0.0124,current US$ (computed),carpet_export_value.USD_NOMINAL,"Carpet export value (computed, nominal US$)",iran-carpet-exports,true,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1982=452.0833333333333, rebased CPI_1982=0.2846)"
IRN,Iran,1982,0.0584,constant 2015 US$ (computed),carpet_export_value.USD_REAL_2015,"Carpet export value (computed, real 2015 US$)",iran-carpet-exports,true,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1982=452.0833333333333, rebased CPI_1982=0.2846)"
IRN,Iran,1983,7.14,million rials (AS PRINTED - see notes),carpet_export_value,Carpet export value,iran-carpet-exports,false,"Iranian FY 1362 Sh./1983-84. Same likely million/billion print ambiguity as the 1982-83 figure; transcribed exactly as printed. [source: Encyclopaedia Iranica, CARPETS xii. Pahlavi Period]"
IRN,Iran,1983,0.0195,current US$ (computed),carpet_export_value.USD_NOMINAL,"Carpet export value (computed, nominal US$)",iran-carpet-exports,true,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1983=366.0833333333333, rebased CPI_1983=0.3408)"
IRN,Iran,1983,0.0622,constant 2015 US$ (computed),carpet_export_value.USD_REAL_2015,"Carpet export value (computed, real 2015 US$)",iran-carpet-exports,true,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1983=366.0833333333333, rebased CPI_1983=0.3408)"
