دوره,بشکه نفت خام سبد اوپک - دلار,سکه تمام بهار آزادی - هزارریال - طرح جدید,سکه تمام بهار آزادی - هزارریال - طرح قدیم,سکه نیم بهار آزادی - هزارریال ,سکه ربع بهار آزادی - هزارریال 
۱۳۹۹,42.3,107447,102674,56446,35214
۱۴۰۰,77.7,115846,113054,62360,37423
۱۴۰۱,0,0,0,0,0
 بهار ۱۴۰۰ ,66.1,104427,102283,59357,38170
 تابستان ۱۴۰۰ ,72.3,113564,109670,58756,36726
 پاییز ۱۴۰۰ ,79,122811,119854,63402,36878
 زمستان ۱۴۰۰ ,93.2,122583,120412,67926,37920
بهار ۱۴۰۱,112.6,139777,134952,78042,47550
تابستان ۱۴۰۱,104.1,145344,138267,80745,50803
پاییز ۱۴۰۱,88.7,162531,154257,90763,60837
زمستان ۱۴۰۱,81.3,0,0,0,0
بهار ۱۴۰۲,78.1,0,0,0,0
