استان,سالانه - درصد,بهار - درصد,تابستان - درصد,پاییز - درصد,زمستان - درصد
کل کشور,10.7,10.9,10.5,10.6,10.6
آذربایجان شرقی,10,10.3,9.1,11.2,9.5
آذربایجان غربی,11.2,10.7,8.7,11.1,14.5
اردبیل,10.1,9.2,9,10.6,11.5
اصفهان,10.7,10.8,10.4,11,10.3
البرز ,12.8,14.1,13,13,11.1
ایلام,8.3,9.4,8.7,8.1,7
بوشهر,9.9,9.4,10.4,9.4,10.3
تهران,9.8,10.2,10.8,9.4,8.8
چهار محال و بختیاری,15.4,16.9,13.9,16.1,14.5
خراسان جنوبی,6.9,8.7,7.6,5.4,6
خراسان رضوی ,8.3,9.4,9,6.3,8.9
خراسان شمالی,9.2,8,8.8,8.8,11.2
خوزستان,14.5,16.3,14.6,14.5,12.4
زنجان,8,8.4,5.2,9.4,9.3
سمنان,8,8.3,8,7.6,8.3
سیستان و بلوچستان ,13.1,13.8,15.2,12.1,11.3
فارس,8,7.1,7.6,9.4,7.7
قزوین,9.9,10.8,8.2,10.2,10.6
قم,10.1,10.3,10.4,10,9.7
کردستان,14.4,12.7,12.2,12.9,20
کرمان,11.3,12.2,10.8,11.4,10.6
کرمانشاه,15.8,14.8,14.2,16.3,17.9
کهگیلویه و بویر احمد,10.8,11.7,9.9,11.7,10.1
گلستان,10.9,11.1,11.1,9.6,12
گیلان,10.3,8.3,9.6,11.8,11.9
لرستان,15.4,16.3,14.7,13.8,16.8
مازندران,9.4,9.5,8.9,9.8,9.3
مرکزی,8.2,8.4,8.3,9.1,6.9
هرمزگان,13.9,16.2,14.2,13.5,11.9
همدان,7.3,6.2,5.3,8.6,9.3
یزد,13.2,12.7,15.1,13.4,11.6
