سال,تعداد شركت‌های مشمول,تعداد سهام معامله شده - هزار سهم,مبلغ سهام معامله شده - ميليون ريال
۱۳۶۸,54,3984,11140
۱۳۶۹,72,13314,64687
۱۳۷۰,108,62594,478326
۱۳۷۱,107,49756,352078
۱۳۷۲,137,97327,515689
۱۳۷۳,151,149237,793399
۱۳۷۴,198,432138,1880564
١٣٧٥,246,901768,4381597
۱۳۷۶,263,556158,2017595
۱۳۷۷,281,1202740,3116654
۱۳۷۸,295,1181864,5243645
۱۳۷۹,307,1681492,9176702
١٣٨٠,318,1705559,7830933
۱۳۸۱,333,4145347,22776100
۱۳۸۲,383,7878799,66869842
۱۳۸۳,422,14270923,104202278
۱۳۸۴,414,14502910,56528773
١٣٨٥,416,14784391,55644206
١٣٩٠,343,73188831,226447349
١٣٩١,322,80156154,257072476
١٣٩٢,317,189688843,964198174
١٣٩٣,314,165184447,542522060
١٣٩٤,320,204698690,426849866
