ردیف,ماه,سال,نام گمرک,نام کشور,شماره تعرفه,توضیحات تعرفه,وزن - کیلو گرم,ارزش - ریال,ارزش - دلار
1,11,1401,تهران,امارات متحده عربی,4021010,شیرخشک ا طفال در بسته بندی های تحت خلا و یک کیلوگرم و کمترکه میزا ن مواد چرب ا ن یک و نیم% و یا کمتر باشد,40833,156115172182,547773
2,5,1401,تهران,امارات متحده عربی,4021010,شیرخشک ا طفال در بسته بندی های تحت خلا و یک کیلوگرم و کمترکه میزا ن مواد چرب ا ن یک و نیم% و یا کمتر باشد,41776,141820735203,540148
3,6,1401,تهران,امارات متحده عربی,4021010,شیرخشک ا طفال در بسته بندی های تحت خلا و یک کیلوگرم و کمترکه میزا ن مواد چرب ا ن یک و نیم% و یا کمتر باشد,7411,17781721010,66941
4,4,1401,تهران,امارات متحده عربی,4021010,شیرخشک ا طفال در بسته بندی های تحت خلا و یک کیلوگرم و کمترکه میزا ن مواد چرب ا ن یک و نیم% و یا کمتر باشد,9251,5396599321,128490
5,2,1401,تهران,امارات متحده عربی,4021010,شیرخشک ا طفال در بسته بندی های تحت خلا و یک کیلوگرم و کمترکه میزا ن مواد چرب ا ن یک و نیم% و یا کمتر باشد,1130,3633808080,86519
6,12,1401,مشهد,ترکيه,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,236000,302096334750,1059987
7,7,1401,منطقه ويژه اقتصادي شهيد رجايي,بلژيک,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,198000,213970977000,796393
8,11,1401,منطقه ويژه اقتصادي شهيد رجايي,بلژيک,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,173100,209697377154,772079
9,9,1401,مشهد,ترکيه,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,172000,206252256000,741980
10,6,1401,مشهد,ترکيه,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,184000,174211963963,654843
11,5,1401,مشهد,ترکيه,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,100000,95523552803,370539
12,11,1401,مشهد,ترکيه,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,40000,51512160000,178650
13,7,1401,مشهد,ترکيه,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,5700,5255919800,19377
14,10,1401,مشهد,ترکيه,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,3625,4580913225,16073
