شرح,۲۰۰۹,۲۰۱۰,۲۰۱۱,۲۰۱۲,۲۰۱۳,۲۰۱۴,۲۰۱۵,۲۰۱۶,۲۰۱۷,۲۰۱۸
جهان - جوانان - جمعیت ۲۴ - ۱۵ساله,11.8,11.6,11.6,11.8,11.9,11.7,12,12.2,12,11.8
اروپاي غربی، جنوبی و شمالی - جوانان - جمعیت ۲۴ - ۱۵ساله,20,20.8,21.3,22.8,23.1,22,20.5,19,17.3,15.9
اروپای شرقی - جوانان - جمعیت ۲۴ - ۱۵ساله,18.5,18.4,17.9,17.9,17.6,17.8,18.1,17.5,15.9,14.7
آسیای شرقی - جوانان - جمعیت ۲۴ - ۱۵ساله,10.1,9.8,9.8,10.1,10.2,10.3,10.4,10.3,10.1,10.1
آسیای جنوب شرقی و اقیانوسیه - جوانان - جمعیت ۲۴ - ۱۵ساله,10.5,9.7,9.8,9.1,9.2,9.3,10,9.7,9.9,10
جنوب آسیا - جوانان - جمعیت ۲۴ - ۱۵ساله,8.3,8.3,8.6,9.2,9.9,9.6,10.1,10.2,10,9.9
آمریکای لاتین و کارائیب - جوانان - جمعیت ۲۴ - ۱۵ساله,15.3,14.4,13.8,13.6,13.6,13.5,14.7,17.4,18,17.9
آسیای غربی و مرکزی - جوانان - جمعیت ۲۴ - ۱۵ساله,16.3,15,13.7,13.1,13.5,14,14.2,14.7,15,15.3
صحرای آفریقا - جوانان - جمعیت ۲۴ - ۱۵ساله,10,10.1,9.8,9.5,9.3,9.2,9.7,10.3,9.9,9.8
جهان - بزرگسالان - جمعیت ۲۵ ساله و بیشتر,4.2,4.2,4.1,4.1,4.1,4,4,4,3.9,3.8
اروپاي غربی، جنوبی و شمالی - بزرگسالان - جمعیت ۲۵ ساله و بیشتر,7.9,8.5,8.6,9.4,9.9,9.5,8.8,8.2,7.4,6.7
اروپای شرقی - بزرگسالان - جمعیت ۲۵ ساله و بیشتر,6.9,6.7,6.3,5.8,5.9,5.7,5.6,5.3,5,4.5
آسیای شرقی - بزرگسالان - جمعیت ۲۵ ساله و بیشتر,3.7,3.6,3.5,3.6,3.7,3.7,3.7,3.7,3.6,3.6
آسیای جنوب شرقی و اقیانوسیه - بزرگسالان - جمعیت ۲۵ ساله و بیشتر,2.1,1.9,1.6,1.5,1.5,1.4,1.6,1.6,1.6,1.6
جنوب آسیا - بزرگسالان - جمعیت ۲۵ ساله و بیشتر,1.6,1.5,1.5,1.7,1.8,1.7,1.9,1.9,1.8,1.8
آمریکای لاتین و کارائیب - بزرگسالان - جمعیت ۲۵ ساله و بیشتر,5.6,5.2,4.7,4.7,4.6,4.5,4.9,5.7,6,6
آسیای غربی و مرکزی - بزرگسالان - جمعیت ۲۵ ساله و بیشتر,7.8,7.1,6.3,6.1,6.3,6.6,6.7,6.9,6.7,6.8
صحرای آفریقا - بزرگسالان - جمعیت ۲۵ ساله و بیشتر,4.6,4.7,4.7,4.6,4.5,4.6,4.6,4.7,4.7,4.7
