دوره,واردات - وزن - هزار تن - میلیون دلار,واردات - ارزش - هزار تن - میلیون دلار,صادرات غیر نفتی - کل - وزن - هزار تن - میلیون دلار,صادرات غیر نفتی - کل - ارزش - هزار تن - میلیون دلار,صادرات غیر نفتی - میعانات گازی - وزن - هزار تن - میلیون دلار,صادرات غیر نفتی - میعانات گازی - ارزش - هزار تن - میلیون دلار,صادرات غیر نفتی - پتروشیمی - وزن - هزار تن - میلیون دلار,صادرات غیر نفتی - پتروشیمی - ارزش - هزار تن - میلیون دلار,صادرات غیر نفتی - سایر کالاها - وزن - هزار تن - میلیون دلار,صادرات غیر نفتی - سایر کالاها - ارزش - هزار تن - میلیون دلار
۱۳۹۹,33730,38890,113189,34861,0,0,0,0,0,0
۱۴۰۰,41193,52996,122417,48440,0,0,0,0,0,0
۱۴۰۱,37180,59655,122056,53166,0,0,0,0,0,0
 بهار ۱۴۰۰ ,8670,10595,30245,10767,0,0,0,0,0,0
 تابستان ۱۴۰۰ ,10799,12805,29699,10903,0,0,0,0,0,0
 پاییز ۱۴۰۰ ,10825,13681,32184,13236,0,0,0,0,0,0
 زمستان ۱۴۰۰ ,10898,15915,30289,13534,0,0,0,0,0,0
بهار ۱۴۰۱,8531,13219,28436,13487,0,0,0,0,0,0
تابستان ۱۴۰۱,16552,27045,52420,24525,0,0,0,0,0,0
پاییز ۱۴۰۱,10609,15793,28109,11848,0,0,0,0,0,0
زمستان ۱۴۰۱,10067,16785,42085,16870,0,0,0,0,0,0
بهار ۱۴۰۲,8720,14118,35854,12546,0,0,0,0,0,0
